Time,EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Heat Load [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],EU_CELL_ZONE::Des Latent Heat Load [W],EU_CELL_ZONE::Des Latent Cool Load [W],EU_CELL_ZONE::Des Latent Heat Mass Flow [kg/s],EU_CELL_ZONE::Des Latent Cool Mass Flow [kg/s],EU_CELL_ZONE::Des Heat Load No DOAS [W],EU_CELL_ZONE::Des Sens Cool Load No DOAS [W],EU_CELL_ZONE::Des Latent Heat Load No DOAS [W],EU_CELL_ZONE::Des Latent Cool Load No DOAS [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,5.645192E+04,0.000000E+00,1.845133E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.698577E+01,2.984933E+01,4.440032E+01
00:10:00,5.622613E+04,0.000000E+00,1.837753E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.698934E+01,2.979431E+01,4.471777E+01
00:15:00,5.598730E+04,0.000000E+00,1.829946E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.699271E+01,2.974507E+01,4.501216E+01
00:20:00,5.573535E+04,0.000000E+00,1.821711E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.699586E+01,2.970148E+01,4.528290E+01
00:25:00,5.547026E+04,0.000000E+00,1.813047E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.699878E+01,2.966256E+01,4.553254E+01
00:30:00,5.519196E+04,0.000000E+00,1.803951E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.700151E+01,2.962722E+01,4.576420E+01
00:35:00,5.490043E+04,0.000000E+00,1.794422E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.700405E+01,2.959461E+01,4.598045E+01
00:40:00,5.459561E+04,0.000000E+00,1.784459E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.700641E+01,2.956409E+01,4.618318E+01
00:45:00,5.427747E+04,0.000000E+00,1.774061E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.700862E+01,2.953525E+01,4.637377E+01
00:50:00,5.394596E+04,0.000000E+00,1.763226E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.701068E+01,2.950778E+01,4.655330E+01
00:55:00,5.360105E+04,0.000000E+00,1.751953E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.701260E+01,2.948140E+01,4.672275E+01
01:00:00,5.324271E+04,0.000000E+00,1.740240E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.701438E+01,2.945590E+01,4.688293E+01
01:05:00,5.325907E+04,0.000000E+00,1.740775E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999638E+01,3.701605E+01,2.943111E+01,4.703457E+01
01:10:00,5.327323E+04,0.000000E+00,1.741238E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.701778E+01,2.940646E+01,4.717956E+01
01:15:00,5.328534E+04,0.000000E+00,1.741634E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.701965E+01,2.938162E+01,4.731905E+01
01:20:00,5.329543E+04,0.000000E+00,1.741963E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.702167E+01,2.935654E+01,4.745350E+01
01:25:00,5.330347E+04,0.000000E+00,1.742226E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.702382E+01,2.933126E+01,4.758304E+01
01:30:00,5.330946E+04,0.000000E+00,1.742422E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.702608E+01,2.930582E+01,4.770771E+01
01:35:00,5.331338E+04,0.000000E+00,1.742550E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.702844E+01,2.928029E+01,4.782762E+01
01:40:00,5.331497E+04,0.000000E+00,1.742602E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.703087E+01,2.925467E+01,4.794288E+01
01:45:00,5.331434E+04,0.000000E+00,1.742582E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.703334E+01,2.922899E+01,4.805365E+01
01:50:00,5.331157E+04,0.000000E+00,1.742491E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999639E+01,3.703583E+01,2.920327E+01,4.816007E+01
01:55:00,5.330666E+04,0.000000E+00,1.742331E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999640E+01,3.703834E+01,2.917751E+01,4.826229E+01
02:00:00,5.329961E+04,0.000000E+00,1.742100E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999640E+01,3.704089E+01,2.915172E+01,4.836047E+01
02:05:00,5.328625E+04,0.000000E+00,1.741664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999640E+01,3.704346E+01,2.912590E+01,4.845475E+01
02:10:00,5.326656E+04,0.000000E+00,1.741020E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999640E+01,3.704617E+01,2.910028E+01,4.854402E+01
02:15:00,5.324026E+04,0.000000E+00,1.740161E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999641E+01,3.704907E+01,2.907497E+01,4.862773E+01
02:20:00,5.320728E+04,0.000000E+00,1.739083E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999642E+01,3.705211E+01,2.904995E+01,4.870593E+01
02:25:00,5.316757E+04,0.000000E+00,1.737785E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999642E+01,3.705525E+01,2.902518E+01,4.877893E+01
02:30:00,5.312112E+04,0.000000E+00,1.736267E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999643E+01,3.705848E+01,2.900061E+01,4.884708E+01
02:35:00,5.306789E+04,0.000000E+00,1.734527E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999643E+01,3.706175E+01,2.897618E+01,4.891066E+01
