Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,36764488.74990875 
 01/01  02:00:00,42273712.97934525 
 01/01  03:00:00,43563981.269874044 
 01/01  04:00:00,43283651.14364588 
 01/01  05:00:00,43329319.136923045 
 01/01  06:00:00,42515346.88766737 
 01/01  07:00:00,41023699.4488745 
 01/01  08:00:00,39951391.80352187 
 01/01  09:00:00,38399014.5901044 
 01/01  10:00:00,37959525.354058646 
 01/01  11:00:00,40400493.366593435 
 01/01  12:00:00,40369220.14178183 
 01/01  13:00:00,37966620.52404742 
 01/01  14:00:00,36787593.61063543 
 01/01  15:00:00,34715560.78949537 
 01/01  16:00:00,32752463.07979759 
 01/01  17:00:00,31674687.355112106 
 01/01  18:00:00,31304680.543181628 
 01/01  19:00:00,34175305.2499551 
 01/01  20:00:00,34050123.96236119 
 01/01  21:00:00,33304433.291539047 
 01/01  22:00:00,31453284.015366375 
 01/01  23:00:00,29815635.380356103 
 01/01  24:00:00,31068182.158309434 
 01/02  01:00:00,32683524.017326705 
 01/02  02:00:00,33759275.4580289 
 01/02  03:00:00,33971934.72303541 
 01/02  04:00:00,34471570.31011746 
 01/02  05:00:00,35618220.58251342 
 01/02  06:00:00,37820240.40587066 
 01/02  07:00:00,40800663.18197501 
 01/02  08:00:00,43549951.48593529 
 01/02  09:00:00,46325293.52914176 
 01/02  10:00:00,48352111.64099976 
 01/02  11:00:00,49685221.265668005 
 01/02  12:00:00,46349833.46595753 
 01/02  13:00:00,40938656.00887184 
 01/02  14:00:00,38473842.718479335 
 01/02  15:00:00,36234297.05624268 
 01/02  16:00:00,35492093.65898395 
 01/02  17:00:00,37308851.27583445 
 01/02  18:00:00,39505657.81784649 
 01/02  19:00:00,43258221.900730275 
 01/02  20:00:00,42116933.96991968 
 01/02  21:00:00,40165749.32197877 
 01/02  22:00:00,37700030.05181092 
 01/02  23:00:00,34566069.257687375 
 01/02  24:00:00,33388634.324676737 
 01/03  01:00:00,32803310.810471658 
 01/03  02:00:00,32210991.52972986 
 01/03  03:00:00,30887192.894528124 
 01/03  04:00:00,31815829.564742647 
 01/03  05:00:00,34394265.521609485 
 01/03  06:00:00,35922562.91955871 
 01/03  07:00:00,36323755.892920814 
 01/03  08:00:00,35805998.81149086 
 01/03  09:00:00,37056710.366293706 
 01/03  10:00:00,41073857.97685846 
 01/03  11:00:00,43165458.34672184 
 01/03  12:00:00,40971577.55954923 
 01/03  13:00:00,38495530.37834703 
 01/03  14:00:00,39951186.72344825 
 01/03  15:00:00,41256246.53771703 
 01/03  16:00:00,43417136.4831692 
 01/03  17:00:00,45979769.08827921 
 01/03  18:00:00,47381627.96523088 
 01/03  19:00:00,48419111.804464936 
 01/03  20:00:00,45614664.87690549 
 01/03  21:00:00,45715085.45332753 
 01/03  22:00:00,45443308.37948144 
 01/03  23:00:00,44211536.142475 
 01/03  24:00:00,43124491.910873875 
 01/04  01:00:00,42620841.2772049 
 01/04  02:00:00,42166894.909612834 
 01/04  03:00:00,41337120.73296025 
 01/04  04:00:00,41919505.74923212 
 01/04  05:00:00,38728270.50606629 
 01/04  06:00:00,38768398.40221368 
 01/04  07:00:00,38348601.31797277 
 01/04  08:00:00,37633853.7610227 
 01/04  09:00:00,37486786.555351056 
 01/04  10:00:00,38397432.92131797 
 01/04  11:00:00,40188177.0185929 
 01/04  12:00:00,39933644.5698957 
 01/04  13:00:00,37401915.67415954 
 01/04  14:00:00,37261481.88131599 
 01/04  15:00:00,38126012.91804959 
 01/04  16:00:00,40918226.616673596 
 01/04  17:00:00,44581615.354999065 
 01/04  18:00:00,47520770.71905282 
 01/04  19:00:00,49437687.16150872 
 01/04  20:00:00,47461450.829138786 
 01/04  21:00:00,49371652.06242065 
 01/04  22:00:00,51676647.91189351 
 01/04  23:00:00,54485199.80652836 
 01/04  24:00:00,57744043.83373037 
 01/05  01:00:00,59178768.95545898 
 01/05  02:00:00,58933822.16990751 
 01/05  03:00:00,59948916.831921756 
 01/05  04:00:00,62044978.51553569 
 01/05  05:00:00,64302284.95288461 
 01/05  06:00:00,66041865.15404975 
 01/05  07:00:00,67228723.72605357 
 01/05  08:00:00,68188647.97577547 
 01/05  09:00:00,67629215.41830033 
 01/05  10:00:00,66182604.56791267 
 01/05  11:00:00,62936329.362003796 
 01/05  12:00:00,60245274.333078854 
 01/05  13:00:00,55437192.42310408 
 01/05  14:00:00,51111740.9933798 
 01/05  15:00:00,46307187.12909211 
 01/05  16:00:00,45149925.10014972 
 01/05  17:00:00,43348756.528965056 
 01/05  18:00:00,43323976.11956801 
 01/05  19:00:00,42956286.33502972 
 01/05  20:00:00,41407124.27599896 
 01/05  21:00:00,39579782.334501974 
 01/05  22:00:00,34942555.76540705 
 01/05  23:00:00,30804261.951601274 
 01/05  24:00:00,28371861.96292551 
 01/06  01:00:00,26244307.791534018 
 01/06  02:00:00,24707330.262643132 
 01/06  03:00:00,24259924.24036424 
 01/06  04:00:00,25025291.777973697 
 01/06  05:00:00,26165303.9426681 
 01/06  06:00:00,27732339.95415387 
 01/06  07:00:00,29328848.712291867 
 01/06  08:00:00,30638271.909372203 
 01/06  09:00:00,32496726.562979814 
 01/06  10:00:00,34353830.31367487 
 01/06  11:00:00,36144068.45591519 
 01/06  12:00:00,34841552.64308515 
 01/06  13:00:00,30508637.965781286 
 01/06  14:00:00,28818189.45605071 
 01/06  15:00:00,28585208.130654808 
 01/06  16:00:00,31213646.048945926 
 01/06  17:00:00,33962217.27541515 
 01/06  18:00:00,34803732.1908478 
 01/06  19:00:00,35336682.416293144 
 01/06  20:00:00,32482415.899739925 
 01/06  21:00:00,32380815.515084416 
 01/06  22:00:00,32398228.180246167 
 01/06  23:00:00,32125826.85210985 
 01/06  24:00:00,32343746.591934882 
 01/07  01:00:00,33318449.645128135 
 01/07  02:00:00,34175741.74390447 
 01/07  03:00:00,33978504.743670754 
 01/07  04:00:00,32859326.676232047 
 01/07  05:00:00,32204749.85563142 
 01/07  06:00:00,32188102.66821161 
 01/07  07:00:00,32340480.388940543 
 01/07  08:00:00,32453550.495753903 
 01/07  09:00:00,32084172.73307165 
 01/07  10:00:00,32775030.73699935 
 01/07  11:00:00,36684970.71953603 
 01/07  12:00:00,38999040.59460903 
 01/07  13:00:00,36034364.70108874 
 01/07  14:00:00,33602901.528520815 
 01/07  15:00:00,31809560.631136693 
 01/07  16:00:00,33021130.813983425 
 01/07  17:00:00,35706032.462868996 
 01/07  18:00:00,37070922.1393186 
 01/07  19:00:00,37930378.704214 
 01/07  20:00:00,33488087.913410876 
 01/07  21:00:00,31867395.572596245 
 01/07  22:00:00,31741108.46082624 
 01/07  23:00:00,32535008.76802726 
 01/07  24:00:00,33977985.697752394 
 01/08  01:00:00,35687012.57953076 
 01/08  02:00:00,38199910.06561548 
 01/08  03:00:00,40389593.70863403 
 01/08  04:00:00,41671595.257922195 
 01/08  05:00:00,42114911.40233787 
 01/08  06:00:00,42249670.44078913 
 01/08  07:00:00,42181435.85935866 
 01/08  08:00:00,40923935.167667046 
 01/08  09:00:00,40207672.08211357 
 01/08  10:00:00,40367821.901941985 
 01/08  11:00:00,41410875.106950656 
 01/08  12:00:00,38053834.407563955 
 01/08  13:00:00,33123245.103904605 
 01/08  14:00:00,31354360.594227284 
 01/08  15:00:00,30313486.75454311 
 01/08  16:00:00,30865612.78975822 
 01/08  17:00:00,31757647.624651775 
 01/08  18:00:00,32644370.05768471 
 01/08  19:00:00,36378534.54948917 
 01/08  20:00:00,36658683.58351659 
 01/08  21:00:00,36503744.394341685 
 01/08  22:00:00,34239502.97647809 
 01/08  23:00:00,30015060.590583052 
 01/08  24:00:00,27959027.96209014 
 01/09  01:00:00,27036775.82225902 
 01/09  02:00:00,26634234.32170336 
 01/09  03:00:00,26149745.855974842 
 01/09  04:00:00,25988518.12691837 
 01/09  05:00:00,27015251.339315474 
 01/09  06:00:00,28588172.44071871 
 01/09  07:00:00,30713317.21127963 
 01/09  08:00:00,32333055.16766298 
 01/09  09:00:00,32961713.49386292 
 01/09  10:00:00,35060122.87921129 
 01/09  11:00:00,39527139.840962626 
 01/09  12:00:00,42323209.24787382 
 01/09  13:00:00,41188784.01136336 
 01/09  14:00:00,40125302.10812505 
 01/09  15:00:00,39346229.01965281 
 01/09  16:00:00,41416321.8006261 
 01/09  17:00:00,44621421.21540403 
 01/09  18:00:00,47401137.14067357 
 01/09  19:00:00,50365158.77796974 
 01/09  20:00:00,49793915.50575091 
 01/09  21:00:00,51758913.14625473 
 01/09  22:00:00,53058195.267617136 
 01/09  23:00:00,54546210.50205543 
 01/09  24:00:00,55950423.701671444 
 01/10  01:00:00,57256568.056037955 
 01/10  02:00:00,58480311.83523857 
 01/10  03:00:00,59350769.70377657 
 01/10  04:00:00,60755146.28706482 
 01/10  05:00:00,62478655.53814043 
 01/10  06:00:00,63676808.7103146 
 01/10  07:00:00,64582783.69460038 
 01/10  08:00:00,65467877.112275936 
