Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,53655123.82914393 
 01/01  02:00:00,54657282.678755894 
 01/01  03:00:00,55633610.7533213 
 01/01  04:00:00,56820973.96254948 
 01/01  05:00:00,58113916.1329001 
 01/01  06:00:00,58225806.99119668 
 01/01  07:00:00,60010207.54357857 
 01/01  08:00:00,61927554.625384554 
 01/01  09:00:00,62835270.28107934 
 01/01  10:00:00,59734520.96132361 
 01/01  11:00:00,53058861.552321106 
 01/01  12:00:00,51734964.89458326 
 01/01  13:00:00,46039825.667417996 
 01/01  14:00:00,43508718.63934657 
 01/01  15:00:00,38106568.074737445 
 01/01  16:00:00,33623035.770687215 
 01/01  17:00:00,38860707.46881535 
 01/01  18:00:00,42597730.262432635 
 01/01  19:00:00,53310802.57561503 
 01/01  20:00:00,55127209.465722665 
 01/01  21:00:00,57075653.40424767 
 01/01  22:00:00,52979135.299771145 
 01/01  23:00:00,52591643.738674074 
 01/01  24:00:00,52819556.805733345 
 01/02  01:00:00,52607196.88348374 
 01/02  02:00:00,53122640.01868364 
 01/02  03:00:00,54847806.68335747 
 01/02  04:00:00,55246416.09803741 
 01/02  05:00:00,54857971.60925227 
 01/02  06:00:00,54455010.41508536 
 01/02  07:00:00,52976996.30980064 
 01/02  08:00:00,51384049.377111435 
 01/02  09:00:00,53795122.401075974 
 01/02  10:00:00,48260529.7275372 
 01/02  11:00:00,45769415.16848718 
 01/02  12:00:00,50047445.841476925 
 01/02  13:00:00,47410814.00155044 
 01/02  14:00:00,46720493.044760086 
 01/02  15:00:00,43729554.36742008 
 01/02  16:00:00,41198681.04615044 
 01/02  17:00:00,45758478.58423277 
 01/02  18:00:00,43213598.45973723 
 01/02  19:00:00,44607702.92252224 
 01/02  20:00:00,46753037.588078536 
 01/02  21:00:00,46681205.57100605 
 01/02  22:00:00,41194324.98440277 
 01/02  23:00:00,40234828.04879312 
 01/02  24:00:00,41263568.503753215 
 01/03  01:00:00,42499659.557348564 
 01/03  02:00:00,42401503.95117861 
 01/03  03:00:00,42314899.22778536 
 01/03  04:00:00,42191192.4305254 
 01/03  05:00:00,42420518.13637516 
 01/03  06:00:00,42874796.70424261 
 01/03  07:00:00,42903806.51411461 
 01/03  08:00:00,42941949.74033032 
 01/03  09:00:00,45889815.59648482 
 01/03  10:00:00,42029168.604391806 
 01/03  11:00:00,41692353.4633241 
 01/03  12:00:00,45746043.873657376 
 01/03  13:00:00,43749219.17458492 
 01/03  14:00:00,43327792.74315204 
 01/03  15:00:00,39656250.32277017 
 01/03  16:00:00,37060080.582586005 
 01/03  17:00:00,42523918.24956913 
 01/03  18:00:00,40334425.83421544 
 01/03  19:00:00,41944826.20933441 
 01/03  20:00:00,44326205.04651533 
 01/03  21:00:00,43075666.48172094 
 01/03  22:00:00,37576077.29562572 
 01/03  23:00:00,37272604.01439012 
 01/03  24:00:00,37377970.39052468 
 01/04  01:00:00,37023152.65057194 
 01/04  02:00:00,36447849.5869306 
 01/04  03:00:00,36237139.68285512 
 01/04  04:00:00,36485965.7693133 
 01/04  05:00:00,36993992.317816846 
 01/04  06:00:00,37109794.776326515 
 01/04  07:00:00,37398625.83992891 
 01/04  08:00:00,39724838.94380476 
 01/04  09:00:00,43542057.86902965 
 01/04  10:00:00,43107023.78809398 
 01/04  11:00:00,42461533.29242556 
 01/04  12:00:00,47174706.6849389 
 01/04  13:00:00,44988481.526835814 
 01/04  14:00:00,39184160.913948186 
 01/04  15:00:00,33242645.156085946 
 01/04  16:00:00,24951722.60778015 
 01/04  17:00:00,27156388.965173855 
 01/04  18:00:00,22553044.054820016 
 01/04  19:00:00,27592618.342838623 
 01/04  20:00:00,27971203.69347363 
 01/04  21:00:00,26488711.225697827 
 01/04  22:00:00,27050407.16096231 
 01/04  23:00:00,27073472.724025846 
 01/04  24:00:00,30039262.392539956 
 01/05  01:00:00,31159040.563712016 
 01/05  02:00:00,28089345.17383235 
 01/05  03:00:00,28443497.634143677 
 01/05  04:00:00,25713043.26317503 
 01/05  05:00:00,26657530.769300353 
 01/05  06:00:00,25804721.661207825 
 01/05  07:00:00,24129090.40320033 
 01/05  08:00:00,22294413.16743509 
 01/05  09:00:00,21174102.067386705 
 01/05  10:00:00,20808399.231335156 
 01/05  11:00:00,20464282.206570916 
 01/05  12:00:00,31454711.542634062 
 01/05  13:00:00,29745459.836179387 
 01/05  14:00:00,27769207.7588599 
 01/05  15:00:00,28994237.377352513 
 01/05  16:00:00,27695832.884294495 
 01/05  17:00:00,34947269.9825193 
 01/05  18:00:00,32054487.994629554 
 01/05  19:00:00,33066685.807161313 
 01/05  20:00:00,34822510.71362366 
 01/05  21:00:00,32656410.291866515 
 01/05  22:00:00,32875137.1283035 
 01/05  23:00:00,31944907.171093915 
 01/05  24:00:00,32058700.914679304 
 01/06  01:00:00,30422160.50615576 
 01/06  02:00:00,26612969.976114642 
 01/06  03:00:00,26499452.300114375 
 01/06  04:00:00,26693427.60898767 
 01/06  05:00:00,27661771.835834756 
