Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,3538986.8757758 
 01/01  02:00:00,4112501.5468343114 
 01/01  03:00:00,4215753.037603386 
 01/01  04:00:00,4199486.867753076 
 01/01  05:00:00,4200839.060622296 
 01/01  06:00:00,4124116.110844677 
 01/01  07:00:00,3979652.8413925916 
 01/01  08:00:00,3867278.8958482724 
 01/01  09:00:00,3702495.951309599 
 01/01  10:00:00,3597204.07946146 
 01/01  11:00:00,3984832.016406843 
 01/01  12:00:00,4039296.6430166843 
 01/01  13:00:00,4062695.3609632724 
 01/01  14:00:00,3803922.613069895 
 01/01  15:00:00,3312328.209392433 
 01/01  16:00:00,3107016.0591101404 
 01/01  17:00:00,2999697.6280517653 
 01/01  18:00:00,2963973.4325303664 
 01/01  19:00:00,3148356.305333689 
 01/01  20:00:00,3331802.8397072554 
 01/01  21:00:00,2851083.2500356883 
 01/01  22:00:00,2761367.629493642 
 01/01  23:00:00,2796798.4621617734 
 01/01  24:00:00,2921716.3842249583 
 01/02  01:00:00,3086479.676372243 
 01/02  02:00:00,3210870.087681033 
 01/02  03:00:00,3250746.1459069317 
 01/02  04:00:00,3312443.6254063644 
 01/02  05:00:00,3433970.3282434 
 01/02  06:00:00,3656476.034545294 
 01/02  07:00:00,3938743.6750596375 
 01/02  08:00:00,4191049.078798697 
 01/02  09:00:00,4458992.806920278 
 01/02  10:00:00,4596929.784565713 
 01/02  11:00:00,4831357.169424489 
 01/02  12:00:00,4487501.5320207635 
 01/02  13:00:00,4158025.5787453805 
 01/02  14:00:00,3763924.8498991365 
 01/02  15:00:00,3300647.2178768436 
 01/02  16:00:00,3267524.7826679144 
 01/02  17:00:00,3483353.5785765504 
 01/02  18:00:00,3720405.920202479 
 01/02  19:00:00,4004312.0971958563 
 01/02  20:00:00,4105359.7434503203 
 01/02  21:00:00,3504663.430963255 
 01/02  22:00:00,3352575.981377626 
 01/02  23:00:00,3242728.1889263485 
 01/02  24:00:00,3146270.863558756 
 01/03  01:00:00,3106542.679971666 
 01/03  02:00:00,3051200.8580590286 
 01/03  03:00:00,2904425.9664282124 
 01/03  04:00:00,2964602.5292898244 
 01/03  05:00:00,3221642.8304945612 
 01/03  06:00:00,3383538.9673805647 
 01/03  07:00:00,3426988.0552668916 
 01/03  08:00:00,3409784.4939807393 
 01/03  09:00:00,3542514.656465177 
 01/03  10:00:00,3810615.9662603615 
 01/03  11:00:00,4181203.3803558527 
 01/03  12:00:00,3931994.089208004 
 01/03  13:00:00,3929996.48365628 
 01/03  14:00:00,3998121.8569592913 
 01/03  15:00:00,3875998.064521953 
 01/03  16:00:00,3963354.567489001 
 01/03  17:00:00,4080863.501203268 
 01/03  18:00:00,4232790.576603001 
 01/03  19:00:00,4553952.806069957 
 01/03  20:00:00,4785005.420343089 
 01/03  21:00:00,4377147.123293125 
 01/03  22:00:00,4342278.670273199 
 01/03  23:00:00,4212042.925151581 
 01/03  24:00:00,4096646.890048128 
 01/04  01:00:00,4046270.962068273 
 01/04  02:00:00,4005749.1674807584 
 01/04  03:00:00,3948515.2934617437 
 01/04  04:00:00,3825889.8175348295 
 01/04  05:00:00,3717408.441751077 
 01/04  06:00:00,3729208.2700862275 
 01/04  07:00:00,3691765.0135747013 
 01/04  08:00:00,3617521.9816288254 
 01/04  09:00:00,3605123.7039590436 
 01/04  10:00:00,3594389.7642143415 
 01/04  11:00:00,3972586.6303947717 
 01/04  12:00:00,3943433.5819459544 
 01/04  13:00:00,3946777.3721202514 
 01/04  14:00:00,3850462.59997283 
 01/04  15:00:00,3672377.553499516 
 01/04  16:00:00,3806773.3829265456 
 01/04  17:00:00,4040504.041902015 
 01/04  18:00:00,4351667.741789801 
 01/04  19:00:00,4755641.4337813165 
 01/04  20:00:00,5070867.379920289 
 01/04  21:00:00,4853863.55072793 
 01/04  22:00:00,5077461.763062545 
 01/04  23:00:00,5333194.994690176 
 01/04  24:00:00,5637666.227008402 
 01/05  01:00:00,5806174.155894505 
 01/05  02:00:00,5809436.943459418 
 01/05  03:00:00,5903843.279508091 
 01/05  04:00:00,6081194.788983798 
 01/05  05:00:00,6290554.581909008 
 01/05  06:00:00,6469704.810504285 
 01/05  07:00:00,6587775.307019829 
 01/05  08:00:00,6680901.986296989 
 01/05  09:00:00,6643075.3224037355 
 01/05  10:00:00,6506430.034322129 
 01/05  11:00:00,6566715.398964415 
 01/05  12:00:00,6004314.336882601 
 01/05  13:00:00,5445500.48093354 
 01/05  14:00:00,4923012.0677610785 
 01/05  15:00:00,4437958.003259381 
 01/05  16:00:00,4317314.253791211 
 01/05  17:00:00,4155059.67773822 
 01/05  18:00:00,3958717.678225963 
 01/05  19:00:00,4024842.6792275053 
 01/05  20:00:00,4075712.157685521 
 01/05  21:00:00,3483515.5866719624 
 01/05  22:00:00,3217180.473162036 
 01/05  23:00:00,2892277.8583260975 
 01/05  24:00:00,2629213.2675329074 
 01/06  01:00:00,2411483.1212478634 
 01/06  02:00:00,2264432.855837823 
 01/06  03:00:00,2226693.620699487 
 01/06  04:00:00,2302138.2411760846 
 01/06  05:00:00,2421815.381562583 
 01/06  06:00:00,2572362.9452431425 
 01/06  07:00:00,2731498.1658401797 
 01/06  08:00:00,2869287.5486369617 
 01/06  09:00:00,3059152.7953479327 
 01/06  10:00:00,3131914.819662934 
 01/06  11:00:00,3484343.103781576 
 01/06  12:00:00,3315569.42685031 
 01/06  13:00:00,3099052.4175630165 
