neighbourhood_id,building_id,catastro_local_id,year_built,n_dwellings,n_building_units,condition,overlap_area_m2,join_predicate,provenance_year_built,provenance_dwellings,reason,levels,provenance_levels
ES-MAD-BERRUGUETE,way/100704656,0691142VK4709B,1959.0,12.0,14.0,functional,312.9078,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704671,0691122VK4709B,2000.0,60.0,138.0,functional,2164.9681,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704677,0691127VK4709B,1940.0,14.0,16.0,functional,220.9659,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704682,0691146VK4709B,2003.0,10.0,12.0,functional,0.2238,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704705,0691123VK4709B,2001.0,46.0,112.0,functional,1445.6586,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704712,0691144VK4709B,2001.0,3.0,3.0,functional,80.3114,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704723,0691143VK4709B,1955.0,32.0,32.0,functional,304.4262,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704738,0691151VK4709B,2002.0,13.0,16.0,functional,170.4012,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/100704741,0691146VK4709B,2003.0,10.0,12.0,functional,361.4351,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/133979799,0491602VK4709A,1965.0,21.0,22.0,functional,305.4676,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/195286070,0691124VK4709B,2000.0,66.0,168.0,functional,2101.5881,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,9,CATASTRO_BUILDINGPART_OBSERVED
ES-MAD-BERRUGUETE,way/195286075,0489402VK4708G,1987.0,2.0,2.0,functional,75.2279,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/198082036,0291202VK4709A,1960.0,17.0,17.0,functional,203.2959,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/198082054,0587305VK4708G,1965.0,32.0,35.0,functional,483.2888,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/198082056,0389807VK4708G,1930.0,7.0,11.0,functional,283.3698,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/224012143,0493105VK4709C,1970.0,14.0,15.0,functional,244.1792,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/232618736,0488619VK4708H,1955.0,18.0,23.0,functional,330.8886,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/277649994,0491606VK4709A,1998.0,20.0,40.0,functional,188.6117,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/277649996,0491607VK4709A,1965.0,16.0,20.0,functional,0.1955,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376565,0491814VK4709A,1930.0,3.0,3.0,functional,69.2977,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376566,0491815VK4709A,2001.0,8.0,8.0,functional,80.5177,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376568,0491824VK4709A,2005.0,8.0,16.0,functional,102.7679,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376569,0491818VK4709A,1965.0,1.0,1.0,functional,111.2296,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376571,0491819VK4709A,1998.0,5.0,6.0,functional,90.964,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376572,0491820VK4709A,1935.0,1.0,1.0,functional,75.5349,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376573,0491821VK4709A,1945.0,1.0,1.0,functional,71.7196,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376574,0491822VK4709A,1995.0,6.0,9.0,functional,128.6983,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286376575,0491823VK4709A,1990.0,1.0,1.0,functional,142.9001,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286417117,0491801VK4709A,1960.0,32.0,33.0,functional,528.8086,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
ES-MAD-BERRUGUETE,way/286564856,0491812VK4709A,1930.0,4.0,4.0,functional,89.9699,LARGEST_OVERLAP_INTERSECTS_EPSG3035,CATASTRO_INSPIRE_BU_OBSERVED,CATASTRO_INSPIRE_BU_OBSERVED,,,
