Date/Time,BATIMENT0000000013365727_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000013365727_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000013365727_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,194487.97927189333,135751.08525225605,720689.5819076878 
 01/01  02:00:00,239840.17433834632,186382.81666499973,831977.504657535 
 01/01  03:00:00,265640.3506000321,215108.306900069,884465.8776805415 
 01/01  04:00:00,282410.14715465606,234810.31200513555,925777.2006876662 
 01/01  05:00:00,294705.87281614915,249555.57917466684,953622.9815708002 
 01/01  06:00:00,314727.6036558807,271987.0122818776,994000.6700162301 
 01/01  07:00:00,325376.62296661385,284742.06053457,1019940.1963434306 
 01/01  08:00:00,336475.17297503207,297970.84266899235,1049831.2752319307 
 01/01  09:00:00,361652.49527884607,325222.4844027136,1101132.2864127294 
 01/01  10:00:00,374083.9462439977,336760.6165556404,1110272.8273460285 
 01/01  11:00:00,288334.78461085743,244175.14006302448,867505.3209575764 
 01/01  12:00:00,139375.5859678737,91305.6501495872,448347.96194914036 
 01/01  13:00:00,21120.728142541157,1058.3947485538374,121586.4010830201 
 01/01  14:00:00,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,11790.144290627179 
 01/01  17:00:00,0.0,0.0,193841.4136864214 
 01/01  18:00:00,44835.98157930137,0.0,398458.2656964664 
 01/01  19:00:00,90249.90333634305,12557.630389643236,479893.8196331007 
 01/01  20:00:00,121391.89095998084,46745.40460929729,536146.02627809 
 01/01  21:00:00,140649.59786828788,68305.3200145303,561594.6471459167 
 01/01  22:00:00,149019.70173507195,78849.4104859563,572036.1467552775 
 01/01  23:00:00,154367.72245675005,88040.96482517397,604748.0461971561 
 01/01  24:00:00,157109.54730840842,93762.98449249135,622259.9028849781 
 01/02  01:00:00,160756.01659031218,97861.30986315676,613369.6348692043 
 01/02  02:00:00,163742.2862619398,100936.56165052946,599191.099196814 
 01/02  03:00:00,174867.02812106995,112448.0419624313,607718.6395651923 
 01/02  04:00:00,200143.7759772338,138301.76492033753,636554.6814841495 
 01/02  05:00:00,228491.23588624824,167127.787103425,669231.1232534961 
 01/02  06:00:00,248698.21004290518,188476.58885968215,701190.4981877615 
 01/02  07:00:00,255451.18891269868,195995.44260851454,708902.441410338 
 01/02  08:00:00,265403.1762686765,206725.20476806603,722356.5021750268 
 01/02  09:00:00,285382.1510471331,227652.8130537323,754317.5477770428 
 01/02  10:00:00,291488.26617164473,232806.58752210275,761841.3920004758 
 01/02  11:00:00,253062.46757804474,187201.45753838442,671760.1564538163 
 01/02  12:00:00,176128.2649354276,102410.12302189083,466721.925894436 
 01/02  13:00:00,107873.8502724882,27818.08548119552,292015.39777587407 
 01/02  14:00:00,133808.95909651244,52967.10997483933,434780.3326144027 
 01/02  15:00:00,209774.23670977532,134852.37672707008,598706.9470983332 
 01/02  16:00:00,288282.36754014925,219985.79162140217,746868.4835982838 
 01/02  17:00:00,352201.85161233804,290449.4314614083,871394.4533598399 
 01/02  18:00:00,566539.6068062495,507328.925013307,1151771.5665291904 
 01/02  19:00:00,634795.902247599,576089.3274705091,1232806.9997805362 
 01/02  20:00:00,657682.5313767884,600596.6044515261,1263416.9792415886 
 01/02  21:00:00,676054.0664562471,620407.1256747689,1287664.5016097229 
 01/02  22:00:00,703889.3442266927,649866.2633808091,1327158.8238988772 
 01/02  23:00:00,737869.4338779589,685518.3780337963,1378050.7926276997 
 01/02  24:00:00,792825.8630291016,742691.2376525652,1466166.9393923185 
 01/03  01:00:00,859921.7878233208,812438.9701873087,1575716.4979232587 
 01/03  02:00:00,856012.5896931122,821389.138720737,1696044.849369884 
 01/03  03:00:00,884524.6039269526,855682.4071987674,1784342.6687470234 
 01/03  04:00:00,916195.1319350103,890465.6388757289,1848203.6193610001 
 01/03  05:00:00,938568.3373992316,915430.0916794821,1895768.3680927698 
 01/03  06:00:00,951314.6278454586,930396.3187519363,1929659.7948166456 
 01/03  07:00:00,963042.7129079633,944209.1367077252,1963981.236850268 
 01/03  08:00:00,973769.2822143905,956702.0220068236,1991269.4297203966 
 01/03  09:00:00,984611.6880156351,968931.2012039995,2012643.8799101661 
 01/03  10:00:00,981759.5991172567,965610.3846840488,2005521.6825993173 
 01/03  11:00:00,943108.5870421987,917760.8775270791,1923535.3397889736 
