Date/Time,BATIMENT0000000240879459_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,97439.58989127714 
 01/01  02:00:00,0.0,0.0,0.0,0.0,566292.2384643046 
 01/01  03:00:00,0.0,0.0,0.0,0.0,902936.0304473157 
 01/01  04:00:00,0.0,0.0,0.0,0.0,1200069.5866000534 
 01/01  05:00:00,0.0,0.0,0.0,0.0,1415731.8713415298 
 01/01  06:00:00,0.0,0.0,0.0,0.0,1678407.684865258 
 01/01  07:00:00,0.0,0.0,0.0,0.0,1885517.0620730193 
 01/01  08:00:00,0.0,0.0,0.0,0.0,2104905.536631192 
 01/01  09:00:00,0.0,0.0,0.0,0.0,2414324.709629596 
 01/01  10:00:00,0.0,0.0,0.0,0.0,2551187.9159812233 
 01/01  11:00:00,0.0,0.0,0.0,0.0,1706639.360947079 
 01/01  12:00:00,0.0,0.0,0.0,0.0,418885.7795894088 
 01/01  13:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,7107.3517575117885 
 01/02  08:00:00,0.0,0.0,0.0,0.0,130860.84358418011 
 01/02  09:00:00,0.0,0.0,0.0,0.0,331208.10933043394 
 01/02  10:00:00,0.0,0.0,0.0,0.0,448973.5479221883 
 01/02  11:00:00,0.0,0.0,0.0,0.0,236949.0630194923 
 01/02  12:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  13:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  14:00:00,0.0,0.0,0.0,0.0,0.0 
 01/02  15:00:00,0.0,0.0,0.0,0.0,55139.236050474574 
 01/02  16:00:00,0.0,0.0,0.0,0.0,550937.5921693223 
 01/02  17:00:00,0.0,0.0,0.0,0.0,1106465.378936175 
 01/02  18:00:00,0.0,0.0,0.0,0.0,2231549.976308306 
 01/02  19:00:00,0.0,0.0,0.0,0.0,2627262.095730164 
 01/02  20:00:00,0.0,0.0,0.0,0.0,2828972.042372999 
 01/02  21:00:00,0.0,0.0,0.0,0.0,3003915.3161126915 
 01/02  22:00:00,0.0,0.0,0.0,0.0,3231239.9611604013 
 01/02  23:00:00,0.0,0.0,0.0,0.0,3512192.815690274 
 01/02  24:00:00,0.0,0.0,0.0,0.0,3959024.8466400155 
 01/03  01:00:00,0.0,0.0,0.0,0.0,4513725.905404266 
 01/03  02:00:00,0.0,0.0,0.0,0.0,5291113.5273742825 
 01/03  03:00:00,0.0,0.0,0.0,0.0,5830276.397405385 
 01/03  04:00:00,0.0,0.0,0.0,0.0,6222163.124813341 
 01/03  05:00:00,0.0,0.0,0.0,0.0,6544088.500782375 
 01/03  06:00:00,0.0,0.0,0.0,0.0,6809406.232181977 
 01/03  07:00:00,0.0,0.0,0.0,0.0,7074481.410614926 
 01/03  08:00:00,0.0,0.0,0.0,0.0,7295077.84922785 
 01/03  09:00:00,0.0,0.0,0.0,0.0,7472338.186773268 
 01/03  10:00:00,0.0,0.0,0.0,0.0,7518871.95241026 
 01/03  11:00:00,0.0,0.0,0.0,0.0,7295412.490238259 
 01/03  12:00:00,0.0,0.0,0.0,0.0,6790028.012558895 
 01/03  13:00:00,0.0,0.0,0.0,0.0,6282573.257668703 
