Date/Time,BATIMENT0000000240879467_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,3669511.54808449,3223237.8586598523,3800861.3857685295,4286699.474225288 
 01/01  02:00:00,4073953.4954578658,3563405.677163914,4197889.5166491885,4745321.1685192445 
 01/01  03:00:00,4251279.254416825,3706100.8933176924,4367228.356498067,4947778.078709858 
 01/01  04:00:00,4391003.127667632,3822426.767554679,4500439.585789014,5102186.668898577 
 01/01  05:00:00,4469315.9482758725,3884765.472299282,4572114.26330623,5188570.688959835 
 01/01  06:00:00,4585207.900535347,3978113.602013798,4683306.773966447,5322165.391543441 
 01/01  07:00:00,4661217.251115886,4042121.311555684,4755036.231235049,5404927.92081916 
 01/01  08:00:00,4755202.9061968075,4122327.1420152294,4845429.021762619,5508085.107974963 
 01/01  09:00:00,4911293.342985546,4253902.165690613,4999785.41671117,5688525.667070866 
 01/01  10:00:00,4936014.504177232,4278837.483420103,4950770.102168516,5666519.745738741 
 01/01  11:00:00,4284367.051143454,3691085.14915815,3911307.3179415776,4579028.166802832 
 01/01  12:00:00,3219197.02924772,2783140.0663212393,2690544.0310741086,3197989.948735635 
 01/01  13:00:00,2204769.0378060765,2075631.3941771293,2196158.3454039395,2410960.582168731 
 01/01  14:00:00,1092695.8840276056,1581324.0656421399,1937439.064906323,1502777.07470526 
 01/01  15:00:00,213432.4719462096,1325959.0422102346,1958560.0007654456,875721.224687036 
 01/01  16:00:00,84900.64976683097,1594573.8997929103,2304194.4347560816,1323750.71914588 
 01/01  17:00:00,1436945.762791777,2195248.531901154,2632549.814701412,2324411.3885246282 
 01/01  18:00:00,2621801.0277081085,2507004.2255376163,2967750.455517656,3162887.239498665 
 01/01  19:00:00,2866383.014500585,2666114.101013927,3163352.756040921,3438105.0459398525 
 01/01  20:00:00,3027102.66071361,2762286.34718465,3281294.5497979713,3614301.2675150465 
 01/01  21:00:00,3069386.589415594,2761784.3994637374,3286926.56620293,3658103.572914244 
 01/01  22:00:00,3079102.8622064153,2743093.6196491807,3265504.241555772,3659739.306807576 
 01/01  23:00:00,3234485.634711583,2866942.0134836626,3397774.623395938,3814868.322191038 
 01/01  24:00:00,3295413.9981866875,2909394.2020657025,3439067.434003646,3868757.871992987 
 01/02  01:00:00,3220685.3697996293,2824824.2850557417,3345938.8024004837,3784231.159814854 
 01/02  02:00:00,3116529.848614293,2715266.3902280047,3225206.7814834258,3668618.8929840983 
 01/02  03:00:00,3117996.475179023,2699855.843137459,3214818.2524549086,3675105.021793943 
 01/02  04:00:00,3159764.1952269757,2715457.0121790073,3247225.1942870114,3736450.60905883 
 01/02  05:00:00,3216253.8823463996,2743394.2850975636,3295988.791136724,3817184.681030961 
 01/02  06:00:00,3306203.4857569607,2809972.3475366496,3381046.456447267,3926703.466497924 
 01/02  07:00:00,3313870.0192442723,2811078.481840277,3383808.5365632526,3935812.5038949307 
 01/02  08:00:00,3348401.416634928,2834243.609860333,3414599.565975219,3978226.394183928 
 01/02  09:00:00,3436460.7800733238,2903690.3521778844,3500280.58956135,4084450.3155942555 
 01/02  10:00:00,3444649.9381702165,2930279.0751823136,3500032.002752931,4073018.883896795 
 01/02  11:00:00,3178010.560898953,2763337.5896706535,3146585.916135244,3638680.055448524 
 01/02  12:00:00,2648797.542278849,2365558.015786919,2525134.546684775,2902245.662280396 
 01/02  13:00:00,2187612.737876213,2059933.0051299825,2211878.573361087,2446272.393960233 
 01/02  14:00:00,2493437.456389104,2340895.8500659056,2578141.43911806,2820879.9089404857 
 01/02  15:00:00,2979793.705449125,2680368.538048153,3043376.7307673637,3424454.4469685853 
 01/02  16:00:00,3419512.485093891,2986789.398848158,3474779.263661684,3985802.2925315164 
 01/02  17:00:00,3760393.260146076,3237309.658462037,3831465.4975500973,4435744.500465264 
 01/02  18:00:00,4660070.305644382,3854343.4635481834,4725321.239430875,5630505.8704039445 
 01/02  19:00:00,4895637.873754717,4023451.5550253647,4963402.902680517,5943875.499849753 
 01/02  20:00:00,4959393.412565383,4070905.611448558,5028010.317161027,6026026.435119291 
 01/02  21:00:00,5009017.524675973,4107564.2965586274,5078311.048348356,6090214.406240333 
 01/02  22:00:00,5104981.628732773,4182471.21382628,5175539.256835644,6210326.343503124 
