Date/Time,BATIMENT0000000240879546_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,402262.1422008262 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,984655.5287019169 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,1291166.9705017929 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,1558736.12622733 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,1750460.3480922496 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,1990354.2284590136 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,2176640.895269177 
 01/01  08:00:00,0.0,0.0,0.0,0.0,0.0,2375156.3282050686 
 01/01  09:00:00,0.0,0.0,0.0,0.0,0.0,2664351.2106400775 
 01/01  10:00:00,0.0,0.0,0.0,0.0,0.0,2779364.061992109 
 01/01  11:00:00,0.0,0.0,0.0,0.0,0.0,1848698.7753050192 
 01/01  12:00:00,0.0,0.0,0.0,0.0,0.0,398476.8026058184 
 01/01  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,21323.732716053928 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,144150.4263460396 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,313139.53527590056 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,495634.88041976443 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,559617.5952572093 
 01/02  08:00:00,0.0,0.0,0.0,0.0,0.0,653794.618265902 
 01/02  09:00:00,0.0,0.0,0.0,0.0,0.0,827297.9459201888 
 01/02  10:00:00,0.0,0.0,0.0,0.0,0.0,920860.8218347857 
 01/02  11:00:00,0.0,0.0,0.0,0.0,0.0,668305.4441948335 
 01/02  12:00:00,0.0,0.0,0.0,0.0,0.0,103433.88612451745 
 01/02  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  15:00:00,0.0,0.0,0.0,0.0,0.0,374205.184012877 
 01/02  16:00:00,0.0,0.0,0.0,0.0,0.0,982191.233829427 
 01/02  17:00:00,0.0,0.0,0.0,0.0,0.0,1515804.6938709617 
 01/02  18:00:00,0.0,0.0,0.0,0.0,0.0,2646968.46303448 
 01/02  19:00:00,0.0,0.0,0.0,0.0,0.0,3035932.062093863 
 01/02  20:00:00,0.0,0.0,0.0,0.0,0.0,3226676.956190691 
 01/02  21:00:00,0.0,0.0,0.0,0.0,0.0,3389949.0893963072 
 01/02  22:00:00,0.0,0.0,0.0,0.0,0.0,3606485.8912946032 
 01/02  23:00:00,0.0,0.0,0.0,0.0,0.0,3876575.04405339 
 01/02  24:00:00,0.0,0.0,0.0,0.0,0.0,4313329.753336733 
 01/03  01:00:00,0.0,0.0,0.0,0.0,0.0,4855238.6938271085 
 01/03  02:00:00,0.0,0.0,0.0,0.0,0.0,5573536.700856949 
 01/03  03:00:00,0.0,0.0,0.0,0.0,0.0,6082614.112118569 
 01/03  04:00:00,0.0,0.0,0.0,0.0,0.0,6457031.435820856 
 01/03  05:00:00,0.0,0.0,0.0,0.0,0.0,6763271.992320459 
 01/03  06:00:00,0.0,0.0,0.0,0.0,0.0,7013790.300793681 
 01/03  07:00:00,0.0,0.0,0.0,0.0,0.0,7264570.615221314 
 01/03  08:00:00,0.0,0.0,0.0,0.0,0.0,7473199.3061690945 
 01/03  09:00:00,0.0,0.0,0.0,0.0,0.0,7640822.7003965825 
 01/03  10:00:00,0.0,0.0,0.0,0.0,0.0,7680528.471022362 
 01/03  11:00:00,0.0,0.0,0.0,0.0,0.0,7451801.384447305 
 01/03  12:00:00,0.0,0.0,0.0,0.0,0.0,6930605.007453751 
 01/03  13:00:00,0.0,0.0,0.0,0.0,0.0,6368458.859526035 
 01/03  14:00:00,0.0,0.0,0.0,0.0,0.0,5895993.013380473 
 01/03  15:00:00,0.0,0.0,0.0,0.0,0.0,5482175.856035212 
 01/03  16:00:00,0.0,0.0,0.0,0.0,0.0,5128217.665173488 
 01/03  17:00:00,0.0,0.0,0.0,0.0,0.0,5992469.734730836 
 01/03  18:00:00,0.0,0.0,0.0,0.0,0.0,7944086.950780904 
 01/03  19:00:00,0.0,0.0,0.0,0.0,0.0,9016596.239924407 
 01/03  20:00:00,0.0,0.0,0.0,0.0,0.0,9448087.882577984 
 01/03  21:00:00,0.0,0.0,0.0,0.0,0.0,9887463.635742147 
 01/03  22:00:00,0.0,0.0,0.0,0.0,0.0,10481824.856346007 
 01/03  23:00:00,0.0,0.0,0.0,0.0,0.0,10956518.387301965 
 01/03  24:00:00,0.0,0.0,0.0,0.0,0.0,11902723.46393222 
 01/04  01:00:00,0.0,0.0,0.0,0.0,0.0,12775446.310069166 
 01/04  02:00:00,0.0,0.0,0.0,0.0,0.0,13254276.065745803 
 01/04  03:00:00,0.0,0.0,0.0,0.0,0.0,12980369.086512538 
 01/04  04:00:00,178036.02371340749,0.0,0.0,0.0,0.0,12718240.061577063 
 01/04  05:00:00,505664.2605632565,0.0,0.0,0.0,0.0,12975409.477497064 
 01/04  06:00:00,824888.3790856948,0.0,0.0,0.0,0.0,13182719.349995846 
 01/04  07:00:00,1121290.0289148237,0.0,0.0,0.0,8122.73558200759,13396660.36391473 
 01/04  08:00:00,1338803.9010607048,0.0,0.0,0.0,240622.17865315906,13496101.87701298 
 01/04  09:00:00,1529454.5832438075,0.0,0.0,0.0,562090.3352266949,13524233.45542057 
 01/04  10:00:00,1658473.1533446526,0.0,0.0,0.0,768502.9481962585,13405562.041435402 
 01/04  11:00:00,1494867.7277051597,0.0,0.0,0.0,554617.940447203,12487824.059854414 
 01/04  12:00:00,1150908.98353877,0.0,0.0,0.0,99912.3028665992,11044569.618081765 
 01/04  13:00:00,705040.5435829241,0.0,0.0,0.0,0.0,9114599.25806522 
 01/04  14:00:00,369083.488573035,0.0,0.0,0.0,0.0,7813997.811897233 
 01/04  15:00:00,171368.0740708529,0.0,0.0,0.0,0.0,6947757.66796191 
 01/04  16:00:00,86745.44170465962,0.0,0.0,0.0,0.0,6273857.43018225 
 01/04  17:00:00,152760.86344703363,0.0,0.0,0.0,0.0,6372375.185068542 
 01/04  18:00:00,405577.7388967203,0.0,0.0,0.0,0.0,7661733.429739458 
 01/04  19:00:00,555019.5011474855,0.0,0.0,0.0,0.0,7973302.118186257 
 01/04  20:00:00,667118.5231946533,0.0,0.0,0.0,0.0,8186436.22372937 
 01/04  21:00:00,681309.9395450103,0.0,0.0,0.0,0.0,8192837.400155637 
 01/04  22:00:00,705666.5649388814,0.0,0.0,0.0,0.0,8273030.370464801 
 01/04  23:00:00,713218.0402380291,0.0,0.0,0.0,0.0,8254686.689670504 
 01/04  24:00:00,690599.8917563951,0.0,0.0,0.0,0.0,8120663.741532868 
 01/05  01:00:00,761949.3024483926,0.0,0.0,0.0,4307.1381207766535,8329950.530457541 
 01/05  02:00:00,806610.4881911714,0.0,0.0,0.0,71258.83606292191,8499974.908015532 
 01/05  03:00:00,802904.3976208835,0.0,0.0,0.0,142994.96407748375,8520951.11712707 
 01/05  04:00:00,828670.3166330096,0.0,0.0,0.0,234684.4190024531,8620921.05013926 
 01/05  05:00:00,843193.427478533,0.0,0.0,0.0,304074.20819761534,8636133.704452682 
 01/05  06:00:00,848233.9861006492,0.0,0.0,0.0,356707.92527453596,8610924.439281764 
 01/05  07:00:00,860030.9864618417,0.0,0.0,0.0,409966.3369553745,8630018.110954812 
 01/05  08:00:00,882097.5815401571,0.0,0.0,0.0,469647.1341365694,8698722.558520135 
 01/05  09:00:00,867981.3185212931,0.0,0.0,0.0,484687.55469947716,8630726.529473701 
 01/05  10:00:00,810725.4129445872,0.0,0.0,0.0,438006.35501090216,8427908.266755363 
 01/05  11:00:00,696515.7088216577,0.0,0.0,0.0,290236.1314285401,8068797.165495089 
 01/05  12:00:00,469089.6514504915,0.0,0.0,0.0,37185.981033561984,7409560.855124345 
 01/05  13:00:00,265337.32382497546,0.0,0.0,0.0,0.0,6755561.842881507 
 01/05  14:00:00,41403.97343931036,0.0,0.0,0.0,0.0,5992055.802233821 
 01/05  15:00:00,0.0,0.0,0.0,0.0,0.0,5600484.251531943 
 01/05  16:00:00,0.0,0.0,0.0,0.0,0.0,5600672.611706809 
 01/05  17:00:00,0.0,0.0,0.0,0.0,0.0,5525047.85304953 
 01/05  18:00:00,0.0,0.0,0.0,0.0,0.0,6244239.7559436485 
 01/05  19:00:00,1365.5273424403279,0.0,0.0,0.0,0.0,6743755.382429305 
