Date/Time,BATIMENT0000000240879577_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879577_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879577_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879577_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,884822.8146828712 
 01/01  02:00:00,0.0,0.0,0.0,1478057.6575155458 
 01/01  03:00:00,0.0,0.0,0.0,1768551.3755151334 
 01/01  04:00:00,0.0,0.0,0.0,2024897.8671277543 
 01/01  05:00:00,0.0,0.0,0.0,2199783.6153519256 
 01/01  06:00:00,0.0,0.0,0.0,2429173.2013862683 
 01/01  07:00:00,0.0,0.0,0.0,2606442.5492993114 
 01/01  08:00:00,0.0,0.0,0.0,2801325.4151506876 
 01/01  09:00:00,0.0,0.0,0.0,3092793.257510112 
 01/01  10:00:00,0.0,0.0,0.0,3193077.176448189 
 01/01  11:00:00,0.0,0.0,0.0,2172265.250823877 
 01/01  12:00:00,0.0,0.0,0.0,617543.0881555695 
 01/01  13:00:00,0.0,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0 
 01/01  21:00:00,0.0,0.0,0.0,32612.233127500804 
 01/01  22:00:00,0.0,0.0,0.0,90522.48086345644 
 01/01  23:00:00,0.0,0.0,0.0,288885.36680035904 
 01/01  24:00:00,0.0,0.0,0.0,403799.2359724435 
 01/02  01:00:00,0.0,0.0,0.0,359302.1948632857 
 01/02  02:00:00,0.0,0.0,0.0,281475.14929232135 
 01/02  03:00:00,0.0,0.0,0.0,315636.68540768704 
 01/02  04:00:00,0.0,0.0,0.0,431785.0766877281 
 01/02  05:00:00,0.0,0.0,0.0,566729.1428404686 
 01/02  06:00:00,0.0,0.0,0.0,727178.4317994738 
 01/02  07:00:00,0.0,0.0,0.0,768531.9616902183 
 01/02  08:00:00,0.0,0.0,0.0,843070.563210857 
 01/02  09:00:00,0.0,0.0,0.0,1004101.4898067779 
 01/02  10:00:00,0.0,0.0,0.0,1083501.628504977 
 01/02  11:00:00,0.0,0.0,0.0,791593.8049105229 
 01/02  12:00:00,0.0,0.0,0.0,147427.7698904989 
 01/02  13:00:00,0.0,0.0,0.0,0.0 
 01/02  14:00:00,0.0,0.0,0.0,11599.573954250083 
 01/02  15:00:00,0.0,0.0,0.0,494308.0848898754 
 01/02  16:00:00,0.0,0.0,0.0,1118743.372160061 
 01/02  17:00:00,0.0,0.0,0.0,1675085.3972815792 
 01/02  18:00:00,0.0,0.0,0.0,2799223.988948794 
 01/02  19:00:00,0.0,0.0,0.0,3175492.667566413 
 01/02  20:00:00,0.0,0.0,0.0,3359749.2443094617 
 01/02  21:00:00,0.0,0.0,0.0,3518661.645132542 
 01/02  22:00:00,0.0,0.0,0.0,3733217.963754952 
 01/02  23:00:00,0.0,0.0,0.0,4004988.2163523464 
 01/02  24:00:00,0.0,0.0,0.0,4450141.705651259 
 01/03  01:00:00,0.0,0.0,0.0,5007813.607836067 
 01/03  02:00:00,0.0,0.0,0.0,5826880.756473363 
 01/03  03:00:00,0.0,0.0,0.0,6378575.248760838 
 01/03  04:00:00,0.0,0.0,0.0,6773010.081819734 
 01/03  05:00:00,0.0,0.0,0.0,7095632.560262013 
 01/03  06:00:00,0.0,0.0,0.0,7360410.053981582 
 01/03  07:00:00,0.0,0.0,0.0,7625081.619217409 
 01/03  08:00:00,0.0,0.0,0.0,7844252.194291592 
 01/03  09:00:00,0.0,0.0,0.0,8019382.720056044 
 01/03  10:00:00,0.0,0.0,0.0,8059047.553794481 
 01/03  11:00:00,0.0,0.0,0.0,7816393.535377635 
 01/03  12:00:00,0.0,0.0,0.0,7274255.00261138 
 01/03  13:00:00,0.0,0.0,0.0,6733860.399450404 
 01/03  14:00:00,0.0,0.0,0.0,6348876.919525565 
 01/03  15:00:00,0.0,0.0,0.0,6135338.275258106 
 01/03  16:00:00,0.0,0.0,0.0,5797747.290053546 
 01/03  17:00:00,0.0,0.0,0.0,6457412.614554422 
 01/03  18:00:00,0.0,0.0,0.0,8492071.8192441 
 01/03  19:00:00,0.0,0.0,0.0,9618303.156997364 
 01/03  20:00:00,0.0,0.0,0.0,10066594.887260757 
 01/03  21:00:00,0.0,0.0,0.0,10536016.576257361 
 01/03  22:00:00,0.0,0.0,0.0,11164357.25694901 
 01/03  23:00:00,0.0,0.0,0.0,11667418.589773694 
 01/03  24:00:00,0.0,0.0,0.0,12666080.293393703 
 01/04  01:00:00,0.0,0.0,0.0,13554033.824254446 
 01/04  02:00:00,0.0,0.0,0.0,14017172.556163248 
 01/04  03:00:00,0.0,0.0,0.0,13675735.504237669 
 01/04  04:00:00,0.0,0.0,0.0,13357123.072525537 
 01/04  05:00:00,0.0,0.0,0.0,13611952.361565914 
 01/04  06:00:00,0.0,0.0,0.0,13822082.604100019 
 01/04  07:00:00,0.0,0.0,0.0,14038940.032508504 
 01/04  08:00:00,15745.115826899564,0.0,0.0,14138488.56142133 
 01/04  09:00:00,272074.9429048432,0.0,0.0,14173352.987335842 
 01/04  10:00:00,507418.4025639741,0.0,0.0,14061093.41887682 
 01/04  11:00:00,404837.7809731537,0.0,0.0,13102307.361806827 
 01/04  12:00:00,111353.12621309131,0.0,0.0,11609383.72362085 
 01/04  13:00:00,0.0,0.0,0.0,9736619.4371858 
 01/04  14:00:00,0.0,0.0,0.0,8543590.428213285 
 01/04  15:00:00,0.0,0.0,0.0,7810232.350496914 
 01/04  16:00:00,0.0,0.0,0.0,6988453.264465702 
 01/04  17:00:00,0.0,0.0,0.0,6815272.70435983 
 01/04  18:00:00,0.0,0.0,0.0,8095119.822245269 
 01/04  19:00:00,0.0,0.0,0.0,8403107.268462013 
 01/04  20:00:00,0.0,0.0,0.0,8610164.545427483 
 01/04  21:00:00,0.0,0.0,0.0,8603732.784900878 
 01/04  22:00:00,0.0,0.0,0.0,8674962.557288935 
 01/04  23:00:00,0.0,0.0,0.0,8644737.96314158 
 01/04  24:00:00,338.38047035678755,0.0,0.0,8497320.625387799 
 01/05  01:00:00,100154.17935298174,0.0,0.0,8706632.753604751 
 01/05  02:00:00,189736.13843516505,0.0,0.0,8876250.068643294 
 01/05  03:00:00,224923.02039391655,0.0,0.0,8888784.684083758 
 01/05  04:00:00,286694.33110915124,0.0,0.0,8989201.160161447 
 01/05  05:00:00,329748.9963625281,0.0,0.0,9005139.414060453 
 01/05  06:00:00,359421.99012146884,0.0,0.0,8978863.821728684 
 01/05  07:00:00,393460.2749623111,0.0,0.0,8997701.47578753 
 01/05  08:00:00,434970.3617661959,0.0,0.0,9065494.235954134 
 01/05  09:00:00,438342.4602319981,0.0,0.0,8997105.774416015 
 01/05  10:00:00,392337.5241529226,0.0,0.0,8786290.857450616 
 01/05  11:00:00,276365.44284401316,0.0,0.0,8410501.206073707 
 01/05  12:00:00,54285.20414181404,0.0,0.0,7717077.028584704 
