Date/Time,BATIMENT0000000240879409_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,7592085.763014944,5919120.469029323,5878841.273710889,6998056.8673715815,16713755.858980127 
 01/01  02:00:00,8309004.222685756,6660847.479352948,6653391.143032752,7875287.623345542,18578723.77952428 
 01/01  03:00:00,8664369.395280682,7034879.363776086,7047437.216932551,8324331.696420978,19416679.780684143 
 01/01  04:00:00,8850020.647312349,7237106.824143167,7268523.282668214,8594477.919305658,20007704.905736387 
 01/01  05:00:00,8983676.194856733,7385099.3760385625,7431285.482885873,8792478.506267024,20375299.29961486 
 01/01  06:00:00,9255133.533709556,7672577.3950215,7733178.240182888,9133391.601322753,20989559.400266565 
 01/01  07:00:00,9341522.997106683,7773952.3265623115,7847722.3708299175,9280001.225269351,21320162.527298003 
 01/01  08:00:00,9480656.710196188,7926377.980034642,8013591.539107145,9479989.426590009,21763515.512053464 
 01/01  09:00:00,9879867.310562726,8343486.506848445,8443178.65775727,9952119.578578446,22646501.944398664 
 01/01  10:00:00,10160119.839248145,8640112.526572596,8733675.04595685,10233640.307238443,23066247.211420495 
 01/01  11:00:00,9024807.52472772,7500087.362064876,7507137.867735419,8451648.454793965,20089293.320619803 
 01/01  12:00:00,6916725.803723782,5346542.81111953,4896596.914196996,4933689.972593176,15276928.44367229 
 01/01  13:00:00,5181461.979596328,3460189.4796841517,2336257.3558970354,2059361.7769173172,11675519.452616014 
 01/01  14:00:00,4086381.589694825,2334700.763070604,1083537.8369338375,601864.905769442,8753910.75532461 
 01/01  15:00:00,3557364.4445645777,1843358.433752446,905043.1648610072,424011.47141356487,7052030.335994516 
 01/01  16:00:00,3840303.6318698516,2130405.685054965,1685571.1269262629,1497415.6906425315,7524116.916825418 
 01/01  17:00:00,4567390.091527117,2828966.3336880505,2540557.613873313,3061145.738872129,9834851.611084677 
 01/01  18:00:00,5604734.430600191,3859844.732999607,3638057.925957966,4365704.276292661,12228017.019595869 
 01/01  19:00:00,6313034.184490182,4578591.814606838,4390989.269641714,5200598.225146595,13500352.720219068 
 01/01  20:00:00,6753146.60438923,5028889.418467944,4870701.90638965,5744432.74352015,14297130.762104057 
 01/01  21:00:00,6989300.463768806,5272900.053240071,5135933.297928027,6047061.183235859,14577465.600334298 
 01/01  22:00:00,7010778.256285284,5301992.40647169,5184143.595708901,6121132.705798318,14563555.115550768 
 01/01  23:00:00,7002425.558253608,5303059.083345378,5212016.684804839,6200950.303265973,14935980.438905274 
 01/01  24:00:00,6956441.478362765,5265324.516877443,5195226.5780677525,6221928.231577529,15035866.13551933 
 01/02  01:00:00,6982258.630898796,5293667.735407607,5231022.905501014,6258288.017878895,14821662.120406289 
 01/02  02:00:00,6970268.656570214,5285635.797091835,5227915.231476733,6244877.9824046595,14486636.477431612 
 01/02  03:00:00,7156739.886192802,5475738.426046312,5424117.417239577,6443943.064286744,14646046.026039647 
 01/02  04:00:00,7584277.043612983,5911630.7375700185,5866083.324573139,6900169.438232211,15165218.122071933 
 01/02  05:00:00,8030568.292630443,6369358.314154097,6328803.99898573,7373028.9211655315,15746667.550415114 
 01/02  06:00:00,8329856.801996275,6680744.92228989,6648473.54041506,7713715.916087395,16281591.387147622 
 01/02  07:00:00,8351526.362619252,6711738.192490064,6685294.112857863,7758038.506868802,16311833.64181609 
 01/02  08:00:00,8485283.483568333,6853390.704494781,6832212.533193469,7912859.44925857,16531816.890354004 
 01/02  09:00:00,8796784.071542881,7177114.420541749,7161840.776949754,8261530.459565586,17096700.027257644 
 01/02  10:00:00,8938782.603884099,7329527.108442056,7306369.862261289,8403891.506542804,17387186.184224047 
 01/02  11:00:00,8598666.964472456,6984450.4700365765,6903873.167937063,7838175.276662665,16649020.905612295 
 01/02  12:00:00,7679412.396180008,6034737.150982726,5743244.800396125,6266045.53275378,14560905.949069329 
 01/02  13:00:00,6810478.593386251,5085163.611121095,4542416.820082068,4917900.431633517,12796784.239285287 
 01/02  14:00:00,7031556.023525739,5324745.223469962,5033989.286334461,5744853.73215391,13788586.046020728 
 01/02  15:00:00,8151370.895765427,6470533.237123053,6289085.484597951,7180989.283728393,15973391.549368225 
 01/02  16:00:00,9308725.383592004,7656999.488642086,7530388.751880674,8543867.639166735,18144771.927120935 
 01/02  17:00:00,10207724.778818704,8585901.798658272,8504316.706061505,9617891.776083382,19897820.58421442 
 01/02  18:00:00,12387374.735975824,10816404.424252281,10751250.53039667,12004425.960008463,24016910.8851359 
 01/02  19:00:00,13478461.866664529,11941308.66349049,11882271.801688442,13179759.979239753,25647003.51792977 
 01/02  20:00:00,13884486.494209522,12379374.355167367,12334202.315692957,13662187.676924888,26229306.865812764 
 01/02  21:00:00,14134882.582290268,12658949.646730188,12626131.287519824,13977984.374988614,26616728.66873579 
 01/02  22:00:00,14736611.616252685,13289892.107593425,13268833.158570636,14648181.353162136,27472730.725862462 
 01/02  23:00:00,15433143.158035502,14016764.14055863,14007306.613896847,15419399.952444915,28541683.27260945 
 01/02  24:00:00,16259661.996798748,14882071.717693482,14886253.604002623,16352613.693304354,30096849.21272394 
 01/03  01:00:00,17153186.23112293,15817461.339788958,15835844.411133932,17366456.907250565,31918726.414926738 
 01/03  02:00:00,17254600.849236146,15981003.222572083,16073782.529013634,17728613.894263856,33114858.123950135 
 01/03  03:00:00,17711954.84545908,16475722.53796197,16600397.539529053,18327521.723986592,34310088.837115645 
 01/03  04:00:00,18126921.740790527,16919958.44223709,17062173.173914514,18839112.786021836,35237839.069881424 
 01/03  05:00:00,18391545.789575312,17208770.83569993,17365982.291202683,19183543.515724964,35881700.337219596 
 01/03  06:00:00,18489598.2430591,17323204.808905914,17492227.886278033,19340538.51132959,36237839.821917176 
 01/03  07:00:00,18600628.20815942,17446804.8073477,17626649.388141934,19506349.953425102,36610617.1523231 
 01/03  08:00:00,18699095.693512134,17558402.22439047,17747464.217169084,19652081.115548138,36918809.425443664 
 01/03  09:00:00,18824564.478375167,17698811.95785178,17896434.88884663,19821842.822063267,37221038.93570897 
 01/03  10:00:00,18723033.111474626,17604931.46259543,17800386.35278822,19726210.198504694,37081068.89779304 
 01/03  11:00:00,18247164.716860365,17100313.31563687,17246259.790207144,19104879.19972336,36178347.93975797 
 01/03  12:00:00,17428154.416620474,16198327.742240883,16220116.131997302,17912042.252085444,34531185.57956921 
 01/03  13:00:00,16457870.320516378,15146797.189947555,14984704.2087835,16461505.74865637,33007924.25119647 
 01/03  14:00:00,15740924.369880755,14413344.341684952,14127031.691362623,15414912.615477687,31610960.85943778 
 01/03  15:00:00,15208716.753912158,13883559.229979428,13550624.314777829,14587020.324313898,30270480.691630926 
 01/03  16:00:00,14724720.654321685,13419522.549317304,13275504.365421932,14088096.16835589,28929452.524783663 
 01/03  17:00:00,14847525.804607898,13568632.287123572,13611318.555066105,15187903.614241665,30979275.33344436 
 01/03  18:00:00,16656410.090861702,15460883.068962924,15637844.487729613,17600753.284731463,36639051.369594626 
 01/03  19:00:00,18524177.195227463,17381761.260980833,17602823.692930117,19723288.41985608,40451934.31686852 
 01/03  20:00:00,18908546.6344985,17797227.261015948,18047313.61614304,20250956.648827787,41526718.61246961 
