Time,BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Latent Heat Load [W],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Latent Cool Load [W],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Heat Load No DOAS [W],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Sens Cool Load No DOAS [W],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Latent Heat Load No DOAS [W],BATIMENT0000000240879451_PART0_F0_WHOLE::Des Latent Cool Load No DOAS [W],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BATIMENT0000000240879451_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,4.001190E+03,0.000000E+00,1.307643E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999271E+01,4.417962E+01,2.694654E+01,5.189654E+01
00:20:00,4.053756E+03,0.000000E+00,1.324819E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999266E+01,4.417933E+01,2.679415E+01,5.291992E+01
00:30:00,4.109943E+03,0.000000E+00,1.343178E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999262E+01,4.418564E+01,2.663943E+01,5.394137E+01
00:40:00,4.169804E+03,0.000000E+00,1.362738E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999258E+01,4.419733E+01,2.648535E+01,5.494453E+01
00:50:00,4.233346E+03,0.000000E+00,1.383500E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999254E+01,4.421234E+01,2.633147E+01,5.592943E+01
01:00:00,4.300579E+03,0.000000E+00,1.405469E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999251E+01,4.422905E+01,2.617649E+01,5.690053E+01
01:10:00,4.326935E+03,0.000000E+00,1.414080E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999248E+01,4.424652E+01,2.602009E+01,5.785920E+01
01:20:00,4.351145E+03,0.000000E+00,1.421991E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999247E+01,4.426226E+01,2.587473E+01,5.876281E+01
01:30:00,4.373234E+03,0.000000E+00,1.429209E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999246E+01,4.427538E+01,2.574219E+01,5.960432E+01
01:40:00,4.393159E+03,0.000000E+00,1.435719E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999245E+01,4.428627E+01,2.561700E+01,6.040249E+01
01:50:00,4.410912E+03,0.000000E+00,1.441520E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999244E+01,4.429558E+01,2.549438E+01,6.117475E+01
02:00:00,4.426486E+03,0.000000E+00,1.446609E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999242E+01,4.430392E+01,2.537223E+01,6.192952E+01
02:10:00,4.442077E+03,0.000000E+00,1.451704E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999241E+01,4.431160E+01,2.525011E+01,6.266933E+01
02:20:00,4.457782E+03,0.000000E+00,1.456836E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999239E+01,4.432063E+01,2.513549E+01,6.335888E+01
02:30:00,4.473593E+03,0.000000E+00,1.462002E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999237E+01,4.433168E+01,2.502932E+01,6.399027E+01
02:40:00,4.489545E+03,0.000000E+00,1.467215E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999236E+01,4.434429E+01,2.492821E+01,6.457621E+01
02:50:00,4.505639E+03,0.000000E+00,1.472474E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999234E+01,4.435777E+01,2.482923E+01,6.512987E+01
03:00:00,4.521881E+03,0.000000E+00,1.477781E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999233E+01,4.437158E+01,2.473109E+01,6.565863E+01
03:10:00,4.537034E+03,0.000000E+00,1.482732E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999232E+01,4.438544E+01,2.463352E+01,6.616579E+01
03:20:00,4.551004E+03,0.000000E+00,1.487297E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999232E+01,4.439702E+01,2.453705E+01,6.665984E+01
