Date/Time,BATIMENT0000000240879754_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879754_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879754_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879754_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,5192247.585727068,4712283.087842455,4998163.74958002,7416798.713935232 
 01/01  02:00:00,5650388.45679203,5208289.334565495,5543952.179679693,8251164.721616565 
 01/01  03:00:00,5889528.940739099,5471140.851756759,5831468.52513971,8648145.424813785 
 01/01  04:00:00,6019665.899270635,5620638.226364186,6003584.238613581,8914911.245591583 
 01/01  05:00:00,6112902.386390264,5728638.466424608,6126916.036286533,9087735.743895333 
 01/01  06:00:00,6290857.890256997,5924514.611469137,6338177.33699255,9370907.608715726 
 01/01  07:00:00,6355432.440576181,6004524.709277119,6430306.249449207,9511285.135011487 
 01/01  08:00:00,6441730.522011088,6103653.756304632,6544962.622234327,9698589.72791569 
 01/01  09:00:00,6692822.088178263,6375206.969504197,6833251.636613502,10093769.72586301 
 01/01  10:00:00,6843906.788245076,6535299.593357062,6974231.575534929,10163335.68251232 
 01/01  11:00:00,6025996.320380613,5676898.406411384,5937621.848036668,8102985.679049416 
 01/01  12:00:00,4542884.6922447905,4066541.428706043,3676107.6414459655,4962655.934094854 
 01/01  13:00:00,3318517.511437664,2486929.0276777395,1628503.9356963912,2857996.7111177715 
 01/01  14:00:00,2586234.2548010685,1663512.7422474283,690299.7443486879,1323592.6858001563 
 01/01  15:00:00,2301208.7754821815,1578000.4000616334,740626.6792843526,583450.0246341064 
 01/01  16:00:00,2557970.473981314,1920659.280423945,1566411.08170253,1332766.6021521466 
 01/01  17:00:00,3125513.491201563,2482927.1312725935,2417872.4218410393,3307361.3437160053 
 01/01  18:00:00,3878724.2210578406,3269919.3064286443,3336619.453618596,5025676.6940980395 
 01/01  19:00:00,4332274.092659271,3750940.731233797,3861284.069770609,5710525.046053624 
 01/01  20:00:00,4622204.8056879025,4062759.169989895,4207807.172893524,6161462.860156089 
 01/01  21:00:00,4786296.506106794,4241371.706192932,4407231.345081367,6380374.495432572 
 01/01  22:00:00,4815197.996911345,4280276.074312379,4461979.717675366,6436176.595349609 
 01/01  23:00:00,4821133.670089838,4300231.380603242,4513104.86078539,6602863.483398379 
 01/01  24:00:00,4801885.543494221,4291326.2468420975,4527182.79974494,6666532.850658376 
 01/02  01:00:00,4820675.613963272,4311270.618744709,4547365.44699379,6624647.538287536 
 01/02  02:00:00,4820991.859770715,4312828.555734693,4545162.241494861,6538642.326270303 
 01/02  03:00:00,4936957.268681255,4432830.239630245,4667876.404876523,6656558.781272814 
 01/02  04:00:00,5209631.289891441,4717944.0231159,4956303.51466911,6954333.730761145 
 01/02  05:00:00,5495979.705658028,5019693.008196833,5260739.692675784,7279495.144234376 
 01/02  06:00:00,5695617.631492781,5235498.723317925,5485239.689460754,7552747.283193246 
 01/02  07:00:00,5722284.028329065,5269742.281571642,5522822.505142527,7586357.993090982 
 01/02  08:00:00,5809588.277545307,5363323.523618959,5620341.878858966,7702626.385061418 
 01/02  09:00:00,6006301.452127796,5573177.558767234,5836672.576743025,7971637.720563307 
 01/02  10:00:00,6070356.108131389,5639000.152773607,5884324.31560999,8015739.044277698 
 01/02  11:00:00,5761159.734451604,5291888.831318863,5428700.934450758,7246129.100086229 
 01/02  12:00:00,5061411.045868693,4512934.552826453,4337820.2887811195,5667060.73290645 
 01/02  13:00:00,4426343.67819542,3707731.384060776,3321948.5900935237,4570665.704207499 
 01/02  14:00:00,4652959.454975255,4018371.321805634,3920691.3644761546,5445053.053464638 
 01/02  15:00:00,5412964.963673869,4857004.358063418,4897151.05167343,6744919.16008604 
 01/02  16:00:00,6183441.129910279,5686668.473195776,5813850.415269563,7964308.073797095 
 01/02  17:00:00,6774270.065237823,6329015.072205528,6527927.335092437,8928931.768648399 
 01/02  18:00:00,8912945.174523296,8554169.513849773,8779148.684177468,11485010.937411495 
 01/02  19:00:00,9712615.66016871,9391317.879985726,9616814.960231774,12367258.381229771 
 01/02  20:00:00,9948738.293310978,9656627.896169672,9893165.003371034,12657729.676798733 
 01/02  21:00:00,10107871.115876803,9840810.069804009,10086360.737749863,12860036.537403604 
 01/02  22:00:00,10441113.449988402,10200555.39980573,10456019.604160953,13266234.944991123 
 01/02  23:00:00,10847577.871604767,10635576.910822406,10902166.401135914,13775413.586572986 
 01/02  24:00:00,11415935.57587253,11241994.85913615,11524982.264126498,14537184.299198274 
 01/03  01:00:00,12075846.444105335,11946857.847834902,12249304.210426323,15442217.35142452 
 01/03  02:00:00,11577108.358665802,11514331.465461424,11940418.12205864,15641151.686548892 
 01/03  03:00:00,11721946.42507669,11695432.532655524,12170173.575822031,16107500.645225335 
 01/03  04:00:00,11968229.134949181,11965916.995684989,12463018.500137737,16521806.864761112 
 01/03  05:00:00,12122253.068503486,12137912.839099092,12653164.95005988,16803698.394396774 
 01/03  06:00:00,12169121.132228682,12193064.321725212,12721471.456189428,16943810.53449647 
 01/03  07:00:00,12217834.480907615,12244625.633854464,12784994.208396792,17085342.23404346 
 01/03  08:00:00,12269900.938433044,12303479.601096082,12854280.800062776,17210234.806842178 
 01/03  09:00:00,12344027.798645364,12387889.380547497,12947520.109371586,17338620.795874037 
