Date/Time,BATIMENT0000000357175643_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,388771.7760068357,336525.9562680643,737028.99389237 
 01/01  02:00:00,475844.8214836236,427518.2897870466,868457.9295744443 
 01/01  03:00:00,519310.950289925,473633.6673764265,931925.6145679284 
 01/01  04:00:00,542429.9135287066,499277.4674775647,973429.5265209746 
 01/01  05:00:00,559115.3167193442,517967.4606325891,1001859.4358689487 
 01/01  06:00:00,592587.845263823,553320.6495599741,1049856.785953715 
 01/01  07:00:00,604730.1121998448,567338.5038258479,1074500.9458846604 
 01/01  08:00:00,622277.7209890205,586657.780930266,1105492.4904053246 
 01/01  09:00:00,672267.5190754883,638238.0179881207,1173958.534740557 
 01/01  10:00:00,710575.8616107284,675907.8026916861,1209885.021917674 
 01/01  11:00:00,582852.5105597444,543815.7278778446,965177.73930022 
 01/01  12:00:00,333149.4622140541,259711.71884978976,541022.2154646495 
 01/01  13:00:00,126134.92363638217,28778.183589768014,201641.9080315951 
 01/01  14:00:00,9853.8224260672,0.0,12218.491972605263 
 01/01  15:00:00,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0 
 01/01  17:00:00,22990.260939862495,0.0,136933.9705381048 
 01/01  18:00:00,142806.12637518207,57929.32504090786,356503.68508927134 
 01/01  19:00:00,229490.54467468522,156276.66113982123,470122.63316281687 
 01/01  20:00:00,283522.743554027,214153.1452116149,544213.9046641991 
 01/01  21:00:00,313613.9341736853,247394.59629572302,583109.5437174925 
 01/01  22:00:00,317269.22372804105,254026.69092794458,592315.1481345026 
 01/01  23:00:00,316359.7064423011,257131.57294495395,611787.9084799642 
 01/01  24:00:00,311602.73179295694,255519.52943792276,619815.4561073302 
 01/02  01:00:00,315063.7166425862,260299.67456830418,619070.5375045735 
 01/02  02:00:00,315303.4574164151,261738.1948771399,611819.8360947849 
 01/02  03:00:00,338267.8391585767,285869.07098975865,634508.9499376445 
 01/02  04:00:00,391752.66921290965,340252.76891348336,692146.7668010526 
 01/02  05:00:00,446433.62353708723,395542.8074485441,750362.1488467376 
 01/02  06:00:00,482643.148472804,432775.8490212516,794861.1635454858 
 01/02  07:00:00,486410.4243302951,437483.0461545651,800652.5405195956 
 01/02  08:00:00,502365.68976672646,454314.3247947046,819408.3434913047 
 01/02  09:00:00,540976.4192598719,493715.53520083614,866119.9715976394 
 01/02  10:00:00,563195.6214135927,515258.04686046107,889780.4565694912 
 01/02  11:00:00,533548.1100482066,480065.01965811476,822858.2547537459 
 01/02  12:00:00,431553.77621990634,360604.04307656357,632389.9022503109 
 01/02  13:00:00,331583.49945876765,239616.5204439305,462016.59254320257 
 01/02  14:00:00,354082.2013236109,281048.5558296081,562618.2741248719 
 01/02  15:00:00,485399.20481244125,421456.5518901851,751406.8123946964 
 01/02  16:00:00,622449.3614835665,563371.9118179877,933852.4203637566 
