building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds
BATIMENT0000000013365727_part0,FR.N.MFH.07.Gen.ReEx.001.001,MFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,91ff7e14b0264be1a2c31b8fcd323000a57968f8a69cf67fb9f8c277f5532437,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,9781.28611,147.0909,66.498234,2.197
BATIMENT0000000240877101_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,4d7617597ef3363943a93cbaa0f81f71c64e034a073ff352a8f4536d808ad93b,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,59069.307922,887.9243,66.52516,3.183
BATIMENT0000000240877122_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,7b9ab811b8c6500fc4e249154c6b636a22030dc3627c12384071f070e7d46f58,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,6071.339506,36.5352,166.177875,1.355
BATIMENT0000000240877130_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,9ceeafc1ccb344019b03b3bd865ac65110a56827fc88d5302cb8f9e3ab3aea75,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,11632.944573,86.9898,133.727725,2.214
BATIMENT0000000240877151_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,d8129baa6bbf3412542dbfd98e4e8d1f03eb7a7e2756d0fca88fd1c0f9006b61,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,132210.224713,1630.1701,81.102105,4.565
BATIMENT0000000240877159_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,9efb330a71354039a47f8c27045280a7bda8be24b119b10eda5f36a924ebbd69,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,12613.436549,98.8669,127.579913,1.81
BATIMENT0000000240877169_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,dcc9553e1d9c7e2d4da6876d8b35d0470ca36b43306bbe7084ab3145aeb404f2,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,24298.997909,267.664,90.781717,2.85
BATIMENT0000000240877182_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,2a230abab88f6877a267f9423e33472f0c271ff26261a5a39aeccf6f1cc7f1da,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,25027.819013,215.758,115.999491,2.072
BATIMENT0000000240877527_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,a9ed88d1628a94134706abc18e8940bc6aecc3ab62ed98b42295883874193d6e,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,115476.904517,1380.2906,83.661299,66.03
BATIMENT0000000240879409_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,f9e62fb9fbf212bdcb9d4aa98b73321df6ff200cad0d13059213cda963bfcbbf,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,150020.36827,1851.148,81.041803,3.552
BATIMENT0000000240879419_part0,FR.N.AB.08.Gen.ReEx.001.001,AB,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,edc5dbc11bfba0a87a828b4915e0e21b47b376b72ea1cde88e406e94472f78a8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,91827.606626,2835.3088,32.387163,6.519
BATIMENT0000000240879449_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,NEW_POST_1945,DWELLING_LAYOUT_EMITTED,f811f9fd851a3064864dab8974449b4db424b341d56632bdfa91d8473b63f372,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,45402.13988,544.2059,83.428234,3.169
BATIMENT0000000240879451_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,8002177e1977a685b8492c30950171f46f4bff4189c066a9ecdaabde6165319d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,10107.41406,69.1113,146.24827,1.415
BATIMENT0000000240879459_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,d37abe6dd5c31a6fd18cfbf1f7db119be34cd578719b597759f53c4ee9bc627c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,105102.326752,2011.5438,52.249583,4.349
BATIMENT0000000240879467_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,OLD_PRE_1945,DWELLING_LAYOUT_EMITTED,88c8784d982b1ba17710ea1326f467676fd386415756766ef14820c137d627ad,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,55217.101225,324.4148,170.205237,2.769
BATIMENT0000000240879546_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,f9bb8d003a965d148b50f7e777df9acd2d9369917d103f3e4f8b4dea671eeb2c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,118623.746157,2256.3862,52.572448,5.794
BATIMENT0000000240879577_part0,FR.N.MFH.07.Gen.ReEx.001.001,MFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,233c51f25d3d909d6491c2a5076523a159334e6c590e3cb9a3b146e5f21cd56b,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,69207.439862,1633.6365,42.364038,3.178
BATIMENT0000000240879618_part0,FR.N.TH.01.Gen.ReEx.001.001,TH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,4de8380ed6110e21c9e2a5386020c7e374cf7432f1a5523b82ee9a3536a1f657,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,17306.018973,115.3524,150.027393,1.957
BATIMENT0000000240879681_part0,FR.N.MFH.03.Gen.ReEx.001.001,MFH,NEW_POST_1945,DWELLING_LAYOUT_EMITTED,7971b23cbad22a02c0c538246e48947596bb6cfe44782d35e43717f4eeff2026,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,25946.717438,143.3816,180.962642,1.823
BATIMENT0000000240879754_part0,FR.N.TH.01.Gen.ReEx.001.001,TH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,6d134c070113beecd66ec26e21a483981896c7c26c286f38f00d7a214bce641d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,72163.68577,623.7034,115.701936,5.575
BATIMENT0000000240879934_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,59e8338a77e65d76909d61e93ab7201920898be53d56574e9463f87212a86de8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,32167.866582,282.9548,113.685545,8.242
BATIMENT0000000240879966_part0,FR.N.TH.01.Gen.ReEx.001.001,TH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,3a77341c2ea026b811c0a24387eded780cacb045c9770331e7e9cabd86b3e316,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,18237.815738,102.7235,177.542765,2.042
BATIMENT0000000240879968_part0,FR.N.SFH.01.Gen.ReEx.001.001,SFH,OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,93597464021cb862f5a4a072dd5420224b4e875553abd3bc51214e1348d2b1c6,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,19677.119064,159.5214,123.350941,1.404
BATIMENT0000000240880001_part0,FR.N.MFH.06.Gen.ReEx.001.001,MFH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,855392f21fe1d47d0b87ee96db0e4d0f016b992ecdf8aacf3c7a874ddaf59581,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,40490.818622,794.7939,50.945057,5.917
BATIMENT0000000240880024_part0,FR.N.TH.08.Gen.ReEx.001.001,TH,NEW_POST_1945,FALLBACK_PENDING_LAYOUT,2c4dc4c19c7ead15b4b15f42a3caf02c848e5d3b167a1f984c39dcbb6196f012,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,6614.358781,193.431,34.194921,2.142
