Date/Time,BATIMENT0000000240879966_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879966_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2736500.27347538,3264256.155561524 
 01/01  02:00:00,3108794.737709815,3743331.718279296 
 01/01  03:00:00,3312602.475320531,3992731.257188313 
 01/01  04:00:00,3455347.1947062346,4173006.0040270975 
 01/01  05:00:00,3552722.7908701836,4293213.170973533 
 01/01  06:00:00,3684695.7018658333,4457987.600866724 
 01/01  07:00:00,3755319.858232988,4551338.119635598 
 01/01  08:00:00,3838597.9311699006,4663141.9330078745 
 01/01  09:00:00,3981335.9688180853,4845313.698193759 
 01/01  10:00:00,3801589.7308476036,4629678.538797145 
 01/01  11:00:00,2441130.8444123827,2934020.2061530068 
 01/01  12:00:00,1060938.816660388,1094107.9756921376 
 01/01  13:00:00,29828.434763736008,17344.48271407491 
 01/01  14:00:00,0.0,0.0 
 01/01  15:00:00,0.0,0.0 
 01/01  16:00:00,0.0,0.0 
 01/01  17:00:00,0.0,0.0 
 01/01  18:00:00,978055.671753119,1152067.9067611264 
 01/01  19:00:00,1462820.3090561125,1719775.8540971163 
 01/01  20:00:00,1779791.0442506508,2096983.4685883813 
 01/01  21:00:00,1965017.087120492,2306454.401620733 
 01/01  22:00:00,2096948.6195777147,2453621.455822807 
 01/01  23:00:00,2272773.413055141,2674086.512957984 
 01/01  24:00:00,2383611.449971096,2808641.1645861687 
 01/02  01:00:00,2440583.950835074,2859047.4794520154 
 01/02  02:00:00,2465889.154831654,2870164.7943033464 
 01/02  03:00:00,2560005.161300814,2974081.226230131 
 01/02  04:00:00,2703603.6050125426,3138223.1153989383 
 01/02  05:00:00,2852646.574124659,3311329.268167658 
 01/02  06:00:00,2980374.443156698,3466230.1076534507 
 01/02  07:00:00,3015091.8605760527,3505001.5872496427 
 01/02  08:00:00,3077927.488307956,3579223.38695646 
 01/02  09:00:00,3181909.820041666,3706381.5468919314 
 01/02  10:00:00,3094203.205712327,3590651.4009519103 
 01/02  11:00:00,2410324.52061891,2713828.4867889467 
 01/02  12:00:00,1490121.041736449,1489658.8523994258 
 01/02  13:00:00,666234.7998640384,496491.4536438708 
 01/02  14:00:00,1304808.869829841,1270968.5403728865 
 01/02  15:00:00,2073560.777259509,2243387.102213943 
 01/02  16:00:00,2726852.4574025776,3081771.300243792 
 01/02  17:00:00,3158962.6006686916,3675500.1251852405 
 01/02  18:00:00,4470196.48415464,5232107.403863757 
 01/02  19:00:00,4842832.813351353,5652142.479876006 
 01/02  20:00:00,4959027.785888085,5788994.233225043 
 01/02  21:00:00,5041890.581021235,5888343.787638399 
 01/02  22:00:00,5196260.415791692,6068981.992184399 
 01/02  23:00:00,5387356.228572994,6295688.126424558 
 01/02  24:00:00,5678075.619536291,6652484.508854298 
 01/03  01:00:00,6022974.7340237,7079862.79884227 
 01/03  02:00:00,5926302.803148607,7146861.25338985 
 01/03  03:00:00,6047112.506657567,7352119.992087027 
 01/03  04:00:00,6186976.56061987,7539386.247998954 
 01/03  05:00:00,6277763.447252537,7664637.201000972 
 01/03  06:00:00,6315625.813309304,7726139.484291697 
 01/03  07:00:00,6353383.757004704,7787876.1030510105 
 01/03  08:00:00,6389763.8216142915,7842638.4868134335 
 01/03  09:00:00,6430935.155321555,7896453.424922948 
 01/03  10:00:00,6348425.033999296,7776001.23067881 
 01/03  11:00:00,5903886.599954946,7117129.276458264 
 01/03  12:00:00,5039885.850497542,5841171.401107965 
 01/03  13:00:00,4090648.749894129,4522627.418074035 
 01/03  14:00:00,3391358.8929947554,3698418.960894995 
 01/03  15:00:00,2591864.0876751314,2823213.4459645865 
 01/03  16:00:00,1301021.464578669,1540352.356917647 
 01/03  17:00:00,1534201.1354641938,2149932.4789940296 
 01/03  18:00:00,5438217.537510397,6845964.343632909 
 01/03  19:00:00,6212521.657295358,7845912.3014982585 
 01/03  20:00:00,6458283.258402195,8171502.921242639 
 01/03  21:00:00,6808123.187692655,8607748.833463117 
 01/03  22:00:00,7199639.650792686,9105519.83772877 
 01/03  23:00:00,7367576.946477035,9354561.089038614 
 01/03  24:00:00,7748848.213739668,9902441.449800739 
 01/04  01:00:00,8159827.588801756,10435868.906326339 
 01/04  02:00:00,8410028.946756715,10721030.206740726 
 01/04  03:00:00,8451450.289965427,10632947.229963746 
 01/04  04:00:00,8450778.178913364,10526066.65873253 
 01/04  05:00:00,8550704.92751104,10647193.45245304 
 01/04  06:00:00,8684742.292775448,10807759.882422345 
 01/04  07:00:00,8812679.191632576,10961671.515423516 
 01/04  08:00:00,8824469.844515387,10974673.295672167 
 01/04  09:00:00,8812402.640542176,10947646.520935657 
 01/04  10:00:00,8618104.237300385,10616194.838596059 
 01/04  11:00:00,7600569.300851082,9111009.277371636 
 01/04  12:00:00,6171551.913889366,7079611.294190206 
 01/04  13:00:00,4358583.724914443,4620926.781826782 
 01/04  14:00:00,3182370.091460759,3184322.0626733834 
 01/04  15:00:00,2416028.0840532645,2360987.5774577684 
 01/04  16:00:00,1426917.715442409,1399697.8606716061 
 01/04  17:00:00,949999.9850701753,1218026.8321094264 
 01/04  18:00:00,4793696.594487215,5809356.305126792 
 01/04  19:00:00,5258917.750734523,6417445.846970759 
 01/04  20:00:00,5535522.182260359,6766395.835887803 
 01/04  21:00:00,5589867.127145985,6845320.24592965 
 01/04  22:00:00,5678033.64110358,6966985.409107703 
 01/04  23:00:00,5699750.042117909,7000244.255673143 
 01/04  24:00:00,5668044.560235749,6959526.350761517 
 01/05  01:00:00,5826930.891786664,7164046.82794816 
 01/05  02:00:00,5900077.277421211,7266452.267441659 
 01/05  03:00:00,5882886.895967604,7252770.455194205 
 01/05  04:00:00,5923775.319684988,7309262.506889049 
 01/05  05:00:00,5935673.941285755,7324650.564574622 
 01/05  06:00:00,5928970.485629391,7315481.316116851 
 01/05  07:00:00,5934871.229925078,7323212.723061636 
 01/05  08:00:00,5958979.356431002,7353921.221996359 
 01/05  09:00:00,5901465.824682788,7279058.053708295 
 01/05  10:00:00,5745918.031600097,7064020.264498369 
 01/05  11:00:00,5403818.491259619,6554784.070005446 
 01/05  12:00:00,4821599.1978208795,5723045.052955681 
 01/05  13:00:00,4385458.538218014,5146011.7653393885 
 01/05  14:00:00,3778243.738595761,4307875.570250108 
 01/05  15:00:00,3451278.2964706966,3917231.0819929624 
 01/05  16:00:00,3423945.843860217,3980629.3663054626 
 01/05  17:00:00,2929624.6239445237,3556869.3818846783 
 01/05  18:00:00,4411063.016694432,5462124.215989088 
 01/05  19:00:00,4856052.330291331,6013706.027375799 
 01/05  20:00:00,5102549.0309014395,6346900.603700576 
 01/05  21:00:00,5276748.728034269,6572618.371201623 
 01/05  22:00:00,5291946.041689215,6576312.186223508 
 01/05  23:00:00,5239485.466663985,6482863.11386906 
 01/05  24:00:00,5154314.68461644,6321572.637279456 
 01/06  01:00:00,5126899.738873228,6251849.049422639 
 01/06  02:00:00,5205555.573553247,6347067.303288296 
 01/06  03:00:00,5302286.567741564,6469340.892965239 
