building_id,site,layout_mode,weather_fold,promoted_idf_sha256,sidecar_idf_sha256,eplus_return_code,severe_errors,fatal_errors,rows_compared,max_abs_diff,max_rel_diff,identical,heating_kwh_promoted,heating_kwh_meter,interior_equipment_electricity_kwh,total_site_energy_kwh,floor_area_m2,run_seconds
relation/12582232,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,21fb249272fa6539711b6bcc8d685cda956e05823119fe26e1a4e49971ed881e,f50c77897e4c4441bb0672afb18bd2d71babdbbb28afbfa0f2ed154cac1632c8,0,0,0,35040,0.0,0.0,True,109578.787357,109578.79,30384.94,139963.73,1089.2873,4.088
relation/12582233,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,d7ba3650d23e59221980d9fc8d7f3e8c3a6bdea60ed0f17edf5d63d375c5e013,6a734df6d36219a467ded462f3b35bb260ebaf74c395bfad64edafbb24d718ca,0,0,0,61320,0.0,0.0,True,139205.404352,139205.4,41336.77,180542.18,1445.2801,5.242
relation/12582234,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,d64622bc45f5e8f014b9e039b196b97b7df1c0a53addcaa74b02489449b21837,5a5518276118c69ca5e24138fa1958665d176a02dc9af3f4f8bc06baf061769f,0,0,0,43800,0.0,0.0,True,192911.833901,192911.83,46769.5,239681.34,1696.2899,8.287
relation/12586384,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,4ffb2f5fb6548374e08024854a30d9f23d9f46441ff8101f3e05e2f73ddf22db,4f41bc9d44d9f9f69ff7bd13d5cf0f0e8fe5412af11990ee5364a73ad56299ba,0,0,0,61320,0.0,0.0,True,185129.87526,185129.87,61131.14,246261.02,2208.1458,7.052
relation/12628570,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,7d46a00dc957406d5f313c78e5675716c1151011dcc0a2dc17b5051dff766288,7890ce95379b0da71d204d6bdb17b6f88ec87301f559636b9750134033d241f1,0,0,0,35040,0.0,0.0,True,139148.70843,139148.71,47261.68,186410.39,1732.358,5.138
relation/12628571,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,7f28a0c1ff3d3c724783cca06be9a387769e789c75302d684140c077954946a1,70b02b728637a42228b9a464f72cb1789b685756d065bae7e997b1c5c381b86a,0,0,0,52560,0.0,0.0,True,155108.469819,155108.47,49346.96,204455.42,1785.3522,4.398
relation/12638102,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,cff7293d9498b09a35ad9d7c61a5d124108874289314e72e598dc864ad6ef6af,075473b9b4324c0513f0134b5446ac4d9d433fa90feb540cc5093722b4588557,0,0,0,43800,0.0,0.0,True,171861.39517,171861.39,39974.72,211836.12,1467.115,8.923
relation/12638103,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,65b4e90bf91e5f7f3c17e1caffd584027b72720ec4ad25f2f8e2152745fd0761,7d64cdc68f45a3c350a3274473b21bfdb1b70421789d402a950b08544b134f40,0,0,0,43800,0.0,0.0,True,199750.624798,199750.62,53070.7,252821.32,1959.6288,7.88
relation/12700585,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,e28b4b73b7c9d80ae18cb79deb58b3c948fdaf2815fd34aa2dfef4e40a599d1a,aa466b4bd5438f6f5b0a904945e187672c91e452a7eb6821721bdcc61fa30de8,0,0,0,52560,0.0,0.0,True,198969.457284,198969.46,76356.83,275326.28,2740.6687,5.354
relation/12700645,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,55feb5b1bff0fb8c602719143028cfc5d409847adf200c29d34ca6ea724cbcc1,5b367db58cdae420af7d1c984eefc832828cfb9fb2b5dc4288948f2020942baa,0,0,0,61320,0.0,0.0,True,219187.576022,219187.57,52727.25,271914.82,1954.8622,10.901
relation/12702624,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,ddbcc16b4daa71e4cf5a22158ee6cafe86793b7ec47f94661ad4452218bbe779,1a483b36715628dac35f80b0a97ffed1e67cee5b12a21af66ad4d1a152543de8,0,0,0,35040,0.0,0.0,True,106988.766337,106988.77,29296.69,136285.45,986.5181,4.34
relation/12702625,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,a5a6eb4ad94410942d012edbebb502e040a287acbbcde2122e86e95bd4f9cef9,543fba11249af6d880135ec043f88d080928df6e2bca8b05f7d8be0ab0e53f72,0,0,0,26280,0.0,0.0,True,71227.952892,71227.95,17366.66,88594.62,617.6097,3.26
relation/12702626,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,3495e13d940d99bc770cf7553810c793f509dd02c63e811a190f02ccb8f3270b,9d25ecf1fa9211600c8ec6e470c01d2c3e69cf64a8b63b197962ecd2b121d153,0,0,0,35040,0.0,0.0,True,118099.984461,118099.98,25376.31,143476.3,922.7491,6.403
relation/12702627,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,487caaa8798353330a764904127d493c0edda1c346b69351fb85ede9e89db038,11908c53aa3a388be4853d914d46f30680d33a16d660cab8d07d3fd76d3c8fc4,0,0,0,35040,0.0,0.0,True,118485.429917,118485.43,26165.55,144650.98,938.5762,4.315
relation/12702628,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,8e9b96c079aac9baab47bacbe0e5a3df99ee50fc22dfbba7faf6a758169d680e,4483def7faf86d89825599bb124da3c5cba4f97c7a0787e9f3f6fe7f0bfcb932,0,0,0,26280,0.0,0.0,True,82245.985387,82245.99,17814.79,100060.78,608.5964,4.103
relation/12702630,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,d5f57f1f65404114fc950ebdaa8612e77bb72c1ab1069d11bc2cc10357ed5ec3,2d75bbde34adc2a52866441d92ec62382ae041e149ef9bde70cde6085aed4039,0,0,0,61320,0.0,0.0,True,212710.271072,212710.27,70523.27,283233.54,2385.9864,9.18
relation/12704090,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,9f53c6cadbde0b8b09179d2ef04aaea2ee8f45603b9f4916e98394dfc2f5f9f4,d89fc418bf5ea10aefbaa7e7ab343461a4a0617360de751daef41b8bbac524ab,0,0,0,43800,0.0,0.0,True,226236.362226,226236.36,89619.55,315855.91,3330.281,4.758
relation/12725306,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,2351254164f144dadb65af210e28492a7e94eed0c69037ef1afe81cb2c656a54,f6e299b8b3b7bc59b69509d75f9c7b1f03e48c6e987c6dbeca463a5fa0982964,0,0,0,26280,0.0,0.0,True,86325.42367,86325.42,25863.83,112189.26,919.8428,3.144
relation/12765477,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,3c0523e5743e8a0d4989aa93f3bb5a7918299ccd56f6930f0b348a0168476c0f,0a047eaac190ac3122bf8cfadbd361bd56bd2e17241e1e4f7950024aa8a00d49,0,0,0,43800,0.0,0.0,True,174616.417159,174616.42,64316.04,238932.45,2203.5637,4.974
relation/12765478,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,340a379cd475ae86043391a7fa3f4ea4759a8dd0a5f2ba6212667cb2d8a32bba,fec8263aa964c71c8636f79ce16488e8c18f70cafd408386b5bc501c67b265c2,0,0,0,52560,0.0,0.0,True,202310.129079,202310.13,66519.25,268829.38,2425.947,7.195
relation/12771675,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,3aa75d7e7f55473e526676b3890824282a80f5a650140c214ff60b4a5328a3e0,b4b0032f866b8b4bc536c0cb19197b4d8539af38279babc3b8466de9beae0ff1,0,0,0,26280,0.0,0.0,True,72985.870835,72985.87,19394.77,92380.64,673.9018,2.824
relation/12794755,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,ab6e9b6797a3ccd08892df0b9ffa032f77a973ab4ca95e55a8e4db4a227e387c,fc6d374bad79d14ad6fff00edc76bdae242797e564d68892c325e7728ecb3e5b,0,0,0,35040,0.0,0.0,True,183676.277057,183676.28,61467.04,245143.32,2259.5889,4.607
relation/12803889,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,es,f758ef459781e34e728818246f316201c4d55c9e0af3474cac881929430cb579,c0b93f409929a7f85aaeb37851166cad3db72f8f5429b8f255cbd8fcc32ee92c,0,0,0,35040,0.0,0.0,True,67972.489469,67972.49,60796.65,128769.14,2240.1915,3.497
