Time,RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12702625_F0_WHOLE::Des Latent Heat Load [W],RELATION_12702625_F0_WHOLE::Des Latent Cool Load [W],RELATION_12702625_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12702625_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12702625_F0_WHOLE::Des Heat Load No DOAS [W],RELATION_12702625_F0_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12702625_F0_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12702625_F0_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12702625_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12702625_F1_WHOLE::Des Latent Heat Load [W],RELATION_12702625_F1_WHOLE::Des Latent Cool Load [W],RELATION_12702625_F1_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12702625_F1_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12702625_F1_WHOLE::Des Heat Load No DOAS [W],RELATION_12702625_F1_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12702625_F1_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12702625_F1_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12702625_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12702625_F2_WHOLE::Des Latent Heat Load [W],RELATION_12702625_F2_WHOLE::Des Latent Cool Load [W],RELATION_12702625_F2_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12702625_F2_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12702625_F2_WHOLE::Des Heat Load No DOAS [W],RELATION_12702625_F2_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12702625_F2_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12702625_F2_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12702625_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,8.381532E+03,0.000000E+00,2.739107E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999145E+01,3.747923E+01,2.944147E+01,1.632807E+01,8.896153E+03,0.000000E+00,2.907277E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999136E+01,3.800463E+01,3.339331E+01,1.302783E+01,1.646194E+04,0.000000E+00,5.379671E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999069E+01,4.258347E+01,3.323376E+01,1.313829E+01
00:20:00,8.492585E+03,0.000000E+00,2.775387E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999149E+01,3.757849E+01,2.934141E+01,1.640812E+01,9.020658E+03,0.000000E+00,2.947953E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999139E+01,3.810611E+01,3.326081E+01,1.311512E+01,1.661297E+04,0.000000E+00,5.429005E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999074E+01,4.265456E+01,3.300571E+01,1.329827E+01
00:30:00,8.581764E+03,0.000000E+00,2.804520E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999151E+01,3.765930E+01,2.924354E+01,1.649150E+01,9.122218E+03,0.000000E+00,2.981131E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999142E+01,3.818881E+01,3.313091E+01,1.320497E+01,1.672902E+04,0.000000E+00,5.466910E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999078E+01,4.270789E+01,3.278949E+01,1.345534E+01
00:40:00,8.648767E+03,0.000000E+00,2.826408E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999153E+01,3.772407E+01,2.914713E+01,1.657625E+01,9.200483E+03,0.000000E+00,3.006699E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999144E+01,3.825534E+01,3.300265E+01,1.329596E+01,1.680955E+04,0.000000E+00,5.493210E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999080E+01,4.274783E+01,3.258045E+01,1.361065E+01
00:50:00,8.693684E+03,0.000000E+00,2.841079E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999154E+01,3.777726E+01,2.905131E+01,1.666259E+01,9.255500E+03,0.000000E+00,3.024670E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999145E+01,3.831032E+01,3.287500E+01,1.338840E+01,1.685440E+04,0.000000E+00,5.507851E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999081E+01,4.277988E+01,3.237492E+01,1.376644E+01
01:00:00,8.715681E+03,0.000000E+00,2.848261E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999154E+01,3.782285E+01,2.895560E+01,1.675092E+01,9.286490E+03,0.000000E+00,3.034791E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999145E+01,3.835779E+01,3.274740E+01,1.348267E+01,1.686280E+04,0.000000E+00,5.510582E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999081E+01,4.280789E+01,3.217143E+01,1.392375E+01
01:10:00,8.755948E+03,0.000000E+00,2.861422E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999154E+01,3.786285E+01,2.885985E+01,1.684126E+01,9.333121E+03,0.000000E+00,3.050031E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999145E+01,3.839983E+01,3.261965E+01,1.357884E+01,1.694356E+04,0.000000E+00,5.536976E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999081E+01,4.283356E+01,3.196981E+01,1.408263E+01
01:20:00,8.796713E+03,0.000000E+00,2.874745E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999153E+01,3.789648E+01,2.869658E+01,1.703319E+01,9.380187E+03,0.000000E+00,3.065413E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999144E+01,3.843565E+01,3.241667E+01,1.376209E+01,1.702515E+04,0.000000E+00,5.563641E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999080E+01,4.285574E+01,3.167045E+01,1.435197E+01
01:30:00,8.837697E+03,0.000000E+00,2.888138E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999152E+01,3.792407E+01,2.850789E+01,1.728316E+01,9.427368E+03,0.000000E+00,3.080832E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999143E+01,3.846551E+01,3.219143E+01,1.398986E+01,1.710698E+04,0.000000E+00,5.590384E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999078E+01,4.287445E+01,3.135318E+01,1.466712E+01
01:40:00,8.878971E+03,0.000000E+00,2.901626E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999150E+01,3.794681E+01,2.825409E+01,1.764277E+01,9.474737E+03,0.000000E+00,3.096311E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999141E+01,3.849061E+01,3.189632E+01,1.431041E+01,1.718923E+04,0.000000E+00,5.617260E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999077E+01,4.289054E+01,3.095544E+01,1.509288E+01
