Time,RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12818819_F0_WHOLE::Des Latent Heat Load [W],RELATION_12818819_F0_WHOLE::Des Latent Cool Load [W],RELATION_12818819_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12818819_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12818819_F0_WHOLE::Des Heat Load No DOAS [W],RELATION_12818819_F0_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12818819_F0_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12818819_F0_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12818819_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12818819_F1_WHOLE::Des Latent Heat Load [W],RELATION_12818819_F1_WHOLE::Des Latent Cool Load [W],RELATION_12818819_F1_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12818819_F1_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12818819_F1_WHOLE::Des Heat Load No DOAS [W],RELATION_12818819_F1_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12818819_F1_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12818819_F1_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12818819_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12818819_F2_WHOLE::Des Latent Heat Load [W],RELATION_12818819_F2_WHOLE::Des Latent Cool Load [W],RELATION_12818819_F2_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12818819_F2_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12818819_F2_WHOLE::Des Heat Load No DOAS [W],RELATION_12818819_F2_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12818819_F2_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12818819_F2_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12818819_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],RELATION_12818819_F3_WHOLE::Des Latent Heat Load [W],RELATION_12818819_F3_WHOLE::Des Latent Cool Load [W],RELATION_12818819_F3_WHOLE::Des Latent Heat Mass Flow [kg/s],RELATION_12818819_F3_WHOLE::Des Latent Cool Mass Flow [kg/s],RELATION_12818819_F3_WHOLE::Des Heat Load No DOAS [W],RELATION_12818819_F3_WHOLE::Des Sens Cool Load No DOAS [W],RELATION_12818819_F3_WHOLE::Des Latent Heat Load No DOAS [W],RELATION_12818819_F3_WHOLE::Des Latent Cool Load No DOAS [W],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],RELATION_12818819_F3_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,8.384986E+03,0.000000E+00,2.740500E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999455E+01,3.298330E+01,2.666418E+01,1.980148E+01,7.921999E+03,0.000000E+00,2.589185E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999461E+01,3.235503E+01,3.089250E+01,1.546758E+01,8.401497E+03,0.000000E+00,2.745893E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999451E+01,3.286664E+01,3.308409E+01,1.364918E+01,1.413443E+04,0.000000E+00,4.619493E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999373E+01,3.743987E+01,3.382177E+01,1.308724E+01
00:20:00,8.477400E+03,0.000000E+00,2.770696E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,3.308170E+01,2.662608E+01,1.978770E+01,8.017402E+03,0.000000E+00,2.620358E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999462E+01,3.246906E+01,3.084717E+01,1.546384E+01,8.496436E+03,0.000000E+00,2.776914E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999452E+01,3.298351E+01,3.302357E+01,1.365783E+01,1.420915E+04,0.000000E+00,4.643899E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999375E+01,3.755606E+01,3.372159E+01,1.312500E+01
00:30:00,8.546294E+03,0.000000E+00,2.793206E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999457E+01,3.316951E+01,2.658863E+01,1.978019E+01,8.088996E+03,0.000000E+00,2.643750E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999463E+01,3.257149E+01,3.080241E+01,1.546504E+01,8.566993E+03,0.000000E+00,2.799967E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999453E+01,3.308846E+01,3.296515E+01,1.366967E+01,1.425061E+04,0.000000E+00,4.657438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999378E+01,3.765697E+01,3.362655E+01,1.316370E+01
00:40:00,8.591236E+03,0.000000E+00,2.807888E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,3.324637E+01,2.655189E+01,1.977665E+01,8.136201E+03,0.000000E+00,2.659173E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999463E+01,3.266186E+01,3.075832E+01,1.546934E+01,8.612466E+03,0.000000E+00,2.814823E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,3.318110E+01,3.290864E+01,1.368328E+01,1.425790E+04,0.000000E+00,4.659812E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999380E+01,3.774310E+01,3.353532E+01,1.320282E+01
00:50:00,8.612311E+03,0.000000E+00,2.814771E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,3.331380E+01,2.651531E+01,1.977708E+01,8.159223E+03,0.000000E+00,2.666693E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,3.274181E+01,3.071429E+01,1.547677E+01,8.633152E+03,0.000000E+00,2.821579E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999455E+01,3.326313E+01,3.285310E+01,1.369893E+01,1.423126E+04,0.000000E+00,4.651096E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999381E+01,3.781721E+01,3.344578E+01,1.324348E+01
01:00:00,8.609293E+03,0.000000E+00,2.813781E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,3.337360E+01,2.647848E+01,1.978171E+01,8.157784E+03,0.000000E+00,2.666219E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,3.281321E+01,3.066979E+01,1.548762E+01,8.628730E+03,0.000000E+00,2.820130E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999455E+01,3.333652E+01,3.279777E+01,1.371707E+01,1.417020E+04,0.000000E+00,4.631135E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999382E+01,3.788205E+01,3.335668E+01,1.328646E+01
01:10:00,8.644291E+03,0.000000E+00,2.825220E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,3.342717E+01,2.644126E+01,1.979045E+01,8.196330E+03,0.000000E+00,2.678818E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,3.287761E+01,3.062460E+01,1.550187E+01,8.671777E+03,0.000000E+00,2.834200E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999455E+01,3.340281E+01,3.274230E+01,1.373778E+01,1.424467E+04,0.000000E+00,4.655473E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999382E+01,3.793971E+01,3.326764E+01,1.333192E+01
01:20:00,8.680199E+03,0.000000E+00,2.836956E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,3.347386E+01,2.638278E+01,1.984645E+01,8.235799E+03,0.000000E+00,2.691718E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,3.293444E+01,3.055648E+01,1.555422E+01,8.715763E+03,0.000000E+00,2.848576E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,3.346150E+01,3.266421E+01,1.379183E+01,1.432070E+04,0.000000E+00,4.680325E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999382E+01,3.799029E+01,3.315420E+01,1.341121E+01
01:30:00,8.716824E+03,0.000000E+00,2.848926E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999457E+01,3.351369E+01,2.629845E+01,1.996341E+01,8.275990E+03,0.000000E+00,2.704853E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999463E+01,3.298383E+01,3.045884E+01,1.565721E+01,8.760460E+03,0.000000E+00,2.863185E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,3.351275E+01,3.255787E+01,1.388962E+01,1.439780E+04,0.000000E+00,4.705524E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999381E+01,3.803434E+01,3.301170E+01,1.353396E+01
01:40:00,8.754194E+03,0.000000E+00,2.861140E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,3.354738E+01,2.619481E+01,2.013213E+01,8.316924E+03,0.000000E+00,2.718231E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999462E+01,3.302657E+01,3.033495E+01,1.580687E+01,8.805890E+03,0.000000E+00,2.878032E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999453E+01,3.355738E+01,3.243031E+01,1.402470E+01,1.447607E+04,0.000000E+00,4.731103E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999380E+01,3.807289E+01,3.284909E+01,1.369271E+01
