Time,BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Latent Heat Load [W],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Latent Cool Load [W],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Heat Load No DOAS [W],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Sens Cool Load No DOAS [W],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Latent Heat Load No DOAS [W],BATIMENT0000000240880149_PART0_F0_WHOLE::Des Latent Cool Load No DOAS [W],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BATIMENT0000000240880149_PART0_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Latent Heat Load [W],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Latent Cool Load [W],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Latent Heat Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Latent Cool Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Heat Load No DOAS [W],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Sens Cool Load No DOAS [W],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Latent Heat Load No DOAS [W],BATIMENT0000000240880149_PART0_F1_WHOLE::Des Latent Cool Load No DOAS [W],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BATIMENT0000000240880149_PART0_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Latent Heat Load [W],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Latent Cool Load [W],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Latent Heat Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Latent Cool Mass Flow [kg/s],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Heat Load No DOAS [W],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Sens Cool Load No DOAS [W],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Latent Heat Load No DOAS [W],BATIMENT0000000240880149_PART0_F2_WHOLE::Des Latent Cool Load No DOAS [W],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BATIMENT0000000240880149_PART0_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,2.117600E+03,0.000000E+00,6.920635E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999288E+01,4.467219E+01,2.937195E+01,4.513838E+01,2.208622E+03,0.000000E+00,7.218102E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999285E+01,4.495413E+01,3.344968E+01,3.582772E+01,2.741377E+03,0.000000E+00,8.959204E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999280E+01,4.626240E+01,3.373676E+01,3.525913E+01
00:20:00,2.149465E+03,0.000000E+00,7.024761E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999284E+01,4.468664E+01,2.918246E+01,4.611494E+01,2.243618E+03,0.000000E+00,7.332460E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999282E+01,4.497159E+01,3.321587E+01,3.668412E+01,2.781701E+03,0.000000E+00,9.090973E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999275E+01,4.627466E+01,3.346908E+01,3.616955E+01
00:30:00,2.182640E+03,0.000000E+00,7.133166E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999281E+01,4.470507E+01,2.899064E+01,4.709376E+01,2.279942E+03,0.000000E+00,7.451153E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999278E+01,4.499285E+01,3.297924E+01,3.754654E+01,2.824548E+03,0.000000E+00,9.230980E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999271E+01,4.629242E+01,3.320125E+01,3.708381E+01
00:40:00,2.217157E+03,0.000000E+00,7.245954E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999278E+01,4.472649E+01,2.879738E+01,4.806647E+01,2.317622E+03,0.000000E+00,7.574279E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999275E+01,4.501685E+01,3.274074E+01,3.840833E+01,2.869948E+03,0.000000E+00,9.379333E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999268E+01,4.631405E+01,3.293307E+01,3.799743E+01
00:50:00,2.253004E+03,0.000000E+00,7.363089E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999275E+01,4.474942E+01,2.860333E+01,4.903025E+01,2.356644E+03,0.000000E+00,7.701790E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999272E+01,4.504214E+01,3.250104E+01,3.926730E+01,2.917885E+03,0.000000E+00,9.535974E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999266E+01,4.633745E+01,3.266429E+01,3.891005E+01
01:00:00,2.290178E+03,0.000000E+00,7.484561E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999272E+01,4.477277E+01,2.840875E+01,4.998457E+01,2.397001E+03,0.000000E+00,7.833663E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999270E+01,4.506763E+01,3.226041E+01,4.012313E+01,2.968350E+03,0.000000E+00,9.700873E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999263E+01,4.636123E+01,3.239481E+01,3.982209E+01
01:10:00,2.306178E+03,0.000000E+00,7.536844E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999269E+01,4.479594E+01,2.821366E+01,5.092941E+01,2.414571E+03,0.000000E+00,7.891077E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999267E+01,4.509275E+01,3.201887E+01,4.097587E+01,2.990166E+03,0.000000E+00,9.772163E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999261E+01,4.638471E+01,3.212464E+01,4.073361E+01
01:20:00,2.321172E+03,0.000000E+00,7.585838E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999268E+01,4.481751E+01,2.803517E+01,5.181360E+01,2.431070E+03,0.000000E+00,7.944991E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999266E+01,4.511615E+01,3.179379E+01,4.178490E+01,3.010365E+03,0.000000E+00,9.838164E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999260E+01,4.640571E+01,3.187255E+01,4.160087E+01
01:30:00,2.335191E+03,0.000000E+00,7.631648E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999267E+01,4.483699E+01,2.787008E+01,5.264510E+01,2.446537E+03,0.000000E+00,7.995533E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999265E+01,4.513738E+01,3.158325E+01,4.255314E+01,3.029005E+03,0.000000E+00,9.899077E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999259E+01,4.642355E+01,3.163711E+01,4.242516E+01
01:40:00,2.348235E+03,0.000000E+00,7.674273E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999266E+01,4.485474E+01,2.770934E+01,5.345112E+01,2.460975E+03,0.000000E+00,8.042712E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999264E+01,4.515684E+01,3.137858E+01,4.330068E+01,3.046079E+03,0.000000E+00,9.954871E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999259E+01,4.643894E+01,3.140900E+01,4.322760E+01
