building_id,run_slug,country_stock_code,building_type,layout_mode,zone_count,idf_missing,schedule_file_used,interpolate_no,hours_8760,csv_exists_and_reads,people_assignment_unique,n_eu_schedules,n_eu_gains,n_eu_people
relation/12582232,relation_12582232,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12582233,relation_12582233,ES,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
relation/12582234,relation_12582234,ES,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
relation/12586384,relation_12586384,ES,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
relation/12628570,relation_12628570,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12628571,relation_12628571,ES,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
relation/12638102,relation_12638102,ES,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
relation/12638103,relation_12638103,ES,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
relation/12700585,relation_12700585,ES,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
relation/12700645,relation_12700645,ES,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
relation/12702624,relation_12702624,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12702625,relation_12702625,ES,AB,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
relation/12702626,relation_12702626,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12702627,relation_12702627,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12702628,relation_12702628,ES,AB,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
relation/12702630,relation_12702630,ES,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
relation/12704090,relation_12704090,ES,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
relation/12725306,relation_12725306,ES,AB,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
relation/12765477,relation_12765477,ES,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
relation/12765478,relation_12765478,ES,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
relation/12771675,relation_12771675,ES,AB,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
relation/12794755,relation_12794755,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12803889,relation_12803889,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
relation/12818819,relation_12818819,ES,AB,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
way/432411824,way_432411824,ES,SFH,FALLBACK_PENDING_LAYOUT,1,False,True,True,True,True,True,1,1,0
way/432412733,way_432412733,ES,SFH,FALLBACK_PENDING_LAYOUT,1,False,True,True,True,True,True,1,1,0
way/941927218,way_941927218,ES,SFH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000013365727_part0,BATIMENT0000000013365727_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
BATIMENT0000000240877101_part0,BATIMENT0000000240877101_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240877122_part0,BATIMENT0000000240877122_part0,FR,SFH,FALLBACK_PENDING_LAYOUT,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240877130_part0,BATIMENT0000000240877130_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,3,False,True,True,True,True,True,3,3,0
BATIMENT0000000240877151_part0,BATIMENT0000000240877151_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240877159_part0,BATIMENT0000000240877159_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240877169_part0,BATIMENT0000000240877169_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
