building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,context_building_count
relation/12582232,c0469f277749f93e,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,26c9f813c08a6b726ce93a55a5c9f55cc0a07a016d2e57623188e4b6cc1d62de,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1089.2873,1089.2873,1089.2873,9
relation/12582233,c6e90803c98dba87,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,2ec56502f41dda6004e121c0ab044d7921c84a19133b7b3b13262ac6c83c0c32,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1445.4688,1445.4688,1445.4688,11
relation/12582234,a776387b1281ccea,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,86f4354c007a3b1557a39d2576e7242017a9ac83a62edfb94be0362b927796a6,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1696.2899,1696.2899,1696.2899,15
relation/12586384,f37e1223ce23033c,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,71299b402f6af0cfcee627f1a68e4524e45ace287b60d082f7f318c9059682eb,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,315.4494,315.4494,315.4494,9
relation/12628570,19f9bca61b89709d,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,83b6cff5b4086a5b21e1aa11791d40e7d412464030850868c5523bd09a27d995,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1732.358,1732.358,1732.358,11
relation/12628571,185b31a856fe0fac,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,c0e561da4584c06f4d372f5b5e7cd0afd0b3ec5c216061bb1f1eb7c9f69be87e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1785.3522,1785.3522,1785.3522,5
relation/12638102,c618dfeb21e06f07,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,2e0c5dd0966e3f4303ebe3630a98f5cb59145ad003136f0fffc780a08e1358fc,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,293.423,293.423,293.423,6
relation/12638103,81c43893177d0d80,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,c20583def8a6560d9c3fc5577e02de076d4145716006dbece420bcad33959e40,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1959.6288,1959.6288,1959.6288,6
relation/12700585,446f5434568f28e3,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,5720b9081381e1ad5c92dd17d9a0de1fbd1792a79b2ee3de5553ada234b0aac5,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2740.6687,2740.6687,2740.6687,13
relation/12700645,c71e82e57d99bed1,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,33c76c82555502ec57e8f8b6c587405edc708792a5af2e24c33af6f9c31b4956,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1954.8622,1954.8622,1954.8622,8
