building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,eui_source,idf_sha256_matches_ceiling82
relation/12582232,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,9f0bb674bf61889cca24c75e1ad930bea8db37231c16d584eb247fbc1e77072c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,128451.528729,1089.2109,117.930815,231,hostname=speed-12.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:37",delta_2026-09-07,False
relation/12582233,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,,171b7d1830b88ff2f18c8bddb552fd777e7a2c1b9ac26ca12b50a925f0be7356,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,126099.961348,1445.3732,87.243877,612,hostname=speed-31.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:37",delta_2026-09-07,False
relation/12582234,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,5eb4d2c9f0da664c0119eee86c84f90afcdc27b105457ecaa69eafe965833784,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,,,,,,pending_resimulation,False
relation/12586384,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,,b7d361f5dd2e0c4b1fc8f75b28bf38b7709ca7839cf96bae600094c467b12965,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,186183.84028,2208.1458,84.316824,225,hostname=speed-21.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:37",delta_2026-09-07,False
relation/12628570,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,,eeb4d1b0feee585fbabee82f8ae3d49839943d18d6466b0d8c61693c04b2844b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,161167.758141,1732.2151,93.041423,449,hostname=speed-22.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 19:29",final_2026-09-07,False
relation/12628571,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,b251f08866be35c7b8330c834956cdcf2c70591f58e63038a82efab6a7f2fb24,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,181511.967145,1785.306,101.669947,887,hostname=magic-node-02.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",recut_2026-09-08,False
relation/12628572,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,,c32c29cddca34f2cc637d1739ceaedfd6b46c5851e5057bffc7fed4ea45190fb,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,134736.901332,3644.9371,36.965494,436,hostname=speed-31.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:38",delta_2026-09-07,False
relation/12638102,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,3ace180bb7682437b37303a2d12a55ab2f3b582b17b51be3e49b66afc764f520,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,183407.109938,293.3479,625.220463,2864,hostname=speed-22.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 11:46",final_2026-09-07,False
relation/12638103,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,bc6bdb13407164e9459145c546171e4da21e08cca0d40b6ba058d25dd4d1d77b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,151552.621337,1959.5458,77.340689,213,hostname=magic-node-03.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:38",delta_2026-09-07,False
relation/12700585,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,,41d84500c09af9eea57456d06b978e29bb3e8430ffd3326e64a6ef38c36052be,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,258288.503277,2740.6898,94.242151,1570,hostname=magic-node-07.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:38",delta_2026-09-07,False
relation/12700645,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,07dc5330d12e63d17c36177b5f2fb1d2d07032c321afca4193f8fbf25c3c1f78,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,247886.341816,1954.7715,126.810904,13955,hostname=antenna1.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:39",delta_2026-09-07,False
relation/12702624,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,,2aa00c7b940becc7c36cf5f50d1f955593296e96dd1c0ba0e8a3712466a9102d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,104765.989309,986.5181,106.197737,171,hostname=speed-22.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:40",delta_2026-09-07,False
relation/12702625,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,15809e260246a8d0b767ec7a1ed4fe366297606cf4ffda64a6ba80caf7e31b7a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,90021.637981,617.5492,145.772415,1582,hostname=speed-31.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 19:29",final_2026-09-07,False
relation/12702626,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,dc06c224165b5c76f452af3bef0bcca024fdfc4bf21d84802afd79deea2e719f,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,,,,,,pending_resimulation,False
relation/12702627,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,e18de4c46caf521c6b2a566907007854826c2ffce4ef3213260e1bd0eb2f647c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,107886.333106,938.589,114.945235,1396,hostname=speed-12.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:40",delta_2026-09-07,False
relation/12702628,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,b4a82f082d63159fb97450941ebb61476764f16623c338de394e597412b7fb7a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,100487.032172,608.7233,165.07834,2911,hostname=speed-21.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:41",delta_2026-09-07,False
relation/12702629,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,eefedf5fb3af955c74f7dd56fccfe25ae5e256c877cc2a73a4ca07c84da1ba21,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,130127.742686,1500.8914,86.700305,916,,,ceiling82_carry,True
relation/12702630,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,,6cb524ba900e0c64164ac470971d4fdc07cf48092531b947d6f03ff246bb50f5,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,165258.59972,2385.3653,69.280206,1389,hostname=magic-node-03.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:42",delta_2026-09-07,False
relation/12702631,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,acf0a6005ed5ba0dd77611539924e131850dc9ece22057a817d34690471e21bb,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,77877.106757,580.4803,134.159776,2119,hostname=speed-12.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:42",delta_2026-09-07,False
relation/12702632,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,bc4e90c57a98b4b8177675ff14fb0e53c348f689bd69c47a0da05753cf9022bb,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,98602.171401,218.9139,450.415307,373,hostname=speed-22.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 11:46",final_2026-09-07,False
relation/12704090,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,,c9ea905612ade19a1003dd4832f2c6997b503ac3b694716f31786e540663283d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,283058.239064,3330.0421,85.0014,608,hostname=speed-22.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:43",delta_2026-09-07,False
relation/12706920,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,9dde8bc1708554bc6a2fa4635b7b5e8eef93b5752a70c8a6790cf22ffc2ccf15,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,71898.030704,452.9726,158.7249,763,hostname=magic.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:43",delta_2026-09-07,False
relation/12707194,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,24f4ac19e57a6bac9bb7aa45db1d22936542a784782654e146bd02eb7b118376,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,130701.486056,1091.6861,119.724421,1389,hostname=speed-21.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:45",delta_2026-09-07,False
relation/12707195,ES.ME.AB.01.Gen.ReEx.001.001,AB,ES.01,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,32461d5732e1ad3a390938b970ac6161fe8c82ef930e22a969e69f944e02d6df,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,43628.622815,284.6536,153.269176,2056,hostname=magic-node-04.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",recut_2026-09-08,False
relation/12713025,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,326903c4ff114ea0d616352ac102f89381f99f8140a8be0405ba04817047714e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,176545.533193,1331.3258,132.608812,1506,hostname=magic-node-04.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:47",delta_2026-09-07,False
relation/12713026,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,a3814c70cff7f916eedc7bc4d30eb678dee23cbcf00af3bb06ffd9f873dba041,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,190137.348612,1504.0357,126.418109,761,hostname=speed-31.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:47",delta_2026-09-07,False
relation/12720242,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,eab5d71f1f96cbcc078aeee8a4ea98e9a1f546bf6ce266cdb219b960df5a36ac,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,41653.412304,99.6117,418.15783,1075,hostname=speed-07.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 11:46",final_2026-09-07,False
relation/12725306,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,,7ec4907b24471e50035054e44be960140b6e94f10ff84fcba2f583adc72211e6,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,2,0,154061.150559,919.8903,167.477742,1469,hostname=magic-node-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:48",delta_2026-09-07,False
relation/12743488,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,56275caa408fb7680920e994ecf5957c64d8716260870fcd9fbbe3beb08923a7,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,96177.317217,1017.4539,94.527445,281,hostname=salus.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 21:48",delta_2026-09-07,False
