building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version
BATIMENT0000000240877151_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,3b39ab39c9c97539fa385c7df60da71919e132f25d04bf217b8181fa1680d2a2,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,156160.630947,1630.1815,95.793402,1492,hostname=magic-node-07.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:29"
BATIMENT0000000240877531_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,480b84e684f491abcc434b284cf28e89b12a9f154634e4ee6b2b071b0803f4fa,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,44486.914477,655.2235,67.895786,794,hostname=antenna1.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:30"
BATIMENT0000000240877534_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,29cf49f8f7782243b923819b41136e1b89c0865cdbb5f241fd722f0f78d38708,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,136156.869403,1705.3675,79.840192,1771,hostname=speed-22.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:30"
BATIMENT0000000240878030_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,,e61be113f4224a3426b1e77c398a3e9ddb9760208732e9f5af19466644d3e0b6,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,33151.356691,470.6491,70.437523,2009,hostname=gomory.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:31"
BATIMENT0000000240878035_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,,1e6b103a00fc95eaaba1553117cd2bebf56f5f321a4acb7f411ddaa93dee6d6c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,70503.75974,1105.8506,63.75523,390,hostname=speed-15.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:33"
BATIMENT0000000240879442_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,8d97e6c226cf49cba03f1840b6e54ec77b0a9213dce57c0fb4af801f218070fa,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,38254.561204,487.6807,78.441819,792,hostname=magic-node-03.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:33"
BATIMENT0000000240879459_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,FR.07,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,,1a0d6d5c05bce8ee10eb066257a36b5d87c09cfdcb11735fbad5be350949e7a5,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,105466.665645,2011.5438,52.430708,123,hostname=magic-node-02.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:33"
BATIMENT0000000240879492_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,acff0a6049df35f14df3a8bd0393d555b91b5d6b7b8ca3fc14ccb30fa773dc41,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,1,0,123981.030554,1199.3363,103.3747,3678,hostname=magic-node-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:34"
BATIMENT0000000240879511_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,229230186bf2cff962d324abb9ed40e5542fcf152b6f7070856359b6653d4b85,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,43549.239542,547.1157,79.597861,53,hostname=speed-23.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:35"
BATIMENT0000000240879534_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,731f8e50d83cfaf091c8ddfa68c39900e71e23ff0a22b9bf0aaac5187d44cab9,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,93349.208955,1266.9102,73.682577,2454,hostname=antenna1.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 12:35"
