building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
BATIMENT0000000013365727_part0,489894ba3d990787,FR.N.MFH.07.Gen.ReEx.001.001,MFH,FR.07,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,345bb503d90a7232c27748c48eca99561c5a41463435a56f0a88f5ed2f379685,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,147.1456,147.1456,147.1456,147.1456,5,
BATIMENT0000000240877101_part0,15f931a2760e942c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,8afb49bd32139613f29f7c8122d8c45381a4b3e579b8bac53ce656948eb4c826,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,887.9506,887.9506,887.9506,887.9506,6,
BATIMENT0000000240877122_part0,b875712b4bd17d5c,FR.N.SFH.01.Gen.ReEx.001.001,SFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,cd832ed7664224d9fcb7c1e3c552ab4426c25abdaa6ceb8614dba5063a9cc9ba,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,36.5326,36.5326,36.5326,36.5326,11,
BATIMENT0000000240877130_part0,5627115eb3ab450c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,be17f2322525a6aef43c6dcb8647ca3512f7d4163fbf7653ca17b4e1629a3904,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,347.957,347.957,347.957,347.957,11,
BATIMENT0000000240877151_part0,f1b0644cda5b4bf0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,492ef45c1415c2352f0417c8744cebb8b44137a3d2309aca293574bb8936ed96,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,1630.4907,1630.4907,1630.4907,1630.4907,10,
BATIMENT0000000240877159_part0,7d9a087b87add75b,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,e0fb6f9eb3b4eecaae3d0209d5778a83bc15e981a4e78cf018e5de26b4772f3d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,296.6128,296.6128,296.6128,296.6128,8,
BATIMENT0000000240877169_part0,32da933d7dc2ce69,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,80052c8468dea731573f829da7c08200e86f675aaf5e6a62b3f5873e50ab639b,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,267.6714,267.6714,267.6714,267.6714,8,
BATIMENT0000000240877179_part0,ad5416ce6925106c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5bf2646cd579967676660b79607a218bdc4dd246250693aa2d59f53dc754afc4,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,383.8958,383.8958,383.8958,383.8958,8,
BATIMENT0000000240877182_part0,627d94cf56761b9d,FR.N.SFH.01.Gen.ReEx.001.001,SFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,6ceb418b95b13bded824fc0ba3388956862d76e0ec6ab34e3e0b31f98575f6bb,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,107.8791,107.8791,107.8791,107.8791,8,
BATIMENT0000000240877183_part0,2ebe91c961e2ba6a,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,45ad73fdd99efbf8ecce0835404a95828e0851630d0bdf2aaf7be2182f1154d5,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,528.5527,528.5527,528.5527,528.5527,8,
