building_id,stage,blocker,detail
BATIMENT0000000240877536_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240879543_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240879899_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240879941_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240880045_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240880142_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240880143_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240880195_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240880358_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240880392_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240880398_part0,base_mapping,MISSING_OBSERVED_DWELLING_COUNT,
BATIMENT0000000240880405_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240881099_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240881161_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240881177_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240881317_part0,base_mapping,TYPOLOGY_SIGNALS_DISAGREE,
BATIMENT0000000240881334_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240881344_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240881379_part0,base_mapping,MISSING_OBSERVED_STOREY_COUNT,
BATIMENT0000000240881535_part0,base_mapping,MISSING_OBSERVED_YEAR_BUILT,
BATIMENT0000000240880120_part0,idf_build,IDF_ASSEMBLY_FAILED_RuntimeError,"interzone_vertex_mismatch_unresolved: mismatched=[('Block 281f6d4cbd29577c_2 Storey 0 Ceiling 0001_3', 'Block 281f6d4cbd29577c_4 Storey 1 Floor 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 0 Ceiling 0001_4', 'Block 281f6d4cbd29577c_5 Storey 1 Floor 0001_4'), ('Block 281f6d4cbd29577c_4 Storey 1 Floor 0001_1', 'Block 281f6d4cbd29577c_5 Storey 0 Ceiling 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 1 Ceiling 0001_3', 'Block 281f6d4cbd29577c_4 Storey 2 Floor 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 1 Ceiling 0001_4', 'Block 281f6d4cbd29577c_5 Storey 2 Floor 0001_4'), ('Block 281f6d4cbd29577c_4 Storey 2 Floor 0001_1', 'Block 281f6d4cbd29577c_5 Storey 1 Ceiling 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 2 Ceiling 0001_3', 'Block 281f6d4cbd29577c_4 Storey 3 Floor 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 2 Ceiling 0001_4', 'Block 281f6d4cbd29577c_5 Storey 3 Floor 0001_4'), ('Block 281f6d4cbd29577c_4 Storey 3 Floor 0001_1', 'Block 281f6d4cbd29577c_5 Storey 2 Ceiling 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 3 Ceiling 0001_3', 'Block 281f6d4cbd29577c_4 Storey 4 Floor 0001_1'), ('Block 281f6d4cbd29577c_2 Storey 3 Ceiling 0001_4', 'Block 281f6d4cbd29577c_3 Storey 4 Floor 0001_2'), ('Block 281f6d4cbd29577c_4 Storey 4 Floor 0001_1', 'Block 281f6d4cbd29577c_5 Storey 3 Roof 0001_1')] near_duplicate_vertex=True"
