building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
BATIMENT0000000240879449_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,FR.07,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,6f2678e573361fc4794c6f8c6d54450ae8570ed3f01bc2a7c25bb8676cf38ae3,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,247359.594348,3265.2207,75.755858,1828,hostname=speed-12.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:20",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240879449_part0.json
BATIMENT0000000240880186_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,FR.07,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,d443d1fa202bf61ba6c08909fc9e8137425db7d6525b2f56f696e3ec23154a44,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,142050.994406,2428.5509,58.49208,1769,hostname=speed-12.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:20",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880186_part0.json
BATIMENT0000000240880192_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,d495234261db781eab676c1203a84b1ee4b08d06a76b15da7078f857081970c3,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,144156.716013,1821.8408,79.126956,2865,hostname=speed-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:21",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880192_part0.json
BATIMENT0000000240880201_part0,FR.N.MFH.07.Gen.ReEx.001.001,MFH,FR.07,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,fd597f658a8a994f2c818e8dfb9b7846d961b095b5745b44633dd89f58ac6b50,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,4667.551662,53.3512,87.487285,28,hostname=speed-29.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:21",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880201_part0.json
BATIMENT0000000240880205_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,FR.07,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,174c3d98c6c87d98169bc6c4a9ae0224fb40e82ee8e3f4b10b03969d73fe5586,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,201928.891426,2848.9883,70.877403,1872,hostname=speed-29.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:22",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880205_part0.json
BATIMENT0000000240880245_part0,FR.N.MFH.02.Gen.ReEx.001.001,MFH,FR.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,9252bae63b2fadbe4cbb14f927ca86f8989d394eab0202c5a9a71840f4852218,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,48072.710204,483.4497,99.436839,2859,hostname=speed-20.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:22",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880245_part0.json
BATIMENT0000000240880367_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,9f60a31955b34c151c6c8bd898e601b4df3bdfd29820a5a51fffd0703ab328c0,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,2,0,890048.452406,6272.2926,141.901615,11388,hostname=speed-32.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:25",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880367_part0.json
BATIMENT0000000240880391_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,10de486b6a1a3397edccd2f77d6f6a39cea1f59b0829bf57e7662b90225ae614,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,57362.127522,614.0504,93.415992,387,hostname=speed-23.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:25",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880391_part0.json
BATIMENT0000000240880410_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,55d5b0506399c737fa3ae7523dfa6f2f0b6aa655f9cdc65bf2a9af43926fa260,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,1,8,1,,2151.9728,,4,hostname=magic-node-02.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:26",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240880410_part0.json
BATIMENT0000000240881077_part0,FR.N.MFH.02.Gen.ReEx.001.001,MFH,FR.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,f6aac7804fe35f247f5f37096f978e63025dbce375d4701c49e0e972d0b29a18,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,69527.394291,877.3482,79.247207,1081,hostname=magic-node-02.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:26",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240881077_part0.json
