building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,storey_provenance,imputation_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
way/1054662329,7aae3e0ee341bc04,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,8f9b93f5adc0a8cba6df2014992fe68c128190b6c202156b4e0c14ffada7cfc8,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,53.4231,53.4231,53.4231,53.4231,16,
way/1054662331,17196c48fad87be3,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c6035dd6ebbcbb6ccaf9fcc9fc78fc99969476a0b51efc944f14eff15bde13bb,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,50.155,50.155,50.155,50.155,17,
way/1054662332,8796714dce1af3e9,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b52c72727a175f1f7f182fc56f588e8d003652db5e94a0c181af336b258dad17,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,64.7532,64.7532,64.7532,64.7532,16,
way/1054662333,9ca82b818445fb8a,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,f980046d4b3e69f32dfd3467045a40014d0d664aa57366c4cf75d4e66bcc479f,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,45.6924,45.6924,45.6924,45.6924,8,
way/1054662336,01a04839dbc868ab,GB.ENG.TH.04.Gen.ReEx.001.001,TH,E,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,9841bdab9a20e0fcf5312795303e061d78d6b43fb744c83d2192ddc26c2cb99f,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,44.5506,44.5506,44.5506,44.5506,13,
way/1054785374,2e6162aa24059905,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,77db022b3319c3e7c95d0849d4ca5f51e9009557a0cf3b034d4a03aeea809853,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,448.9362,448.9362,448.9362,448.9362,9,
way/1054785375,d0fb5e03bbd729d2,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b746cbeb57cb4aa98e1596938fa214381ceb7ca2f1d57e273c413f137f197f6d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,43.28,43.28,43.28,43.28,17,
way/1054785376,a4f1fa438f6c2dc1,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c2b9e5bbd4285bd1fb3e5d7454959814189ecb375cf7e1e471d6fa089213faac,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,48.14,48.14,48.14,48.14,14,
way/1054785377,8c64de98dc76ca40,GB.ENG.TH.06.Gen.ReEx.001.001,TH,H,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b5cdb43e87e65efb5d88656b3f866c9b21d283ccd3d5eeca3562f788b4a1e6af,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,44.1454,44.1454,44.1454,44.1454,21,
way/1054785378,53afee6586ce37f3,GB.ENG.TH.06.Gen.ReEx.001.001,TH,H|I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,bc8fa3a0e36dd9e116e58df83dcbfe37040688cd77c406c148ba241e6cb440d3,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,80.5831,80.5831,80.5831,80.5831,19,
way/1054785379,1b3c85ed79ee7dd2,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,ccca40bc587afbec7df06620e7656da09f80a3e2bb1617e8958004394d703007,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,69.218,69.218,69.218,69.218,20,
way/1054785380,4c9d7eab62c0ebb6,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,43734651fcf238f78575286fd3c4839c68bf7955bafe656ea4625d0faf589ebf,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,65.8142,65.8142,65.8142,65.8142,22,
way/1054785382,816e388cc0fdaa78,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,ffd5d3f53ca2f956155458fd23c0911b47c30f40bf4d58298bdcc04c232654e8,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,209.2073,209.2073,209.2073,209.2073,14,NOCORE_BEST_EFFORT_C10
way/1054901275,a74967d495c35433,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,4e68d3b7f4207e789be3e10c957051b8fc19bb4c8ac826efefb41e5af7861d2a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,30.2968,30.2968,30.2968,30.2968,19,
way/1054901278,c2d09f174ea422d2,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A|B,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,a19ec9dd0fd341848ac35611e0b5d3bb24360c729bc4598accbcb8c5c3dac763,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,55.751,55.751,55.751,55.751,16,
way/1054901281,b12c06418ae5e1f2,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,cef8cf2052c03123562337653f385580966bebf6d7f8824d3f4b949e41f0b6d4,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,38.9256,38.9256,38.9256,38.9256,15,
way/1054901285,e93c14fb8f9f9338,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c7564747b95689ef39111ac7df3d7dab43f5ea184766be4938f12ee63e03fb78,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,39.5442,39.5442,39.5442,39.5442,16,
way/1055004682,22d1b8d889350e3c,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,80e186c3fde26d4b29dde73ab878588f4499aebb89596c6bce7f7a15c9de63c5,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,38.3765,38.3765,38.3765,38.3765,15,
way/1055004684,dc7f0e8ff0559a4e,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A|B,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,fc67bfaf6d839257723fe27da93fbd3a237d3ff1f4097a8321f30de8cded01d7,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,36.4854,36.4854,36.4854,36.4854,16,
way/1055004688,2fc09fd0644ddca7,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,ab7608949730c934c81f20c0c0b8cbb40cee6a7983bc199a70abcffb91c64d91,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,34.358,34.358,34.358,34.358,17,
way/1055090350,a9ad40dceff48a5e,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5b306ea183a44db4d8a00022a3eec4a45a6393e14c8e6943a2f85283cab1be8a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,48.5415,48.5415,48.5415,48.5415,17,
way/1055090352,c953398b5c929997,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,953f926549bc1083de42c0e1dbfae1b020f79d1205390eed9619ec0bd5f8adaf,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,98.6141,98.6141,98.6141,98.6141,8,
way/1055163040,cb6c4d60d9409e0e,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A|B,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,65bea2f2f542d31a2e81ec49913ac0ac7656996426fa3dacddecf95bc21accbf,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,60.3489,60.3489,60.3489,60.3489,11,
way/1055163043,42ec317da44abca5,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,546810be458ea8a0e9236b539bab12e80e5e8af35621c2c5782432dd73f69667,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,49.2371,49.2371,49.2371,49.2371,15,
way/1055163044,f99e884d71c82ebb,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A|B,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,2854b680e5fa8c8f7f661a892e08d87d01961057fbf9a2a59094569baccb4cf6,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,48.2406,48.2406,48.2406,48.2406,14,
way/1055232796,0770be2e61a67472,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A|B,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,86996cefd8015e1bbb7a0e7d73fbe5bd98a6df7f3ee51c18afaea93b97cb0113,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,53.0649,53.0649,53.0649,53.0649,14,
way/1055232801,e8c42c09b6c6a409,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,e3b614b96c39480872382048ace2827830925a7d1f5245243f1e2ad11e138f4a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,40.9338,40.9338,40.9338,40.9338,16,
way/1055232802,d6a6e7a645a1ac33,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,1c31f491081f323c45733a6760c9fbf2b5d7289aed727beb4690682057285128,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,51.8033,51.8033,51.8033,51.8033,15,
way/1055232803,2ae0bf7d498ada2f,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,079d6672591bfb4c3e0b49d54ef02258e872f79eae89a387c9896013ab72af14,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,56.4922,56.4922,56.4922,56.4922,17,
way/1055232806,11887b42f1bb5fd5,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,82d6b951a2404f21c1ae932dd1441b25a0f2393e070d62c2d6450032794fee1f,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,48.3634,48.3634,48.3634,48.3634,18,
way/1055232808,ca8f8985ca987ae3,GB.ENG.TH.06.Gen.ReEx.001.001,TH,H,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5e38c111ffbf17912e65fb6e951571f124770c5589bcb2f9d6510298b56b5d8b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,68.628,68.628,68.628,68.628,18,
way/1055232811,4a67e6e752071c9a,GB.ENG.TH.06.Gen.ReEx.001.001,TH,H,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,1a25929635ae674f56e69eb442d59b6c85aae9ea36dea89b2b341646e7b7a8be,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,51.2063,51.2063,51.2063,51.2063,8,
way/1055539059,22c333e60028ef5e,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,10a865f8768fdb289de217e30932f9d96c3ad607f6c39344e12792dcf6bb0498,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,44.4857,44.4857,44.4857,44.4857,8,
way/1055642104,c823dc9b4d73c1f2,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,bb1516b3b15041fd4c9bf0c757448ababca041ccfc44b04019b196898a75bfce,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,49.3613,49.3613,49.3613,49.3613,12,
way/1055854771,9c3860cca3f7b934,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,0bdbfc0a80c9ce78f3c67a2ddf3ddc1367e8ef70af64d74be62ba8736b1bdbec,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,73.6024,73.6024,73.6024,73.6024,17,
way/1055854784,f6bd382a95d89666,GB.ENG.TH.01.Gen.ReEx.001.001,TH,A,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,a864e7eda4b7036e45597ab2fb50d1fb0f93eac59088c4f0b7703f597625e3c2,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,33.4973,33.4973,33.4973,33.4973,15,
way/1056016621,928111b4b583d568,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,27c9f3b81bdd72d332a6a1efcea04289cdbd8f6d4a4cb1ed1fc15155a8ee624a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,43.2676,43.2676,43.2676,43.2676,11,
way/1056016623,2573d4dca202f919,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,4bea05424c743526ffc928582b17cc75413f89468db07aab14d83e4691907f8f,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,44.3917,44.3917,44.3917,44.3917,13,
way/1056016627,5ab3620a51d4bf21,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,819af65eb2b2fe1c9140f65528b2d7b0d58d956e8274e9c474b9b99dccd9c01c,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,44.5845,44.5845,44.5845,44.5845,13,
way/1056016639,6382c2910b09cd6a,GB.ENG.TH.05.Gen.ReEx.001.001,TH,G,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b5bdecd043724d902a704a41896f4e555e4ddc1b3e708452201fac11ae775f49,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,48.7408,48.7408,48.7408,48.7408,13,
way/1056016640,7a8684fe351b68b2,GB.ENG.TH.06.Gen.ReEx.001.001,TH,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,eba05b92939a3e2e2ab25f7726f998b54e8f7fb1ff6f4fa6165234ebe59472af,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,44.9459,44.9459,44.9459,44.9459,10,
way/1056162837,dbbea0325574e247,GB.ENG.TH.08.Gen.ReEx.001.001,TH,GB.08,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,931c1bf4e251ec67bcf51a8cc3f3ff353cb684d9f5382bddc94a33f97d2c1276,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_OBSERVED_CONSTRUCTION_YEAR,,,61.7047,61.7047,61.7047,61.7047,11,
way/1056162838,5b8bca65702e0203,GB.ENG.TH.08.Gen.ReEx.001.001,TH,GB.08,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,eb9148b9982e61b2b9812f5539e397ae835f7f895c0c3390d4439bff9fe5412e,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_OBSERVED_CONSTRUCTION_YEAR,,,62.5398,62.5398,62.5398,62.5398,10,
way/1056162839,dadd3c4c4fb39dac,GB.ENG.TH.08.Gen.ReEx.001.001,TH,GB.08,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,4d8f4ff1e2bc9252e244523d18175d1f8a994114dcea3be80139bb09565650aa,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_OBSERVED_CONSTRUCTION_YEAR,,,61.046,61.046,61.046,61.046,10,
way/1056456195,f7d4223a49638842,GB.ENG.TH.04.Gen.ReEx.001.001,TH,D|E,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,76db03b5ff131d3abc95398c23a92097ea7be7941631f4f0fd6369a925688453,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,,,47.7708,47.7708,47.7708,47.7708,11,
