building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version
27410,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,bab637278160c01fff02eef25e28177156d003e34d858124b769c1ab271806bc,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,3754.5108,,64,,
27550,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,3e5a5eb48250c0ffcc4598668852ae022cacf25e253c388859bebfaeb9384838,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,589.2438,,822,,
27610,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,214504025cc9446a56696429cdb2f91c07cbf35fb0dc82271ad9f85ed250e805,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,34570.7193,,17,,
27683,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,e84f33825a6b4da2970f6a168a48b44937052385f483c0e4867d90c5b399847d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,7442.5688,,769,,
27746,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,e3a108e2ababf7cc11cad6b2d3087bc30532dd2d2dcc30b71522427ef3911445,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,0,0,0,6740.831636,137.3667,49.071803,1145,hostname=magic.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 19:31"
27816,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,2a14cfeba188b8375009c88f3c404ca0137c26afdc75a4b390beeb5134b285cb,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,574.6726,,13,,
27931,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,b2652ec83ed9c2816657789ac54baf102799b02cfdbe28d621ca97f65181f3d4,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,30520.057,,41,,
27997,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,20d800a440469e6e0340d649cc21420f1c7e1acd18ff3cbe34adbb58225ea9c3,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,0,1,0,253927.751059,5345.9197,47.499358,80,hostname=magic-node-06.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.07 19:31"
28000,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,54eee1325be7a516eaae55093218c8770ae90fb372d7bc9ce1ea1b257d890ab6,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,4458.2374,,1011,,
28004,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,a5ec7bac5627db2a5d2c5d1bb79978290692798014022b49073ba7e67c48af3d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1144.2399,,1169,,
