building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,storey_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
27410,02dd9c3e4f745e0b,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,bab637278160c01fff02eef25e28177156d003e34d858124b769c1ab271806bc,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,3754.5108,3754.5108,3754.5108,3754.5108,11,
27550,cf1704af581bc378,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,3e5a5eb48250c0ffcc4598668852ae022cacf25e253c388859bebfaeb9384838,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,589.2438,589.2438,589.2438,589.2438,7,
27610,9061cd9d580a04e9,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,214504025cc9446a56696429cdb2f91c07cbf35fb0dc82271ad9f85ed250e805,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,34570.7193,34570.7193,34570.7193,34570.7193,22,
27683,265de69480c62b06,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,e84f33825a6b4da2970f6a168a48b44937052385f483c0e4867d90c5b399847d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,7442.5688,7442.5688,7442.5688,7442.5688,13,
27746,0ccdeb0a111369d4,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,e3a108e2ababf7cc11cad6b2d3087bc30532dd2d2dcc30b71522427ef3911445,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,137.3667,137.3667,137.3667,137.3667,6,
27816,0ea26e5ccd38c276,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,2a14cfeba188b8375009c88f3c404ca0137c26afdc75a4b390beeb5134b285cb,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,574.6726,574.6726,574.6726,574.6726,5,
27931,366fc6fda9a1a946,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,b2652ec83ed9c2816657789ac54baf102799b02cfdbe28d621ca97f65181f3d4,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,30520.057,30520.057,30520.057,30520.057,16,
27997,afea7d8c3963b646,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,20d800a440469e6e0340d649cc21420f1c7e1acd18ff3cbe34adbb58225ea9c3,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,5345.9197,5345.9197,5345.9197,5345.9197,8,
28000,ca8e3bac05e76fe6,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,54eee1325be7a516eaae55093218c8770ae90fb372d7bc9ce1ea1b257d890ab6,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,4458.2374,4458.2374,4458.2374,4458.2374,10,
28004,f9ae5162e26a0441,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,a5ec7bac5627db2a5d2c5d1bb79978290692798014022b49073ba7e67c48af3d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1144.2399,1144.2399,1144.2399,1144.2399,6,
