Time,016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_0::Des Latent Heat Load [W],016DAE597D69229C_F0_DWELLING_0::Des Latent Cool Load [W],016DAE597D69229C_F0_DWELLING_0::Des Latent Heat Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_0::Des Latent Cool Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_0::Des Heat Load No DOAS [W],016DAE597D69229C_F0_DWELLING_0::Des Sens Cool Load No DOAS [W],016DAE597D69229C_F0_DWELLING_0::Des Latent Heat Load No DOAS [W],016DAE597D69229C_F0_DWELLING_0::Des Latent Cool Load No DOAS [W],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],016DAE597D69229C_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],016DAE597D69229C_F1_DWELLING_0::Des Latent Heat Load [W],016DAE597D69229C_F1_DWELLING_0::Des Latent Cool Load [W],016DAE597D69229C_F1_DWELLING_0::Des Latent Heat Mass Flow [kg/s],016DAE597D69229C_F1_DWELLING_0::Des Latent Cool Mass Flow [kg/s],016DAE597D69229C_F1_DWELLING_0::Des Heat Load No DOAS [W],016DAE597D69229C_F1_DWELLING_0::Des Sens Cool Load No DOAS [W],016DAE597D69229C_F1_DWELLING_0::Des Latent Heat Load No DOAS [W],016DAE597D69229C_F1_DWELLING_0::Des Latent Cool Load No DOAS [W],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],016DAE597D69229C_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],016DAE597D69229C_F2_DWELLING_0::Des Latent Heat Load [W],016DAE597D69229C_F2_DWELLING_0::Des Latent Cool Load [W],016DAE597D69229C_F2_DWELLING_0::Des Latent Heat Mass Flow [kg/s],016DAE597D69229C_F2_DWELLING_0::Des Latent Cool Mass Flow [kg/s],016DAE597D69229C_F2_DWELLING_0::Des Heat Load No DOAS [W],016DAE597D69229C_F2_DWELLING_0::Des Sens Cool Load No DOAS [W],016DAE597D69229C_F2_DWELLING_0::Des Latent Heat Load No DOAS [W],016DAE597D69229C_F2_DWELLING_0::Des Latent Cool Load No DOAS [W],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],016DAE597D69229C_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],016DAE597D69229C_F3_DWELLING_0::Des Latent Heat Load [W],016DAE597D69229C_F3_DWELLING_0::Des Latent Cool Load [W],016DAE597D69229C_F3_DWELLING_0::Des Latent Heat Mass Flow [kg/s],016DAE597D69229C_F3_DWELLING_0::Des Latent Cool Mass Flow [kg/s],016DAE597D69229C_F3_DWELLING_0::Des Heat Load No DOAS [W],016DAE597D69229C_F3_DWELLING_0::Des Sens Cool Load No DOAS [W],016DAE597D69229C_F3_DWELLING_0::Des Latent Heat Load No DOAS [W],016DAE597D69229C_F3_DWELLING_0::Des Latent Cool Load No DOAS [W],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],016DAE597D69229C_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Load [W],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_1::Des Latent Heat Load [W],016DAE597D69229C_F0_DWELLING_1::Des Latent Cool Load [W],016DAE597D69229C_F0_DWELLING_1::Des Latent Heat Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_1::Des Latent Cool Mass Flow [kg/s],016DAE597D69229C_F0_DWELLING_1::Des Heat Load No DOAS [W],016DAE597D69229C_F0_DWELLING_1::Des Sens Cool Load No DOAS [W],016DAE597D69229C_F0_DWELLING_1::Des Latent Heat Load No DOAS [W],016DAE597D69229C_F0_DWELLING_1::Des Latent Cool Load No DOAS [W],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],016DAE597D69229C_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,4.710818E+03,0.000000E+00,1.539689E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.674463E+01,2.538623E+01,5.913171E+01,5.481338E+03,0.000000E+00,1.791524E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999549E+01,3.819776E+01,2.968813E+01,3.757769E+01,5.762600E+03,0.000000E+00,1.883448E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.867754E+01,2.884699E+01,4.830676E+01,1.085665E+04,0.000000E+00,3.548304E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999472E+01,4.432264E+01,2.860145E+01,4.000650E+01,9.563084E+03,0.000000E+00,3.125511E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.327484E+01,2.248469E+01,7.035153E+01
00:10:00,4.695040E+03,0.000000E+00,1.534531E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.674699E+01,2.534019E+01,5.952415E+01,5.460950E+03,0.000000E+00,1.784860E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999549E+01,3.820121E+01,2.967115E+01,3.777253E+01,5.740510E+03,0.000000E+00,1.876228E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.868077E+01,2.881069E+01,4.859620E+01,1.080832E+04,0.000000E+00,3.532508E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999472E+01,4.432175E+01,2.858203E+01,4.021976E+01,9.517256E+03,0.000000E+00,3.110533E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.327009E+01,2.241940E+01,7.090587E+01
00:15:00,4.678079E+03,0.000000E+00,1.528988E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.674890E+01,2.530190E+01,5.987342E+01,5.439346E+03,0.000000E+00,1.777799E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999549E+01,3.820438E+01,2.964620E+01,3.798395E+01,5.717217E+03,0.000000E+00,1.868614E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.868388E+01,2.878138E+01,4.885254E+01,1.075841E+04,0.000000E+00,3.516198E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999472E+01,4.432201E+01,2.854587E+01,4.047146E+01,9.470078E+03,0.000000E+00,3.095113E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.326706E+01,2.236567E+01,7.139290E+01
00:20:00,4.659930E+03,0.000000E+00,1.523056E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675030E+01,2.527039E+01,6.018164E+01,5.416521E+03,0.000000E+00,1.770338E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999549E+01,3.820725E+01,2.961440E+01,3.820872E+01,5.692712E+03,0.000000E+00,1.860605E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.868682E+01,2.875753E+01,4.907927E+01,1.070693E+04,0.000000E+00,3.499369E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999471E+01,4.432338E+01,2.849636E+01,4.075329E+01,9.421543E+03,0.000000E+00,3.079250E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.326574E+01,2.232156E+01,7.181898E+01
00:25:00,4.640590E+03,0.000000E+00,1.516735E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675121E+01,2.524372E+01,6.045618E+01,5.392467E+03,0.000000E+00,1.762476E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999548E+01,3.820980E+01,2.957798E+01,3.844178E+01,5.666988E+03,0.000000E+00,1.852197E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.868960E+01,2.873683E+01,4.928337E+01,1.065383E+04,0.000000E+00,3.482016E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999471E+01,4.432564E+01,2.843877E+01,4.105288E+01,9.371640E+03,0.000000E+00,3.062940E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,4.326586E+01,2.228387E+01,7.219825E+01
00:30:00,4.620057E+03,0.000000E+00,1.510023E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675169E+01,2.522023E+01,6.070388E+01,5.367178E+03,0.000000E+00,1.754211E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999548E+01,3.821209E+01,2.953882E+01,3.867898E+01,5.640040E+03,0.000000E+00,1.843389E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.869222E+01,2.871767E+01,4.947027E+01,1.059912E+04,0.000000E+00,3.464135E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.432854E+01,2.837702E+01,4.136108E+01,9.320357E+03,0.000000E+00,3.046179E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999458E+01,4.326709E+01,2.225011E+01,7.254252E+01
00:35:00,4.598326E+03,0.000000E+00,1.502921E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675181E+01,2.519893E+01,6.092923E+01,5.340650E+03,0.000000E+00,1.745540E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999548E+01,3.821414E+01,2.949806E+01,3.891764E+01,5.611860E+03,0.000000E+00,1.834179E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.869469E+01,2.869929E+01,4.964299E+01,1.054278E+04,0.000000E+00,3.445719E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.433192E+01,2.831319E+01,4.167286E+01,9.267684E+03,0.000000E+00,3.028964E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999457E+01,4.326918E+01,2.221888E+01,7.285885E+01
00:40:00,4.575379E+03,0.000000E+00,1.495421E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675160E+01,2.517914E+01,6.113546E+01,5.312854E+03,0.000000E+00,1.736456E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999548E+01,3.821597E+01,2.945638E+01,3.915610E+01,5.582412E+03,0.000000E+00,1.824554E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.869704E+01,2.868132E+01,4.980323E+01,1.048473E+04,0.000000E+00,3.426747E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.433563E+01,2.824811E+01,4.198605E+01,9.213548E+03,0.000000E+00,3.011270E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999457E+01,4.327192E+01,2.218934E+01,7.315186E+01
00:45:00,4.551238E+03,0.000000E+00,1.487531E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675108E+01,2.516037E+01,6.132503E+01,5.283820E+03,0.000000E+00,1.726966E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999548E+01,3.821758E+01,2.941417E+01,3.939324E+01,5.551739E+03,0.000000E+00,1.814529E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.869920E+01,2.866361E+01,4.995213E+01,1.042506E+04,0.000000E+00,3.407243E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.433953E+01,2.818211E+01,4.229970E+01,9.158044E+03,0.000000E+00,2.993130E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999457E+01,4.327510E+01,2.216094E+01,7.342477E+01
00:50:00,4.525881E+03,0.000000E+00,1.479243E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999553E+01,3.675030E+01,2.514234E+01,6.149970E+01,5.253515E+03,0.000000E+00,1.717061E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999548E+01,3.821902E+01,2.937168E+01,3.962836E+01,5.519795E+03,0.000000E+00,1.804089E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999542E+01,3.870126E+01,2.864604E+01,5.009053E+01,1.036366E+04,0.000000E+00,3.387178E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.434363E+01,2.811533E+01,4.261324E+01,9.101077E+03,0.000000E+00,2.974511E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999456E+01,4.327870E+01,2.213335E+01,7.367981E+01
