Time,48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_0::Des Latent Heat Load [W],48478573DA81F263_F0_DWELLING_0::Des Latent Cool Load [W],48478573DA81F263_F0_DWELLING_0::Des Latent Heat Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_0::Des Latent Cool Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_0::Des Heat Load No DOAS [W],48478573DA81F263_F0_DWELLING_0::Des Sens Cool Load No DOAS [W],48478573DA81F263_F0_DWELLING_0::Des Latent Heat Load No DOAS [W],48478573DA81F263_F0_DWELLING_0::Des Latent Cool Load No DOAS [W],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],48478573DA81F263_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],48478573DA81F263_F1_DWELLING_0::Des Latent Heat Load [W],48478573DA81F263_F1_DWELLING_0::Des Latent Cool Load [W],48478573DA81F263_F1_DWELLING_0::Des Latent Heat Mass Flow [kg/s],48478573DA81F263_F1_DWELLING_0::Des Latent Cool Mass Flow [kg/s],48478573DA81F263_F1_DWELLING_0::Des Heat Load No DOAS [W],48478573DA81F263_F1_DWELLING_0::Des Sens Cool Load No DOAS [W],48478573DA81F263_F1_DWELLING_0::Des Latent Heat Load No DOAS [W],48478573DA81F263_F1_DWELLING_0::Des Latent Cool Load No DOAS [W],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],48478573DA81F263_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],48478573DA81F263_F2_DWELLING_0::Des Latent Heat Load [W],48478573DA81F263_F2_DWELLING_0::Des Latent Cool Load [W],48478573DA81F263_F2_DWELLING_0::Des Latent Heat Mass Flow [kg/s],48478573DA81F263_F2_DWELLING_0::Des Latent Cool Mass Flow [kg/s],48478573DA81F263_F2_DWELLING_0::Des Heat Load No DOAS [W],48478573DA81F263_F2_DWELLING_0::Des Sens Cool Load No DOAS [W],48478573DA81F263_F2_DWELLING_0::Des Latent Heat Load No DOAS [W],48478573DA81F263_F2_DWELLING_0::Des Latent Cool Load No DOAS [W],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],48478573DA81F263_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],48478573DA81F263_F3_DWELLING_0::Des Latent Heat Load [W],48478573DA81F263_F3_DWELLING_0::Des Latent Cool Load [W],48478573DA81F263_F3_DWELLING_0::Des Latent Heat Mass Flow [kg/s],48478573DA81F263_F3_DWELLING_0::Des Latent Cool Mass Flow [kg/s],48478573DA81F263_F3_DWELLING_0::Des Heat Load No DOAS [W],48478573DA81F263_F3_DWELLING_0::Des Sens Cool Load No DOAS [W],48478573DA81F263_F3_DWELLING_0::Des Latent Heat Load No DOAS [W],48478573DA81F263_F3_DWELLING_0::Des Latent Cool Load No DOAS [W],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],48478573DA81F263_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Load [W],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_1::Des Latent Heat Load [W],48478573DA81F263_F0_DWELLING_1::Des Latent Cool Load [W],48478573DA81F263_F0_DWELLING_1::Des Latent Heat Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_1::Des Latent Cool Mass Flow [kg/s],48478573DA81F263_F0_DWELLING_1::Des Heat Load No DOAS [W],48478573DA81F263_F0_DWELLING_1::Des Sens Cool Load No DOAS [W],48478573DA81F263_F0_DWELLING_1::Des Latent Heat Load No DOAS [W],48478573DA81F263_F0_DWELLING_1::Des Latent Cool Load No DOAS [W],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],48478573DA81F263_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,2.337484E+03,0.000000E+00,7.639782E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.996011E+01,2.573070E+01,5.794123E+01,2.382626E+03,0.000000E+00,7.787369E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.009739E+01,2.953810E+01,3.790299E+01,2.455259E+03,0.000000E+00,8.024754E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999536E+01,4.038429E+01,2.970171E+01,3.754848E+01,4.289922E+03,0.000000E+00,1.402092E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999485E+01,4.510988E+01,2.819167E+01,4.096857E+01,3.540350E+03,0.000000E+00,1.157101E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999474E+01,4.354800E+01,2.434475E+01,5.139160E+01
00:10:00,2.330299E+03,0.000000E+00,7.616298E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.996384E+01,2.567843E+01,5.834676E+01,2.374403E+03,0.000000E+00,7.760488E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.010163E+01,2.951996E+01,3.810207E+01,2.446775E+03,0.000000E+00,7.997021E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999536E+01,4.038799E+01,2.968441E+01,3.774386E+01,4.271890E+03,0.000000E+00,1.396198E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999484E+01,4.510920E+01,2.817255E+01,4.118625E+01,3.523123E+03,0.000000E+00,1.151471E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999473E+01,4.354336E+01,2.432928E+01,5.165383E+01
00:15:00,2.322560E+03,0.000000E+00,7.591004E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.996708E+01,2.563539E+01,5.870515E+01,2.365672E+03,0.000000E+00,7.731954E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.010553E+01,2.949344E+01,3.831883E+01,2.437782E+03,0.000000E+00,7.967628E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999536E+01,4.039145E+01,2.965853E+01,3.795714E+01,4.253209E+03,0.000000E+00,1.390092E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999484E+01,4.510952E+01,2.813587E+01,4.144542E+01,3.505398E+03,0.000000E+00,1.145677E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999473E+01,4.354018E+01,2.429319E+01,5.197916E+01
00:20:00,2.314258E+03,0.000000E+00,7.563870E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.996976E+01,2.560005E+01,5.902033E+01,2.356427E+03,0.000000E+00,7.701734E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.010907E+01,2.946004E+01,3.854918E+01,2.428274E+03,0.000000E+00,7.936550E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999536E+01,4.039465E+01,2.962558E+01,3.818428E+01,4.233871E+03,0.000000E+00,1.383772E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999483E+01,4.511083E+01,2.808537E+01,4.173671E+01,3.487173E+03,0.000000E+00,1.139720E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999472E+01,4.353863E+01,2.423930E+01,5.235859E+01
00:25:00,2.305392E+03,0.000000E+00,7.534890E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.997193E+01,2.556985E+01,5.930158E+01,2.346663E+03,0.000000E+00,7.669821E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.011226E+01,2.942222E+01,3.878754E+01,2.418247E+03,0.000000E+00,7.903777E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999535E+01,4.039760E+01,2.958805E+01,3.841966E+01,4.213868E+03,0.000000E+00,1.377234E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999483E+01,4.511292E+01,2.802670E+01,4.204655E+01,3.468444E+03,0.000000E+00,1.133599E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999471E+01,4.353853E+01,2.417275E+01,5.277661E+01
00:30:00,2.295958E+03,0.000000E+00,7.504056E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.997364E+01,2.554280E+01,5.955679E+01,2.336378E+03,0.000000E+00,7.636205E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.011515E+01,2.938178E+01,3.902981E+01,2.407697E+03,0.000000E+00,7.869297E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999535E+01,4.040034E+01,2.954779E+01,3.865916E+01,4.193194E+03,0.000000E+00,1.370477E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999483E+01,4.511556E+01,2.796386E+01,4.236529E+01,3.449209E+03,0.000000E+00,1.127313E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999471E+01,4.353960E+01,2.409697E+01,5.322293E+01
00:35:00,2.285955E+03,0.000000E+00,7.471362E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.997497E+01,2.551769E+01,5.979102E+01,2.325568E+03,0.000000E+00,7.600873E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.011777E+01,2.933978E+01,3.927353E+01,2.396623E+03,0.000000E+00,7.833099E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999535E+01,4.040289E+01,2.950585E+01,3.890035E+01,4.171842E+03,0.000000E+00,1.363498E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999483E+01,4.511861E+01,2.789892E+01,4.268782E+01,3.429464E+03,0.000000E+00,1.120859E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999471E+01,4.354157E+01,2.401453E+01,5.368981E+01
00:40:00,2.275381E+03,0.000000E+00,7.436800E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.997598E+01,2.549402E+01,6.000686E+01,2.314230E+03,0.000000E+00,7.563817E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999539E+01,4.012015E+01,2.929668E+01,3.951749E+01,2.385019E+03,0.000000E+00,7.795174E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999535E+01,4.040527E+01,2.946295E+01,3.914144E+01,4.149806E+03,0.000000E+00,1.356296E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999482E+01,4.512193E+01,2.783271E+01,4.301192E+01,3.409203E+03,0.000000E+00,1.114237E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.354423E+01,2.392796E+01,5.416931E+01
00:45:00,2.264232E+03,0.000000E+00,7.400364E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.997669E+01,2.547123E+01,6.020699E+01,2.302362E+03,0.000000E+00,7.525027E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999538E+01,4.012233E+01,2.925250E+01,3.976146E+01,2.372883E+03,0.000000E+00,7.755510E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999535E+01,4.040749E+01,2.941945E+01,3.938144E+01,4.127079E+03,0.000000E+00,1.348868E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999482E+01,4.512544E+01,2.776553E+01,4.333669E+01,3.388425E+03,0.000000E+00,1.107446E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.354742E+01,2.383890E+01,5.465604E+01
00:50:00,2.252508E+03,0.000000E+00,7.362045E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999522E+01,3.997715E+01,2.544914E+01,6.039265E+01,2.289959E+03,0.000000E+00,7.484491E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999538E+01,4.012431E+01,2.920756E+01,4.000454E+01,2.360212E+03,0.000000E+00,7.714096E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999535E+01,4.040955E+01,2.937546E+01,3.961991E+01,4.103656E+03,0.000000E+00,1.341212E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999482E+01,4.512907E+01,2.769745E+01,4.366170E+01,3.367124E+03,0.000000E+00,1.100484E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999470E+01,4.355103E+01,2.374826E+01,5.514689E+01
