Time,9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],9CEE1873F9B5679A_F0_WHOLE::Des Latent Heat Load [W],9CEE1873F9B5679A_F0_WHOLE::Des Latent Cool Load [W],9CEE1873F9B5679A_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],9CEE1873F9B5679A_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],9CEE1873F9B5679A_F0_WHOLE::Des Heat Load No DOAS [W],9CEE1873F9B5679A_F0_WHOLE::Des Sens Cool Load No DOAS [W],9CEE1873F9B5679A_F0_WHOLE::Des Latent Heat Load No DOAS [W],9CEE1873F9B5679A_F0_WHOLE::Des Latent Cool Load No DOAS [W],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],9CEE1873F9B5679A_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],9CEE1873F9B5679A_F1_WHOLE::Des Latent Heat Load [W],9CEE1873F9B5679A_F1_WHOLE::Des Latent Cool Load [W],9CEE1873F9B5679A_F1_WHOLE::Des Latent Heat Mass Flow [kg/s],9CEE1873F9B5679A_F1_WHOLE::Des Latent Cool Mass Flow [kg/s],9CEE1873F9B5679A_F1_WHOLE::Des Heat Load No DOAS [W],9CEE1873F9B5679A_F1_WHOLE::Des Sens Cool Load No DOAS [W],9CEE1873F9B5679A_F1_WHOLE::Des Latent Heat Load No DOAS [W],9CEE1873F9B5679A_F1_WHOLE::Des Latent Cool Load No DOAS [W],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],9CEE1873F9B5679A_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],9CEE1873F9B5679A_F2_WHOLE::Des Latent Heat Load [W],9CEE1873F9B5679A_F2_WHOLE::Des Latent Cool Load [W],9CEE1873F9B5679A_F2_WHOLE::Des Latent Heat Mass Flow [kg/s],9CEE1873F9B5679A_F2_WHOLE::Des Latent Cool Mass Flow [kg/s],9CEE1873F9B5679A_F2_WHOLE::Des Heat Load No DOAS [W],9CEE1873F9B5679A_F2_WHOLE::Des Sens Cool Load No DOAS [W],9CEE1873F9B5679A_F2_WHOLE::Des Latent Heat Load No DOAS [W],9CEE1873F9B5679A_F2_WHOLE::Des Latent Cool Load No DOAS [W],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],9CEE1873F9B5679A_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],9CEE1873F9B5679A_F3_WHOLE::Des Latent Heat Load [W],9CEE1873F9B5679A_F3_WHOLE::Des Latent Cool Load [W],9CEE1873F9B5679A_F3_WHOLE::Des Latent Heat Mass Flow [kg/s],9CEE1873F9B5679A_F3_WHOLE::Des Latent Cool Mass Flow [kg/s],9CEE1873F9B5679A_F3_WHOLE::Des Heat Load No DOAS [W],9CEE1873F9B5679A_F3_WHOLE::Des Sens Cool Load No DOAS [W],9CEE1873F9B5679A_F3_WHOLE::Des Latent Heat Load No DOAS [W],9CEE1873F9B5679A_F3_WHOLE::Des Latent Cool Load No DOAS [W],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],9CEE1873F9B5679A_F3_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],9CEE1873F9B5679A_F4_WHOLE::Des Latent Heat Load [W],9CEE1873F9B5679A_F4_WHOLE::Des Latent Cool Load [W],9CEE1873F9B5679A_F4_WHOLE::Des Latent Heat Mass Flow [kg/s],9CEE1873F9B5679A_F4_WHOLE::Des Latent Cool Mass Flow [kg/s],9CEE1873F9B5679A_F4_WHOLE::Des Heat Load No DOAS [W],9CEE1873F9B5679A_F4_WHOLE::Des Sens Cool Load No DOAS [W],9CEE1873F9B5679A_F4_WHOLE::Des Latent Heat Load No DOAS [W],9CEE1873F9B5679A_F4_WHOLE::Des Latent Cool Load No DOAS [W],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],9CEE1873F9B5679A_F4_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,5.179077E+03,0.000000E+00,1.692719E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.679908E+01,2.672768E+01,4.472715E+01,5.143520E+03,0.000000E+00,1.681098E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.669555E+01,2.957788E+01,3.790359E+01,5.203714E+03,0.000000E+00,1.700770E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680789E+01,3.035253E+01,3.625827E+01,5.638758E+03,0.000000E+00,1.842952E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999512E+01,3.761274E+01,2.826830E+01,5.017673E+01,1.209950E+04,0.000000E+00,3.954428E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999411E+01,4.442855E+01,2.530865E+01,5.968064E+01
00:10:00,5.162705E+03,0.000000E+00,1.687367E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680179E+01,2.670808E+01,4.497113E+01,5.126120E+03,0.000000E+00,1.675411E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.669853E+01,2.955624E+01,3.811450E+01,5.185853E+03,0.000000E+00,1.694933E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681059E+01,3.033060E+01,3.646053E+01,5.619083E+03,0.000000E+00,1.836521E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999512E+01,3.761446E+01,2.821290E+01,5.053127E+01,1.204033E+04,0.000000E+00,3.935088E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999411E+01,4.442483E+01,2.522643E+01,6.020287E+01
00:15:00,5.145018E+03,0.000000E+00,1.681586E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680398E+01,2.668010E+01,4.523615E+01,5.107409E+03,0.000000E+00,1.669295E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670108E+01,2.952593E+01,3.834347E+01,5.166689E+03,0.000000E+00,1.688669E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681291E+01,3.029985E+01,3.668026E+01,5.598090E+03,0.000000E+00,1.829660E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999512E+01,3.761599E+01,2.816581E+01,5.084747E+01,1.197951E+04,0.000000E+00,3.915210E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999410E+01,4.442305E+01,2.515833E+01,6.065950E+01
00:20:00,5.126010E+03,0.000000E+00,1.675374E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680557E+01,2.664467E+01,4.551887E+01,5.087381E+03,0.000000E+00,1.662749E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670311E+01,2.948786E+01,3.858775E+01,5.146213E+03,0.000000E+00,1.681976E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681480E+01,3.026113E+01,3.691497E+01,5.575772E+03,0.000000E+00,1.822365E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.761731E+01,2.812592E+01,5.112742E+01,1.191702E+04,0.000000E+00,3.894787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999409E+01,4.442315E+01,2.510171E+01,6.105799E+01
00:25:00,5.105678E+03,0.000000E+00,1.668728E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680661E+01,2.660367E+01,4.581409E+01,5.066029E+03,0.000000E+00,1.655770E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670465E+01,2.944401E+01,3.884282E+01,5.124419E+03,0.000000E+00,1.674853E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681628E+01,3.021646E+01,3.716033E+01,5.552123E+03,0.000000E+00,1.814636E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.761843E+01,2.809096E+01,5.137829E+01,1.185285E+04,0.000000E+00,3.873812E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999409E+01,4.442477E+01,2.505235E+01,6.141374E+01
00:30:00,5.084017E+03,0.000000E+00,1.661649E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680717E+01,2.655863E+01,4.611773E+01,5.043350E+03,0.000000E+00,1.648358E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670575E+01,2.939612E+01,3.910485E+01,5.101304E+03,0.000000E+00,1.667298E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681739E+01,3.016758E+01,3.741263E+01,5.527138E+03,0.000000E+00,1.806469E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.761937E+01,2.805905E+01,5.160655E+01,1.178696E+04,0.000000E+00,3.852278E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999408E+01,4.442748E+01,2.500710E+01,6.173903E+01
00:35:00,5.061023E+03,0.000000E+00,1.654133E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680730E+01,2.651042E+01,4.642742E+01,5.019338E+03,0.000000E+00,1.640510E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670647E+01,2.934529E+01,3.937136E+01,5.076861E+03,0.000000E+00,1.659309E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681817E+01,3.011569E+01,3.766931E+01,5.500809E+03,0.000000E+00,1.797864E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.762014E+01,2.802904E+01,5.181648E+01,1.171934E+04,0.000000E+00,3.830177E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999408E+01,4.443098E+01,2.496422E+01,6.204109E+01
00:40:00,5.036694E+03,0.000000E+00,1.646182E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680708E+01,2.645937E+01,4.674217E+01,4.993989E+03,0.000000E+00,1.632225E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670687E+01,2.929198E+01,3.964116E+01,5.051085E+03,0.000000E+00,1.650885E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681866E+01,3.006155E+01,3.792866E+01,5.473132E+03,0.000000E+00,1.788819E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.762076E+01,2.800031E+01,5.201067E+01,1.164996E+04,0.000000E+00,3.807503E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999407E+01,4.443504E+01,2.492288E+01,6.232380E+01
00:45:00,5.011024E+03,0.000000E+00,1.637792E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680653E+01,2.640643E+01,4.705922E+01,4.967298E+03,0.000000E+00,1.623501E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670697E+01,2.923680E+01,3.991279E+01,5.023973E+03,0.000000E+00,1.642024E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681890E+01,3.000558E+01,3.818962E+01,5.444101E+03,0.000000E+00,1.779330E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.762124E+01,2.797249E+01,5.219092E+01,1.157882E+04,0.000000E+00,3.784250E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999407E+01,4.443950E+01,2.488264E+01,6.258949E+01
00:50:00,4.984011E+03,0.000000E+00,1.628963E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.680569E+01,2.635237E+01,4.737633E+01,4.939262E+03,0.000000E+00,1.614338E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999526E+01,3.670680E+01,2.918029E+01,4.018484E+01,4.995518E+03,0.000000E+00,1.632724E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999524E+01,3.681890E+01,2.994790E+01,3.845185E+01,5.413711E+03,0.000000E+00,1.769398E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999511E+01,3.762158E+01,2.794533E+01,5.235859E+01,1.150587E+04,0.000000E+00,3.760410E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999407E+01,4.444425E+01,2.484322E+01,6.283992E+01
