Time,F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],F506BE2B61634101_F0_WHOLE::Des Latent Heat Load [W],F506BE2B61634101_F0_WHOLE::Des Latent Cool Load [W],F506BE2B61634101_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],F506BE2B61634101_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],F506BE2B61634101_F0_WHOLE::Des Heat Load No DOAS [W],F506BE2B61634101_F0_WHOLE::Des Sens Cool Load No DOAS [W],F506BE2B61634101_F0_WHOLE::Des Latent Heat Load No DOAS [W],F506BE2B61634101_F0_WHOLE::Des Latent Cool Load No DOAS [W],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],F506BE2B61634101_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],F506BE2B61634101_F1_WHOLE::Des Latent Heat Load [W],F506BE2B61634101_F1_WHOLE::Des Latent Cool Load [W],F506BE2B61634101_F1_WHOLE::Des Latent Heat Mass Flow [kg/s],F506BE2B61634101_F1_WHOLE::Des Latent Cool Mass Flow [kg/s],F506BE2B61634101_F1_WHOLE::Des Heat Load No DOAS [W],F506BE2B61634101_F1_WHOLE::Des Sens Cool Load No DOAS [W],F506BE2B61634101_F1_WHOLE::Des Latent Heat Load No DOAS [W],F506BE2B61634101_F1_WHOLE::Des Latent Cool Load No DOAS [W],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],F506BE2B61634101_F1_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],F506BE2B61634101_F2_WHOLE::Des Latent Heat Load [W],F506BE2B61634101_F2_WHOLE::Des Latent Cool Load [W],F506BE2B61634101_F2_WHOLE::Des Latent Heat Mass Flow [kg/s],F506BE2B61634101_F2_WHOLE::Des Latent Cool Mass Flow [kg/s],F506BE2B61634101_F2_WHOLE::Des Heat Load No DOAS [W],F506BE2B61634101_F2_WHOLE::Des Sens Cool Load No DOAS [W],F506BE2B61634101_F2_WHOLE::Des Latent Heat Load No DOAS [W],F506BE2B61634101_F2_WHOLE::Des Latent Cool Load No DOAS [W],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],F506BE2B61634101_F2_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],F506BE2B61634101_F3_WHOLE::Des Latent Heat Load [W],F506BE2B61634101_F3_WHOLE::Des Latent Cool Load [W],F506BE2B61634101_F3_WHOLE::Des Latent Heat Mass Flow [kg/s],F506BE2B61634101_F3_WHOLE::Des Latent Cool Mass Flow [kg/s],F506BE2B61634101_F3_WHOLE::Des Heat Load No DOAS [W],F506BE2B61634101_F3_WHOLE::Des Sens Cool Load No DOAS [W],F506BE2B61634101_F3_WHOLE::Des Latent Heat Load No DOAS [W],F506BE2B61634101_F3_WHOLE::Des Latent Cool Load No DOAS [W],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],F506BE2B61634101_F3_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],F506BE2B61634101_F4_WHOLE::Des Latent Heat Load [W],F506BE2B61634101_F4_WHOLE::Des Latent Cool Load [W],F506BE2B61634101_F4_WHOLE::Des Latent Heat Mass Flow [kg/s],F506BE2B61634101_F4_WHOLE::Des Latent Cool Mass Flow [kg/s],F506BE2B61634101_F4_WHOLE::Des Heat Load No DOAS [W],F506BE2B61634101_F4_WHOLE::Des Sens Cool Load No DOAS [W],F506BE2B61634101_F4_WHOLE::Des Latent Heat Load No DOAS [W],F506BE2B61634101_F4_WHOLE::Des Latent Cool Load No DOAS [W],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],F506BE2B61634101_F4_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,3.692716E+02,0.000000E+00,1.206959E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.148522E+01,2.519589E+01,4.896213E+01,3.374440E+02,0.000000E+00,1.102928E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.056058E+01,2.811166E+01,4.125487E+01,3.386558E+02,0.000000E+00,1.106889E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.059386E+01,2.893079E+01,3.934350E+01,3.828825E+02,0.000000E+00,1.251444E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.180482E+01,2.845820E+01,4.043386E+01,1.235028E+03,0.000000E+00,4.036464E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999469E+01,4.296972E+01,2.647820E+01,4.538701E+01
00:10:00,3.681284E+02,0.000000E+00,1.203222E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.148497E+01,2.518627E+01,4.920017E+01,3.362999E+02,0.000000E+00,1.099189E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.056104E+01,2.810182E+01,4.145614E+01,3.375065E+02,0.000000E+00,1.103133E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.059431E+01,2.892150E+01,3.953424E+01,3.815938E+02,0.000000E+00,1.247232E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.180435E+01,2.844978E+01,4.062781E+01,1.228577E+03,0.000000E+00,4.015380E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999468E+01,4.296278E+01,2.646993E+01,4.560424E+01
00:15:00,3.668682E+02,0.000000E+00,1.199103E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.148398E+01,2.517127E+01,4.945240E+01,3.350387E+02,0.000000E+00,1.095067E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.056068E+01,2.808620E+01,4.167000E+01,3.362398E+02,0.000000E+00,1.098993E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.059395E+01,2.890623E+01,3.973731E+01,3.801864E+02,0.000000E+00,1.242632E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.180319E+01,2.843464E+01,4.083625E+01,1.221985E+03,0.000000E+00,3.993833E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999467E+01,4.295805E+01,2.643846E+01,4.588262E+01
00:20:00,3.654908E+02,0.000000E+00,1.194601E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.148222E+01,2.515197E+01,4.971453E+01,3.336603E+02,0.000000E+00,1.090561E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.055945E+01,2.806574E+01,4.189320E+01,3.348556E+02,0.000000E+00,1.094468E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.059271E+01,2.888581E+01,3.994992E+01,3.786592E+02,0.000000E+00,1.237640E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.180136E+01,2.841346E+01,4.105663E+01,1.215229E+03,0.000000E+00,3.971752E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999466E+01,4.295581E+01,2.638645E+01,4.621474E+01
00:25:00,3.639962E+02,0.000000E+00,1.189716E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.147974E+01,2.512970E+01,4.998224E+01,3.321645E+02,0.000000E+00,1.085672E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.055741E+01,2.804177E+01,4.212223E+01,3.333539E+02,0.000000E+00,1.089560E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.059067E+01,2.886152E+01,4.016886E+01,3.770118E+02,0.000000E+00,1.232256E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.179896E+01,2.838758E+01,4.128559E+01,1.208308E+03,0.000000E+00,3.949132E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999466E+01,4.295561E+01,2.631974E+01,4.658533E+01
00:30:00,3.623842E+02,0.000000E+00,1.184447E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.147663E+01,2.510536E+01,5.025275E+01,3.305513E+02,0.000000E+00,1.080400E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999619E+01,3.055466E+01,2.801518E+01,4.235483E+01,3.317346E+02,0.000000E+00,1.084267E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.058794E+01,2.883423E+01,4.039203E+01,3.752446E+02,0.000000E+00,1.226480E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.179605E+01,2.835792E+01,4.152087E+01,1.201225E+03,0.000000E+00,3.925982E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999465E+01,4.295690E+01,2.624315E+01,4.698182E+01
00:35:00,3.606549E+02,0.000000E+00,1.178795E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999624E+01,3.147298E+01,2.507949E+01,5.052429E+01,3.288207E+02,0.000000E+00,1.074743E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.055130E+01,2.798655E+01,4.258947E+01,3.299976E+02,0.000000E+00,1.078590E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.058459E+01,2.880452E+01,4.061803E+01,3.733576E+02,0.000000E+00,1.220312E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.179269E+01,2.832518E+01,4.176074E+01,1.193979E+03,0.000000E+00,3.902298E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999465E+01,4.295934E+01,2.615990E+01,4.739564E+01
00:40:00,3.588082E+02,0.000000E+00,1.172759E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999625E+01,3.146884E+01,2.505244E+01,5.079563E+01,3.269726E+02,0.000000E+00,1.068703E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.054738E+01,2.795624E+01,4.282513E+01,3.281429E+02,0.000000E+00,1.072528E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.058069E+01,2.877268E+01,4.084601E+01,3.713508E+02,0.000000E+00,1.213753E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.178896E+01,2.828988E+01,4.200381E+01,1.186566E+03,0.000000E+00,3.878073E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,4.296266E+01,2.607275E+01,4.781925E+01
00:45:00,3.568440E+02,0.000000E+00,1.166340E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999625E+01,3.146427E+01,2.502440E+01,5.106597E+01,3.250069E+02,0.000000E+00,1.062279E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.054297E+01,2.792444E+01,4.306113E+01,3.261705E+02,0.000000E+00,1.066082E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.057630E+01,2.873877E+01,4.107573E+01,3.692243E+02,0.000000E+00,1.206803E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.178488E+01,2.825228E+01,4.224939E+01,1.178987E+03,0.000000E+00,3.853299E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,4.296667E+01,2.598316E+01,4.824851E+01
00:50:00,3.547623E+02,0.000000E+00,1.159536E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999625E+01,3.145931E+01,2.499549E+01,5.133468E+01,3.229236E+02,0.000000E+00,1.055470E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999620E+01,3.053811E+01,2.789126E+01,4.329707E+01,3.240803E+02,0.000000E+00,1.059250E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.057147E+01,2.870289E+01,4.130681E+01,3.669778E+02,0.000000E+00,1.199461E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999621E+01,3.178050E+01,2.821227E+01,4.249756E+01,1.171237E+03,0.000000E+00,3.827971E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999464E+01,4.297122E+01,2.589178E+01,4.868150E+01
