excluded_id,prepared_neighbor_id,excluded_blocker_key,prepared_blocker_key,excluded_epc_age_band,prepared_epc_age_band,excluded_storeys,prepared_storeys,excluded_building_type,prepared_building_type,prepared_tabula_period,differing_field
way/1054662330,way/1054662331,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,3.0,3.0,TH,TH,GB.05,epc_certificate_found
way/1054662330,way/1054662329,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,3.0,3.0,TH,TH,GB.05,epc_certificate_found
way/1054662334,way/1054662333,PERIOD_STRADDLE_DISJOINT_BANDS_E|I,,PERIOD_STRADDLE_DISJOINT_BANDS_E|I,G,2.0,2.0,TH,TH,GB.05,epc_age_band
way/1054662335,way/1054662336,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,E,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1054785381,way/1058252118,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,H|I,3.0,3.0,AB,AB,GB.06,epc_age_band
way/1054901265,way/394361013,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H|I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1054901276,way/1054901275,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1054901277,way/1054901278,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A|B,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1054901280,way/1054901281,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1054901282,way/1054901281,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1054901284,way/1054901285,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055004676,way/394358275,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A|B,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055004681,way/1055004682,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055004683,way/1055004682,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1055004683,way/1055004684,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,A|B,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1055004685,way/1055004684,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A|B,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055004687,way/1055004688,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055004689,way/1055004688,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055090349,way/1055090350,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,2.0,2.0,TH,TH,GB.05,epc_certificate_found
way/1055090351,way/1055090350,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,2.0,2.0,TH,TH,GB.05,epc_certificate_found
way/1055163039,way/1055163040,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A|B,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055163041,way/1055163040,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A|B,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1055163042,way/1055163043,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055232797,way/1055232796,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A|B,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1055232800,way/1055232801,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055232804,way/1055232803,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1055232805,way/1055232806,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,G,2.0,2.0,TH,TH,GB.05,epc_age_band
way/1055232805,way/397131462,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1055232807,way/1055232808,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,H,2.0,2.0,TH,TH,GB.06,epc_age_band
way/1055232807,way/1055232806,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,G,2.0,2.0,TH,TH,GB.05,epc_age_band
way/1055232809,way/1055232808,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1055232810,way/1055232811,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
