building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
way/1054662329,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,53.4231,53.4231,0.0
way/1054662330,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,46.7666,
way/1054662331,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,50.155,50.155,0.0
way/1054662332,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,64.7532,64.7532,0.0
way/1054662333,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,45.6924,45.6924,0.0
way/1054662335,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,48.9069,
way/1054662336,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,44.5506,44.5506,0.0
way/1054785374,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,3,17,6,448.8596,448.9362,0.017065
way/1054785375,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,43.28,43.28,0.0
way/1054785376,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,48.151,48.14,-0.022845
way/1054785377,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,44.1454,44.1454,0.0
way/1054785378,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,80.593,80.5831,-0.012284
way/1054785379,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,69.218,69.218,0.0
way/1054785380,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,65.8142,65.8142,0.0
way/1054785382,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,3,3,1,209.211,209.211,0.0
way/1054901265,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,53.7267,
way/1054901275,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,30.2968,30.2968,0.0
way/1054901276,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,32.5908,
way/1054901277,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,53.8517,
way/1054901278,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,55.751,55.751,0.0
way/1054901280,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,39.9166,
way/1054901281,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,38.9256,38.9256,0.0
way/1054901282,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,38.6866,
way/1054901284,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,39.4812,
way/1054901285,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,39.5442,39.5442,0.0
way/1055004676,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,60.7453,
