district,building_id,stem,n_flagged_surfaces,defect_kind,defect_on,refused_by,min_edge_len_m,perp_dist_m,rel_area_change,would_clear_chord_0.020m
Madrid,way/1237260791,a2c94661a5028bb1,84,collinear,interzone_pair,not_on_ring,2.4697437114624714,,,False
Madrid,way/286685222,c57a45184a1c34ba,55,near_duplicate,cut_edge,not_on_ring,0.0036249740631132685,,,False
Madrid,way/288276174,b4c9c429c000d6ed,39,collinear,interzone_pair,not_on_ring,0.5344035624612827,,,False
Madrid,way/288461989,cf9a235c4cb0250e,12,near_duplicate,footprint_ring,not_on_ring,0.00032760010371706716,,,False
Madrid,way/288600854,12a121d5ae7a1480,48,near_duplicate,interzone_pair,not_on_ring,2.1245753851817264e-05,,,False
Madrid,way/289510893,73621377166b8b8f,22,near_duplicate,cut_edge,not_on_ring,0.00020964118928833237,,,False
Madrid,way/289692623,ef97f87e67e23829,22,near_duplicate,cut_edge,not_on_ring,0.000312504728830309,,,False
Madrid,way/290653352,f9017f97b1d8b410,37,collinear,interzone_pair,not_on_ring,4.850007526025985,,,False
Madrid,way/290820851,d5f7c70dbdb9328c,48,near_duplicate,cut_edge,not_on_ring,0.00032791426877694374,,,False
Madrid,way/291892249,4e4c3bfe5d179ced,11,near_duplicate,cut_edge,not_on_ring,6.722111758104059e-05,,,False
Madrid,way/291892387,1a92206d17aa97c3,4,near_duplicate,cut_edge,not_on_ring,0.00040735026688907297,,,False
Madrid,way/293591511,1186a26f4090e061,85,near_duplicate,cut_edge,not_on_ring,9.284567427138824e-05,,,False
Madrid,way/293596180,7f772cbfcef6ef7e,88,near_duplicate,cut_edge,not_on_ring,0.00019158725985649584,,,False
Madrid,way/310738150,ef851a3dbfb09d9a,15,near_duplicate,cut_edge,not_on_ring,0.0005045374537258314,,,False
Madrid,way/310738155,a213ecbeb217ea6e,45,near_duplicate,cut_edge,not_on_ring,0.003854148710478944,,,False
Madrid,way/310774080,59231039c486b1fb,44,near_duplicate,cut_edge,not_on_ring,0.0005430584115190452,,,False
Madrid,way/310775064,1ba446fd104878dc,54,near_duplicate,cut_edge,not_on_ring,6.35770829585442e-05,,,False
Madrid,way/311162663,f7ba4d676aa8ad34,69,near_duplicate,cut_edge,not_on_ring,5.8574865464291466e-05,,,False
Madrid,way/311595045,9c1b47ca96e2aad0,51,near_duplicate,cut_edge,not_on_ring,0.00024169463774434955,,,False
Madrid,way/311595048,c5e730d9efda6799,42,near_duplicate,cut_edge,not_on_ring,0.0007474658073350751,,,False
Madrid,way/322742258,853c058128b3eff7,37,near_duplicate,cut_edge,not_on_ring,0.00016306799411537677,,,False
Madrid,way/333138113,a6ab77197f54e1e0,4,near_duplicate,cut_edge,not_on_ring,0.0004018511833735206,,,False
Madrid,way/333138128,b7c2c671ceb4b302,37,near_duplicate,interzone_pair,not_on_ring,0.00023876057319166581,,,False
Madrid,way/380242658,34e9e5f28b9e923e,20,near_duplicate,cut_edge,not_on_ring,3.720119139454103e-05,,,False
Madrid,way/380242668,9006cdb09c8bfbdc,2,near_duplicate,cut_edge,not_on_ring,0.004999999888241291,,,False
Madrid,way/388485191,c7a2ddbf4f24215f,252,near_duplicate,cut_edge,not_on_ring,0.0002450486026841669,,,False
Madrid,way/388485193,6c4f4ed94846416b,26,near_duplicate,cut_edge,not_on_ring,4.807544817313071e-05,,,False
Madrid,way/388485196,be41498a96bf74fc,37,near_duplicate,cut_edge,not_on_ring,0.000542850996548584,,,False
Madrid,way/391276766,6c550159e21467c3,26,near_duplicate,cut_edge,not_on_ring,0.00012825201032884534,,,False
Madrid,way/420411321,a142c2c50c6e1f34,15,near_duplicate,cut_edge,not_on_ring,0.00012931529717752222,,,False
Madrid,way/428478249,37173b8828a9dd97,5,near_duplicate,cut_edge,not_on_ring,2.869017757614956e-08,,,False
Madrid,way/432405459,2b673dd66e50307c,26,near_duplicate,cut_edge,not_on_ring,9.615161121134011e-05,,,False
Madrid,way/432405737,55bb78129ce9131b,55,near_duplicate,cut_edge,not_on_ring,0.00021355093350381314,,,False
Madrid,way/432411820,4b36088fc5b74126,22,near_duplicate,cut_edge,not_on_ring,0.00012060177181464225,,,False
Madrid,way/432864978,e74c5297f3cfebd3,20,near_duplicate,cut_edge,not_on_ring,0.0003336175295523689,,,False
Madrid,way/432864982,21d00bdc8eedb226,28,collinear,interzone_pair,not_on_ring,3.0187886646964968,,,False
Madrid,way/433014323,803d0afdbbbb83e9,14,collinear,interzone_pair,not_on_ring,0.9626529793608039,,,False
Madrid,way/433014842,98827ae3c96ac1d0,24,near_duplicate,cut_edge,not_on_ring,0.00028155638938934756,,,False
Madrid,way/434049326,670ef50f59d979d0,6,near_duplicate,footprint_ring,not_on_ring,0.004999999888241291,,,False
Madrid,way/434878287,0a8a4134ff9c076f,33,collinear,interzone_pair,not_on_ring,6.202987667501637,,,False
Madrid,way/434878289,8b1bec54b375e9dc,84,near_duplicate,cut_edge,not_on_ring,0.0005501790850017037,,,False
Madrid,way/434900093,ba2fa2bc6cb6d6ac,52,collinear,interzone_pair,not_on_ring,2.376336889312987,,,False
Madrid,way/435212310,bd60ce15d346468b,28,near_duplicate,cut_edge,not_on_ring,0.00027031450094541407,,,False
Madrid,way/435212755,7036be961de23509,96,near_duplicate,cut_edge,not_on_ring,0.0005677642540497397,,,False
Madrid,way/435397045,a369b68379f09d1c,4,near_duplicate,cut_edge,not_on_ring,0.0005254165162819996,,,False
Madrid,way/435397047,3c06ed8318aaf37f,42,collinear,interzone_pair,not_on_ring,2.2212361420540567,,,False
Madrid,way/435397050,59a6357438ad1934,15,near_duplicate,cut_edge,not_on_ring,0.0004133517665636367,,,False
Madrid,way/435398515,98690471d7ce5717,20,near_duplicate,cut_edge,not_on_ring,0.0043091228319925255,,,False
Madrid,way/435447780,166911564c2a8671,40,near_duplicate,cut_edge,not_on_ring,0.0002590648450411116,,,False
Madrid,way/435509266,1d9f20630df361e6,15,near_duplicate,cut_edge,not_on_ring,0.00017184665910023781,,,False
Madrid,way/435510861,d0d0c31584fe7ed8,33,near_duplicate,interzone_pair,not_on_ring,0.0001757589901740056,,,False
Madrid,way/435511300,2caab5144dc387d3,76,near_duplicate,interzone_pair,not_on_ring,0.0007946403410213599,,,False
Madrid,way/435633562,d8d8c9e736c3d19b,26,near_duplicate,cut_edge,not_on_ring,8.940178794286373e-05,,,False
Madrid,way/435637794,855cb63f62aa1513,44,near_duplicate,cut_edge,not_on_ring,0.00022958822151613345,,,False
Madrid,way/435638255,c257b891ad3c6033,48,near_duplicate,cut_edge,not_on_ring,0.00030246524990762956,,,False
Madrid,way/435638870,d48b6476e707231d,84,near_duplicate,cut_edge,not_on_ring,0.00016724218172529677,,,False
Madrid,way/435823577,c5a0e5ea1e57a409,54,near_duplicate,cut_edge,not_on_ring,0.00031691036660668354,,,False
Madrid,way/435927686,dc10ae04eb77dc2a,107,near_duplicate,cut_edge,not_on_ring,0.00019655523897962591,,,False
