district,group,count,share,median_area_m2,median_perimeter_m,median_n_vertices_raw,median_n_vertices_denoised,median_n_interior_rings,median_interior_ring_area_m2,median_hull_deficit_fraction,median_rectangularity,median_min_rot_rect_w_m,median_min_rot_rect_l_m,median_aspect_ratio,median_reflex_count,median_longest_edge_m,median_n_edges_ge_15pct_perimeter,median_circularity,median_storeys,median_dwellings_total
ES-MAD-BERRUGUETE,COURTYARD,120,0.12486992715920915,293.10337883106575,83.54776761937487,10.5,7.0,1.0,18.20808172158597,0.11588880356060666,0.8012404320479418,15.521108047752701,25.801509184970527,1.6117718716337084,0.0,17.88910822031749,3.0,0.5868607526063228,4.0,14.0
FLEET,COURTYARD,362,0.14229559748427673,375.439652871788,99.11348468842002,14.0,9.0,1.0,23.505186228766917,0.1669847188865688,0.7680117212150924,17.15954322870048,30.598781311185977,1.730922138279968,0.0,20.96113470915371,2.0,0.5001413209762775,5.0,16.0
FR-LYO-HAUTCOEURPENTES,COURTYARD,13,0.04377104377104377,344.3487066794218,83.6918064724299,12.0,8.0,1.0,10.314722426841882,0.12495883357391645,0.8408600243327042,16.022907894158756,23.099014691443724,1.5617307864799086,0.0,16.819933066821047,2.0,0.6045735200195244,6.0,29.0
IT-BOL-GALVANI2,COURTYARD,229,0.19019933554817275,510.9747460615117,116.34013261579037,16.0,10.0,1.0,29.76912999063626,0.20959246523149144,0.732583549103319,19.517672863969043,36.82034124639494,1.9326999777721743,0.0,23.601782856596856,2.0,0.4550949616519906,6.0,16.0
ES-MAD-BERRUGUETE,SLIVER,180,0.18730489073881373,74.97427335953617,37.09565929226457,7.0,4.0,0.0,0.0,0.0,0.914572071189891,6.94321390796628,12.158293596677797,1.802723430770643,0.0,10.757245591399201,3.0,0.6608215775114124,3.0,3.0
FLEET,SLIVER,637,0.2503930817610063,76.80269001465925,39.159459443243044,7.0,4.0,0.0,0.0,0.0,0.9068858453161934,5.935102284382037,13.731122847450887,2.4399305243550007,0.0,11.616488281816862,3.0,0.5976422403790262,4.0,5.0
FR-LYO-HAUTCOEURPENTES,SLIVER,56,0.18855218855218855,71.1534063916653,36.46548398821951,7.0,4.0,0.0,0.0,0.0,0.9209905572564571,6.963589426270087,12.030526460765682,1.8015721333297168,0.0,10.139144873741287,4.0,0.6946989910474506,3.0,4.0
GB-LDN-STDUNSTANS,SLIVER,9,0.10975609756097561,70.87900393541186,37.8018115288202,6.0,4.0,0.0,0.0,0.0,0.9314073810818084,7.653440989786299,12.299889214077318,1.652089559525085,0.0,9.47834816185015,3.0,0.6494898941996411,3.0,17.0
IT-BOL-GALVANI2,SLIVER,392,0.32558139534883723,80.4512502511773,44.121998790632894,7.0,5.0,0.0,0.0,1.7519002507364489e-16,0.8960934956829688,5.283685098514825,17.027645188365927,3.1517659100495408,0.0,13.379431827847252,2.0,0.5086717777806571,4.0,5.0
ES-MAD-BERRUGUETE,SQUARE,109,0.11342351716961499,144.1646795920097,48.13915374305022,7.0,4.0,0.0,0.0,0.0,0.9573944691521546,11.350915421401355,13.034386744118251,1.2152520116386456,0.0,12.695151056705825,4.0,0.7761301039634858,4.0,7.0
