building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
relation/12582232,c0469f277749f93e,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,1f924ccc2616a714480bf8f35f881d25bf96a00ddd072642edbc964f438f8403,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1089.2873,1089.2873,1089.2873,1089.2873,9,near_duplicate_vertex_tolerated_box
relation/12582233,c6e90803c98dba87,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,10df37e13ba62ba8defb896f0141772088b690a5789ceaf4574f520f1af5cb05,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1445.3209,1445.3209,1315.242,1315.242,11,
relation/12582234,a776387b1281ccea,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,2ac578da856f053c2c48f3cdbbbd2d57d072723be70276858d4b49b712ddc8cc,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1696.2899,1696.2899,1696.2899,1696.2899,15,near_duplicate_vertex_tolerated_box
relation/12586384,f37e1223ce23033c,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,44b03f9c2329d024495882e1a6f807dbe4702c0995882fc8436396cd3dc6c655,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,315.4494,315.4494,315.4494,315.4494,9,near_duplicate_vertex_tolerated_box
relation/12628570,19f9bca61b89709d,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,b4137d705cb97d1c5b0628e9caddf6dbee46e7ed67f5133fc0f266ac94c81f3f,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1732.358,1732.358,1732.358,1732.358,11,near_duplicate_vertex_tolerated_box
relation/12628571,185b31a856fe0fac,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,9742740dd6977eab7ec8ed8a589fc4e3616e06f937ded9e949610b723e4045c8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1785.3522,1785.3522,1785.3522,1785.3522,5,near_duplicate_vertex_tolerated_box
relation/12638102,c618dfeb21e06f07,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,4a334a658b0a1f8407f6285dd12230a673c3c93eb68e6a04a165d3a12dfc266b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,293.423,293.423,293.423,293.423,6,near_duplicate_vertex_tolerated_box
relation/12638103,81c43893177d0d80,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,9b843e1cb764f88e2f09642f2020b810cbd13b5b27b47de60a0be076338ad2ef,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1959.6288,1959.6288,1959.6288,1959.6288,6,near_duplicate_vertex_tolerated_box
relation/12700585,446f5434568f28e3,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,2b5ca7a29ff0311bb2b748af0ce9043d0c436e747ac158a4bcf8c995cdabdd22,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2740.6687,2740.6687,2740.6687,2740.6687,13,near_duplicate_vertex_tolerated_box
relation/12700645,c71e82e57d99bed1,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,807d98e7b019a4287b159fec4747db66c5cef0e5309f81dac4348bcd9b1f26f1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1954.8622,1954.8622,1954.8622,1954.8622,8,near_duplicate_vertex_tolerated_box
relation/12702624,1d78cf9122f19e7a,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,623395d4d908bc7af36be45f017909685a1716dd7e92b025d5bba435b4ee9cd1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,246.6295,246.6295,246.6295,246.6295,8,near_duplicate_vertex_tolerated_box
relation/12702625,19353088b38e9293,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,47d800880b568a501450a3082a090c9e6a24ffd4225d1cd5d41a458f78560f2c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,617.6097,617.6097,617.6097,617.6097,7,near_duplicate_vertex_tolerated_box
relation/12702626,8912451f8d1d6584,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,222ba1cfe285b014d2af56f12edcc1a2dbbb8b1032e68de7be6365cc8448ef9b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,922.7491,922.7491,922.7491,922.7491,14,near_duplicate_vertex_tolerated_box
relation/12702627,17fbaa5f295509bc,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,df7bc781ff9a14f7b00bb945200b4d67fd1a3ff72ff6346e1ed0212839e892d7,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,938.5762,938.5762,938.5762,938.5762,15,
