building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
way/1054785374,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,301c0643d9af8208700a2eb712cdb00bed0ad2d97911ba6718dad06a5dbf0639,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,448.9519,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1054785374.json
way/1054785381,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT,7d1cff194d91869cbed6cab792e54d164eee98e4a3bbd189b013b8f3d27dc48d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,203.7356,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1054785381.json
way/1054785382,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,8ed5d4339857025d072dad5ab10fc07c6c69d4bc5a7804caff5f0bc2d8d28455,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,209.211,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1054785382.json
way/1057093131,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,FALLBACK_PENDING_LAYOUT,4a2e9a764acf7c495571c7b736963a59b2144c78feb1d681e2a507d39e09d953,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,205.7248,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1057093131.json
way/1057093136,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,e6a657c376556f76e205b7cb30861820fa88e65236dd398bec7fccf39ceb2726,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,506.3866,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1057093136.json
way/1057529442,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,5db267153ad065d937dff4ee2c7c674a8293d8c88c6274b1e9226e61d75ebff5,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,243.1615,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1057529442.json
way/1057529443,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,5cd9ed416629cc9f0d7064ebb270adbcb515a24f34ab14999c20edeaedefcb01,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,213.9742,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1057529443.json
way/1057823423,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,6f712f66f4f3ef28ea0b129f8c238a81f8dc8ee07dd0aa90dce0655646682b4e,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,412.3368,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1057823423.json
way/1058252118,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,bb5fed09d55a2e3e8aac67539852921e359db118c5b9a1e98c17a95fef45434d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,510.3218,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1058252118.json
way/1058252123,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT,cba009444531c8e9f73e8966a1a876903f0268b19fe4dfb1e69f0d72b8986bc7,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,498.2866,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/1058252123.json
