building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
27410,02dd9c3e4f745e0b,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,c929e904a478d92caaf4c942e9634ea60ed174a87a29be2e824498f789980c7b,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,3754.5368,3754.5368,3754.5368,3754.5368,11,near_duplicate_vertex_tolerated_box
27550,cf1704af581bc378,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,a6560219ed59581a3f3f85111b542fb7d40e8caa48a0409bf86dd7decf65de92,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,589.2557,589.2557,571.578,571.578,7,
27610,9061cd9d580a04e9,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,7d989c6ad81e1fb4a91980aa2afc4ed799cd1e16c55978b9b3d09059e698856e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,34565.9795,34565.9795,33107.4065,33107.4065,22,near_duplicate_vertex_tolerated_box
27683,265de69480c62b06,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,9870ce03c3c08fd028f0c2bea86e42ea9707b84ba99b136069eee72501be3e2f,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,7442.7051,7442.7051,7442.7051,7442.7051,13,near_duplicate_vertex_tolerated_box
27746,0ccdeb0a111369d4,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,ce879d58f36a030f7b6a921db3b96a05ebad825606f234b311bf348afe11935e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,136.8679,136.8679,128.6707,128.6707,6,
27816,0ea26e5ccd38c276,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5569336a0ce236fc8b3db678406bcede2f9a4cef134d207b01e47950fb4217db,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,574.6724,574.6724,522.9519,522.9519,5,
27931,366fc6fda9a1a946,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,e550ddce75265ff4b76dec7593c3c2390835bde1ee37ab3911b4b3b616e604b1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,30520.057,30520.057,30520.057,30520.057,16,near_duplicate_vertex_tolerated_box
27997,afea7d8c3963b646,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,d77c9efac56e50a6df7d184f68126a285469cf4c33d5f98e4b2d08841fbd50d2,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,5345.9009,5345.9009,5345.9009,5345.9009,8,
28000,ca8e3bac05e76fe6,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,22bde0d2e772aa755e254c3ac0fc167fd6dd5850df79674ed79c577a5a5b28e8,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,4460.4581,4460.4581,4281.9099,4281.9099,10,near_duplicate_vertex_tolerated_box
28004,f9ae5162e26a0441,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,261c23c00c93721d797af3e7fcfd186c3765edda09c1cf3b3cc0070da087c282,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,1144.1828,1144.1828,1144.1828,1144.1828,6,near_duplicate_vertex_tolerated_box
