building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
relation/13381262,68,8,collinear,179.913246,4.95903216,Y,N
relation/13381287,79,29,proximity,,0.005,N,N
relation/13381288,87,6,collinear,179.909492,4.55923239,Y,N
relation/13430481,80,16,collinear,179.990398,2.19022967,Y,N
relation/13430482,19,2,collinear,179.920355,10.33628623,Y,N
relation/3730743,55,10,collinear,179.993091,11.43790824,Y,N
relation/4154504,19,0,,,,,
relation/4154505,320,56,collinear,179.942886,3.75968948,Y,N
way/100704738,40,0,,,,,
way/100704741,30,0,,,,,
way/1237260791,119,0,,,,,
way/133979799,108,0,,,,,
way/1548061693,120,0,,,,,
way/195286070,126,0,,,,,
way/195286075,16,0,,,,,
way/198082036,30,0,,,,,
relation/13160790,218,59,proximity,,0.005,N,N
relation/13160791,57,6,collinear,179.93955,8.31218581,Y,N
relation/13255968,84,0,,,,,
relation/13263924,127,29,collinear,179.981043,0.89982221,Y,N
relation/13263925,66,12,proximity,,0.001,N,N
relation/13263926,22,0,,,,,
relation/13277439,116,20,proximity,,0.005,N,N
relation/13296657,469,149,collinear,179.968324,4.26894366,Y,N
relation/13033799,153,45,proximity,,0.00360555,N,N
relation/13033800,53,6,collinear,179.942474,3.25751132,Y,N
relation/13033801,276,20,proximity,,0.005,N,N
relation/13113579,64,0,,,,,
relation/13113581,20,4,collinear,179.918389,0.81717807,Y,N
relation/13146436,45,0,,,,,
relation/13146437,252,28,collinear,179.948906,3.42536436,Y,N
relation/13146438,108,6,collinear,179.992627,3.31433628,Y,N
relation/12702631,140,8,collinear,179.995954,1.9648402,Y,N
relation/12702632,24,2,collinear,179.995459,6.01776445,Y,N
relation/12704090,255,20,collinear,179.989337,2.15271038,Y,N
relation/12706920,252,33,collinear,179.986465,1.24493895,Y,N
relation/12707194,36,8,collinear,179.964157,7.79857743,Y,N
relation/12707195,30,4,collinear,179.911875,3.939767,Y,N
relation/12713025,217,28,collinear,179.995781,5.03893838,Y,N
relation/12713026,92,16,collinear,179.967758,5.53150179,Y,N
relation/13303818,84,0,,,,,
relation/13306447,64,0,,,,,
relation/13306448,76,0,,,,,
relation/13307655,84,8,collinear,179.922839,3.12210826,Y,N
relation/13307656,30,2,collinear,179.91319,0.19175505,Y,N
relation/13340529,42,0,,,,,
relation/13340530,56,8,collinear,179.994066,4.64893934,Y,N
relation/13380999,24,0,,,,,
relation/12720242,17,2,collinear,179.950618,0.18601075,Y,N
relation/12725306,175,57,proximity,,0.001,N,Y
relation/12743488,215,20,collinear,179.935076,2.07092685,Y,N
relation/12765477,406,169,proximity,,0.00447214,N,N
relation/12765478,352,50,collinear,179.99257,0.44542227,Y,N
relation/12771675,219,84,collinear,179.966819,3.53956,Y,N
relation/12771676,55,6,collinear,179.946367,4.24911579,Y,N
relation/12794755,101,14,collinear,179.961778,7.69969415,Y,N
relation/12863111,348,56,collinear,179.97672,2.2352709,Y,N
relation/12867469,82,17,proximity,,0.001,N,N
relation/12876435,376,120,proximity,,0.00010432,Y,N
relation/12876436,18,2,collinear,179.911019,2.5085432,Y,N
relation/12876437,65,11,collinear,179.992525,1.83347157,Y,N
relation/12877779,24,6,collinear,179.999719,13.05321481,Y,N
relation/12877780,104,0,,,,,
relation/12882209,45,6,collinear,179.995327,5.98964189,Y,N
relation/6382787,533,168,proximity,,0.00018291,Y,N
way/100704656,28,0,,,,,
way/100704671,72,0,,,,,
way/100704677,98,0,,,,,
way/100704682,21,0,,,,,
way/100704705,68,0,,,,,
way/100704712,45,0,,,,,
way/100704723,124,0,,,,,
relation/4169236,76,8,collinear,179.905649,9.33220199,Y,N
relation/4172529,220,0,,,,,
relation/4172530,174,0,,,,,
relation/4172733,150,0,,,,,
relation/4172891,144,25,proximity,,0.002,N,Y
relation/4172892,190,0,,,,,
relation/4179135,36,4,collinear,179.928975,5.3940761,Y,N
relation/4466638,33,6,collinear,179.937678,6.13524873,Y,N
relation/12582232,180,28,collinear,179.984279,3.6491473,Y,N
relation/12582233,182,14,collinear,179.971651,4.04622849,Y,N
relation/12582234,437,183,proximity,,0.005,N,N
relation/12586384,70,14,collinear,179.932389,5.5736488,Y,N
relation/12628571,492,114,proximity,,0.001,N,Y
relation/12628572,116,8,collinear,179.910328,4.0870186,Y,N
relation/12638102,34,2,collinear,179.914484,6.39877441,Y,N
relation/12638103,307,38,collinear,179.996293,1.42672282,Y,N
way/198082054,224,0,,,,,
way/198082056,24,0,,,,,
way/224012143,104,0,,,,,
way/232618736,91,0,,,,,
way/277649994,24,0,,,,,
way/277649996,104,0,,,,,
way/286376565,27,0,,,,,
way/286376566,51,0,,,,,
relation/4495683,342,44,collinear,179.934462,0.00538516,Y,N
relation/4495684,60,10,collinear,179.99818,9.81194176,Y,N
relation/4495685,116,8,collinear,179.969491,4.91297649,Y,N
relation/4678507,140,0,,,,,
relation/4678509,63,14,collinear,179.906945,8.21851599,Y,N
relation/4835799,175,30,collinear,179.98825,2.06928997,Y,N
relation/4835800,58,4,collinear,179.983725,3.48528636,Y,N
relation/4835801,90,10,collinear,179.95032,10.91420698,Y,N
relation/12800463,90,10,collinear,179.938399,7.2817285,Y,N
relation/12800464,100,10,collinear,179.916352,8.37075056,Y,N
relation/12800465,70,10,collinear,179.957965,7.13262981,Y,N
relation/12803889,342,16,collinear,179.972604,2.23837017,Y,N
relation/12803902,72,8,collinear,179.976797,7.44357978,Y,N
relation/12837455,68,8,collinear,179.9176,3.50778363,Y,N
relation/12837456,114,40,proximity,,0.005,N,N
relation/12837457,24,2,collinear,179.90195,11.42158658,Y,N
way/286564856,32,0,,,,,
way/286685213,34,0,,,,,
way/286685214,23,0,,,,,
way/286685215,32,0,,,,,
way/286685216,30,0,,,,,
way/286685217,60,0,,,,,
way/286685218,28,0,,,,,
way/286685219,27,0,,,,,
way/286685222,76,8,collinear,179.934636,0.74014188,Y,N
way/286754285,24,0,,,,,
way/286754286,8,0,,,,,
way/286754288,21,0,,,,,
way/286754289,10,0,,,,,
way/286754290,28,0,,,,,
way/286754292,24,0,,,,,
way/286783497,24,0,,,,,
relation/12882211,95,29,collinear,179.960318,6.6670318,Y,N
relation/12891866,113,8,collinear,179.983716,2.02837891,Y,N
relation/12891867,64,8,collinear,179.990899,2.1511404,Y,N
relation/12891868,18,2,collinear,179.959095,4.39283929,Y,N
