building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
relation/12582232,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,18.0,18.0,18.0,1089.3143,1089.2109,-0.009492209915904442
relation/12582233,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,14.0,14.0,14.0,1445.2265,1445.3732,0.01015065804564266
relation/12582234,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,21.0,21.0,21.0,1696.2497,1696.2127,-0.002181282626021072
relation/12586384,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,7.0,7.0,0.0,2208.1458,2208.1458,0.0
relation/12628570,ES-MAD-BERRUGUETE,NOT_PREVIOUSLY_SIMULATED,DWELLING_LAYOUT_EMITTED,NA,N,,21.0,21.0,,1732.2151,
relation/12628571,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,FALLBACK_PENDING_LAYOUT,N,Y,39.0,6.0,0.0,1785.3612,1785.3522,-0.0005040996746212785
relation/12628572,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4.0,4.0,0.0,3644.9371,3644.9371,0.0
relation/12638102,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,293.3104,293.3479,0.0127850904706979
relation/12638103,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,27.0,27.0,27.0,1959.5629,1959.5458,-0.0008726435880062986
relation/12700585,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,24.0,24.0,24.0,2740.6914,2740.6898,-5.83794293678272e-05
relation/12700645,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,39.0,39.0,39.0,1954.8024,1954.7715,-0.0015807224300509438
relation/12702624,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4.0,4.0,0.0,986.5181,986.5181,0.0
relation/12702625,ES-MAD-BERRUGUETE,NOT_PREVIOUSLY_SIMULATED,DWELLING_LAYOUT_EMITTED,NA,N,,9.0,9.0,,617.5492,
relation/12702626,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4.0,4.0,0.0,922.7491,922.7491,0.0
relation/12702627,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,16.0,16.0,16.0,938.589,938.589,0.0
relation/12702628,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,15.0,15.0,15.0,608.5655,608.7233,0.02592983006758549
relation/12702629,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12.0,12.0,12.0,1500.8914,1500.8914,0.0
relation/12702630,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,16.0,16.0,16.0,2385.9561,2385.3653,-0.024761562042149257
relation/12702631,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12.0,12.0,12.0,580.5377,580.4803,-0.00988738543593568
relation/12702632,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,218.9748,218.9139,-0.02781141939619322
relation/12704090,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,30.0,30.0,30.0,3330.2566,3330.0421,-0.006440945121167049
relation/12706920,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12.0,12.0,12.0,453.012,452.9726,-0.008697341350781115
relation/12707194,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,DWELLING_LAYOUT_EMITTED,Y,N,4.0,21.0,21.0,1091.6777,1091.6861,0.0007694578720384039
relation/12707195,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,2.0,2.0,0.0,284.6124,284.6124,0.0
relation/12713025,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,17.0,17.0,17.0,1331.3285,1331.3258,-0.00020280494258211742
relation/12713026,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,8.0,8.0,8.0,1503.8508,1504.0357,0.012295102679067003
relation/12720242,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,99.6159,99.6117,-0.004216194402698081
relation/12725306,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,8.0,8.0,8.0,919.8802,919.8903,0.0010979690616321008
relation/12743488,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,15.0,15.0,15.0,1017.5016,1017.4539,-0.004687953316248065
relation/12765477,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,22.0,22.0,22.0,2203.5752,2203.8142,0.010846010610374358
relation/12765478,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,34.0,34.0,34.0,2425.9186,2426.1065,0.007745519573488558
relation/12771675,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12.0,12.0,12.0,673.8979,673.9426,0.006633052276898428
relation/12771676,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,5.0,5.0,5.0,432.4467,432.4685,0.00504108367574194
relation/12794755,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,7.0,7.0,7.0,2259.3841,2259.5842,0.008856395864676821
relation/12800463,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,5.0,5.0,0.0,1366.1814,1366.1814,0.0
relation/12800464,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,5.0,5.0,0.0,1524.5775,1524.5775,0.0
relation/12800465,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,5.0,5.0,0.0,1216.0988,1216.0988,0.0
relation/12803889,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,45.0,45.0,45.0,2240.1049,2240.6019,0.02218646100012095
relation/12803902,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4.0,4.0,0.0,1306.9312,1306.9312,0.0
relation/12818819,ES-MAD-BERRUGUETE,NOT_PREVIOUSLY_SIMULATED,FALLBACK_PENDING_LAYOUT,NA,Y,,4.0,0.0,,1944.9748,
relation/12837455,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,6.0,6.0,6.0,594.7239,594.8182,0.015856097257919064
relation/12837456,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,,N,N,8.0,,,440.4498,,
