building_id,district,stem,geometry_outcome,has_whole_zone,census_k,census_drawn_per_floor,census_status,census_spread,census_verdict,storeys,area_m2,recoverable
relation/13381262,ES-MAD-BERRUGUETE,e6e9f8c85bd4a153,DWELLING_LAYOUT_EMITTED,N,3,,GENERIC_NO_CENSUS,,GENERIC,3,221,N
relation/13381287,ES-MAD-BERRUGUETE,d2b990a82087289c,DWELLING_LAYOUT_EMITTED,N,3,,GENERIC_NO_CENSUS,,GENERIC,3,201,N
relation/13381288,ES-MAD-BERRUGUETE,fad1a473d42a86de,DWELLING_LAYOUT_EMITTED,N,2,2,direct,1.0,PASS,4,200,N
relation/13430481,ES-MAD-BERRUGUETE,02fb1e2d3fc8a1d7,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.8434,PASS,2,140,N
relation/13430482,ES-MAD-BERRUGUETE,4524352837d47fed,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,157,N
relation/3730743,ES-MAD-BERRUGUETE,b56bda9013da5b2d,FALLBACK_PENDING_LAYOUT,Y,31,31,direct,0.9373,PASS,5,1869,Y
relation/4154504,ES-MAD-BERRUGUETE,93508209cc1fda3f,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,7,144,N
relation/4154505,ES-MAD-BERRUGUETE,6174aafd72973590,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.9456,PASS,4,252,N
way/100704738,ES-MAD-BERRUGUETE,f9b94633a6db233b,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,1.0,PASS,4,171,Y
way/100704741,ES-MAD-BERRUGUETE,e11f7d74064fe131,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,0.9998,PASS,3,363,Y
way/1237260791,ES-MAD-BERRUGUETE,a2c94661a5028bb1,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,12,,GENERIC_NO_CENSUS,,GENERIC,3,927,N
way/133979799,ES-MAD-BERRUGUETE,499b3cbde9af5587,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,4,4,direct,0.9753,PASS,6,306,Y
way/1548061693,ES-MAD-BERRUGUETE,0d0387a82304d0a3,DWELLING_LAYOUT_EMITTED,N,6,,GENERIC_NO_CENSUS,,GENERIC,3,420,N
way/195286070,ES-MAD-BERRUGUETE,4a1b522ef889bf11,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,12,,GENERIC_NO_CENSUS,,GENERIC,3,2103,N
way/195286075,ES-MAD-BERRUGUETE,f300856525303859,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,76,N
way/198082036,ES-MAD-BERRUGUETE,1721b07d07718751,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,0.9999,PASS,5,206,Y
relation/13160790,ES-MAD-BERRUGUETE,6e786c27ec16ef00,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.9874,PASS,3,425,N
relation/13160791,ES-MAD-BERRUGUETE,117eaf493c1eb230,FALLBACK_PENDING_LAYOUT,Y,12,12,direct,0.7702,FAIL,3,566,Y
relation/13255968,ES-MAD-BERRUGUETE,805223fc4e4eab99,FALLBACK_PENDING_LAYOUT,Y,4,,GENERIC_NO_CENSUS,,GENERIC,3,284,N
relation/13263924,ES-MAD-BERRUGUETE,7a62499d5756d6be,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.9041,PASS,2,274,N
relation/13263925,ES-MAD-BERRUGUETE,a6ae5d2905c6afa5,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.986,PASS,2,106,N
relation/13263926,ES-MAD-BERRUGUETE,87b0b0e3dfa4a717,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,309,N
relation/13277439,ES-MAD-BERRUGUETE,eff7f975e76feac8,DWELLING_LAYOUT_EMITTED,N,3,,GENERIC_NO_CENSUS,,GENERIC,3,197,N
relation/13296657,ES-MAD-BERRUGUETE,66f7ad439542e6c2,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.5597,PASS,5,1114,N
relation/13033799,ES-MAD-BERRUGUETE,5c02f3cab5a0613d,DWELLING_LAYOUT_EMITTED,N,3,,GENERIC_NO_CENSUS,,GENERIC,3,235,N
relation/13033800,ES-MAD-BERRUGUETE,643e9972f4f04889,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,139,N
relation/13033801,ES-MAD-BERRUGUETE,869223a6b12365f5,DWELLING_LAYOUT_EMITTED,N,7,7,direct,0.6378,PASS,4,319,N
relation/13113579,ES-MAD-BERRUGUETE,601b40a8e9a9e99f,DWELLING_LAYOUT_EMITTED,N,1,,GENERIC_NO_CENSUS,,GENERIC,3,74,N
relation/13113581,ES-MAD-BERRUGUETE,97669cf3c31f9c97,FALLBACK_PENDING_LAYOUT,Y,4,,GENERIC_NO_CENSUS,,GENERIC,3,268,N
relation/13146436,ES-MAD-BERRUGUETE,a5d3b1ad4c1b72f3,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,1,1,direct,1.0,PASS,3,75,N
relation/13146437,ES-MAD-BERRUGUETE,910a2f05e7cee5e2,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.2862,PASS,4,945,N
relation/13146438,ES-MAD-BERRUGUETE,d693af1a484015d1,DWELLING_LAYOUT_EMITTED,N,2,,GENERIC_NO_CENSUS,,GENERIC,3,167,N
relation/12702631,ES-MAD-BERRUGUETE,c2e07c6ddc86dc8e,DWELLING_LAYOUT_EMITTED,N,3,3,direct,1.0,PASS,4,145,N
relation/12702632,ES-MAD-BERRUGUETE,be68dcc0e83d5725,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,219,N
relation/12704090,ES-MAD-BERRUGUETE,3bc130c6f2491edc,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.9999,PASS,5,666,N
relation/12706920,ES-MAD-BERRUGUETE,9f5c50f79a7d4f15,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.4269,PASS,3,151,N
relation/12707194,ES-MAD-BERRUGUETE,ef9158b002b048ed,FALLBACK_PENDING_LAYOUT,Y,5,5,direct,0.3934,FAIL,4,273,Y
relation/12707195,ES-MAD-BERRUGUETE,4a3cf6b3b80ba8ee,FALLBACK_PENDING_LAYOUT,Y,3,3,direct,0.9856,FAIL,2,142,Y
relation/12713025,ES-MAD-BERRUGUETE,77bd02d23440ce54,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.9999,PASS,3,444,N
relation/12713026,ES-MAD-BERRUGUETE,452f921168d22895,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.3942,PASS,3,501,N
relation/13303818,ES-MAD-BERRUGUETE,10f7ce2d005e825f,DWELLING_LAYOUT_EMITTED,N,2,,GENERIC_NO_CENSUS,,GENERIC,3,164,N
relation/13306447,ES-MAD-BERRUGUETE,6bbac3cd74491459,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.5037,PASS,4,348,N
