Time,BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Des Heat Load [W],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BLOCK LARGEOFFICE STOREY 0::Des Latent Heat Load [W],BLOCK LARGEOFFICE STOREY 0::Des Latent Cool Load [W],BLOCK LARGEOFFICE STOREY 0::Des Latent Heat Mass Flow [kg/s],BLOCK LARGEOFFICE STOREY 0::Des Latent Cool Mass Flow [kg/s],BLOCK LARGEOFFICE STOREY 0::Des Heat Load No DOAS [W],BLOCK LARGEOFFICE STOREY 0::Des Sens Cool Load No DOAS [W],BLOCK LARGEOFFICE STOREY 0::Des Latent Heat Load No DOAS [W],BLOCK LARGEOFFICE STOREY 0::Des Latent Cool Load No DOAS [W],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BLOCK LARGEOFFICE STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,5.794776E+03,1.183515E+04,1.959781E-01,1.036409E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100315E+01,5.900241E+01,2.399861E+01,4.415867E+01
00:20:00,6.269135E+03,1.141767E+04,2.120209E-01,9.998511E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100313E+01,5.884296E+01,2.399861E+01,4.418971E+01
00:30:00,6.752394E+03,1.100580E+04,2.283647E-01,9.637833E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100311E+01,5.868824E+01,2.399861E+01,4.422102E+01
00:40:00,7.244556E+03,1.059981E+04,2.450095E-01,9.282315E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100309E+01,5.853844E+01,2.399861E+01,4.425252E+01
00:50:00,7.745639E+03,1.019999E+04,2.619560E-01,8.932195E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100307E+01,5.839367E+01,2.399860E+01,4.428417E+01
01:00:00,8.255669E+03,9.806723E+03,2.792051E-01,8.587813E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100306E+01,5.825398E+01,2.399860E+01,4.431588E+01
01:10:00,8.356219E+03,9.680775E+03,2.826055E-01,8.477521E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100304E+01,5.811941E+01,2.399860E+01,4.434758E+01
01:20:00,8.454784E+03,9.558242E+03,2.859388E-01,8.370220E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100302E+01,5.798992E+01,2.399859E+01,4.437924E+01
01:30:00,8.551437E+03,9.439021E+03,2.892074E-01,8.265819E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100300E+01,5.786544E+01,2.399859E+01,4.441086E+01
01:40:00,8.646263E+03,9.322917E+03,2.924142E-01,8.164148E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.100298E+01,5.774589E+01,2.399859E+01,4.444245E+01
