Time,BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Heat Load [W],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0::Des Latent Heat Load [W],BLOCK SUPERMARKET STOREY 0::Des Latent Cool Load [W],BLOCK SUPERMARKET STOREY 0::Des Latent Heat Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0::Des Latent Cool Mass Flow [kg/s],BLOCK SUPERMARKET STOREY 0::Des Heat Load No DOAS [W],BLOCK SUPERMARKET STOREY 0::Des Sens Cool Load No DOAS [W],BLOCK SUPERMARKET STOREY 0::Des Latent Heat Load No DOAS [W],BLOCK SUPERMARKET STOREY 0::Des Latent Cool Load No DOAS [W],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BLOCK SUPERMARKET STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,7.066412E+03,7.813011E+03,2.390797E-01,6.844399E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101558E+01,8.584132E+01,2.399463E+01,5.826481E+01
00:20:00,7.467636E+03,7.361303E+03,2.526565E-01,6.448680E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101558E+01,8.553444E+01,2.399464E+01,5.864400E+01
00:30:00,7.877224E+03,6.915311E+03,2.665163E-01,6.057967E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101558E+01,8.523506E+01,2.399465E+01,5.903387E+01
00:40:00,8.295197E+03,6.475364E+03,2.806597E-01,5.672551E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101558E+01,8.494313E+01,2.399466E+01,5.943431E+01
00:50:00,8.721583E+03,6.041775E+03,2.950877E-01,5.292706E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101557E+01,8.465869E+01,2.399467E+01,5.984509E+01
01:00:00,9.156416E+03,5.614829E+03,3.098015E-01,4.918679E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101557E+01,8.438182E+01,2.399468E+01,6.026589E+01
01:10:00,9.246129E+03,5.471627E+03,3.128368E-01,4.793227E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101557E+01,8.411256E+01,2.399469E+01,6.069639E+01
01:20:00,9.334434E+03,5.332228E+03,3.158246E-01,4.671108E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101556E+01,8.385085E+01,2.399470E+01,6.113639E+01
01:30:00,9.421371E+03,5.196562E+03,3.187660E-01,4.552258E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101556E+01,8.359692E+01,2.399471E+01,6.158581E+01
01:40:00,9.506986E+03,5.064403E+03,3.216627E-01,4.436481E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.101556E+01,8.335079E+01,2.399472E+01,6.204483E+01
